[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 1] Paul an Apostle of Iesus Christ, by the will of God, according to the promise of life which is in Christ Iesus,
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 2] To Timotheus my beloued sonne: Grace, mercie and peace from God the Father, and from Iesus Christ our Lord.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 3] I thanke God, whom I serue from mine elders with pure conscience, that without ceasing I haue remembrance of thee in my praiers night and day,
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 4] Desiring to see thee, mindefull of thy teares, that I may be filled with ioy:
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 5] When I call to remembrance the vnfained faith that is in thee, which dwelt first in thy grandmother Lois, and in thy mother Eunice, and am assured that it dwelleth in thee also.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 6] Wherefore, I put thee in remembrance that thou stirre vp the gift of God which is in thee, by the putting on of mine hands.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 7] For God hath not giuen to vs the Spirite of feare, but of power, and of loue, and of a sound minde.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 8] Be not therefore ashamed of the testimonie of our Lord, neither of me his prisoner: but be partaker of the afflictions of the Gospel, according to the power of God,
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 9] Who hath saued vs, and called vs with an holy calling, not according to our workes, but according to his owne purpose and grace, which was giuen to vs through Christ Iesus before the world was,
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 10] But is nowe made manifest by that appearing of our Sauiour Iesus Christ, who hath abolished death, and hath brought life and immortalitie vnto light through the Gospel.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 11] Whereunto I am appointed a preacher, and Apostle, and a teacher of the Gentiles.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 12] For the which cause I also suffer these things, but I am not ashamed: for I knowe whom I haue beleeued, and I am persuaded that he is able to keepe that which I haue committed to him against that day.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 13] Keepe the true paterne of the wholesome wordes, which thou hast heard of me in faith and loue which is in Christ Iesus.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 14] That worthie thing, which was committed to thee, keepe through the holy Ghost, which dwelleth in vs.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 15] This thou knowest, that all they which are in Asia, be turned from me: of which sort are Phygellus and Hermogenes.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 16] The Lord giue mercie vnto the house of Onesiphorus: for he oft refreshed me, and was not ashamed of my chaine,
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 17] But when he was at Rome, he sought me out very diligently, and found me.
[GNV | EN | NT | 2 Timothy | Chapter 1 | Verse 18] The Lord graunt vnto him, that he may finde mercie with the Lord at that day, and in how many things he hath ministred vnto me at Ephesus, thou knowest very well.
