[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 1] This knowe also, that in the last dayes shall come perilous times.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 2] For men shalbe louers of their owne selues, couetous, boasters, proud, cursed speakers, disobedient to parents, vnthankefull, vnholy,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 3] Without naturall affection, truce breakers, false accusers, intemperate, fierce, no louers at all of them which are good,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 4] Traitours, headie, high minded, louers of pleasures more then louers of God,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 5] Hauing a shewe of godlinesse, but haue denied the power thereof: turne away therefore from such.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 6] For of this sort are they which creepe into houses, and leade captiue simple women laden with sinnes, and led with diuers lustes,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 7] Which women are euer learning, and are neuer able to come to the acknowledging of the trueth.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 8] And as Iannes and Iambres withstoode Moses, so doe these also resist the trueth, men of corrupt mindes, reprobate concerning the faith.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 9] But they shall preuaile no longer: for their madnesse shalbe euident vnto all men, as theirs also was.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 10] But thou hast fully knowen my doctrine, maner of liuing, purpose, faith, long suffering, loue, patience,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 11] Persecutions, and afflictions which came vnto me at Antiochia, at Iconium, and at Lystri, which persecutions I suffered: but from them all the Lord deliuered me.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 12] Yea, and all that will liue godly in Christ Iesus, shall suffer persecution.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 13] But the euill men and deceiuers, shall waxe worse and worse, deceiuing, and being deceiued.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 14] But continue thou in the thinges which thou hast learned, and which are committed vnto thee, knowing of who thou hast learned them:
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 15] And that thou hast knowen the holy Scriptures of a childe, which are able to make thee wise vnto saluation, through the faith which is in Christ Iesus.
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 16] For the whole Scripture is giuen by inspiration of God, and is profitable to teache, to conuince, to correct, and to instruct in righteousnesse,
[GNV | EN | NT | 2 Timothy | Chapter 3 | Verse 17] That the man of God may be absolute, being made perfect vnto all good workes.
