[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I charge thee therefore before God, and before the Lord Iesus Christ, which shall iudge the quicke and dead at that his appearing, and in his kingdome,
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 2] Preach the worde: be instant, in season and out of season: improue, rebuke, exhort with all long suffering and doctrine.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For the time will come, when they will not suffer wholesome doctrine: but hauing their eares itching, shall after their owne lustes get them an heape of teachers,
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 4] And shall turne their eares from the trueth, and shalbe giuen vnto fables.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But watch thou in all thinges: suffer aduersitie: doe the worke of an Euangelist: cause thy ministerie to be throughly liked of.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am nowe readie to be offered, and the time of my departing is at hand.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I haue fought a good fight, and haue finished my course: I haue kept the faith.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 8] For hence foorth is laide vp for me the crowne of righteousnesse, which the Lord the righteous iudge shall giue me at that day: and not to me onely, but vnto all them also that loue that his appearing.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Make speede to come vnto me at once:
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 10] For Demas hath forsaken me, and hath embraced this present world, and is departed vnto Thessalonica. Crescens is gone to Galatia, Titus vnto Dalmatia.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Onely Luke is with me. Take Marke and bring him with thee: for he is profitable vnto me to minister.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 12] And Tychicus haue I sent to Ephesus.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloke that I left at Troas with Carpus, when thou commest, bring with thee, and the bookes, but specially the parchments.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the coppersmith hath done me much euill: the Lord rewarde him according to his workes.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 15] Of whome be thou ware also: for he withstoode our preaching sore.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first answering no man assisted me, but all forsooke me: I pray God, that it may not be laide to their charge.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 17] Notwithstanding the Lord assisted me, and strengthened me, that by me the preaching might be fully beleeued, and that al the Gentiles should heare: and I was deliuered out of the mouth of the lion.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 18] And the Lord will deliuer me from euery euil worke, and will preserue me vnto his heauenly kingdome: to whome be praise for euer and euer, Amen.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the householde of Onesiphorus.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus abode at Corinthus: Trophimus I left at Miletum sicke.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Make speede to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.
[GNV | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Iesus Christ be with thy spirit. Grace be with you, Amen. ‘The second Epistle written from Rome vnto Timotheus, the first Bishop elected of the Church of Ephesus, when Paul was presented the second time before the Emperour Nero.’
