[BSB | EN | NT | Mark | Chapter 14 | Verse 1] Now the Passover and the Feast of Unleavened Bread were two days away, and the chief priests and scribes were looking for a covert way to arrest Jesus and kill Him.
[BSB | EN | NT | Mark | Chapter 14 | Verse 2] “But not during the feast,” they said, “or there may be a riot among the people.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 3] While Jesus was in Bethany reclining at the table in the home of Simon the Leper, a woman came with an alabaster jar of expensive perfume, made of pure nard. She broke open the jar and poured it on Jesus’ head.
[BSB | EN | NT | Mark | Chapter 14 | Verse 4] Some of those present, however, expressed their indignation to one another: “Why this waste of perfume?
[BSB | EN | NT | Mark | Chapter 14 | Verse 5] It could have been sold for over three hundred denarii and the money given to the poor.” And they scolded her.
[BSB | EN | NT | Mark | Chapter 14 | Verse 6] But Jesus said, “Leave her alone; why are you bothering her? She has done a beautiful deed to Me.
[BSB | EN | NT | Mark | Chapter 14 | Verse 7] The poor you will always have with you, and you can help them whenever you want. But you will not always have Me.
[BSB | EN | NT | Mark | Chapter 14 | Verse 8] She has done what she could to anoint My body in advance of My burial.
[BSB | EN | NT | Mark | Chapter 14 | Verse 9] And truly I tell you, wherever the gospel is preached in all the world, what she has done will also be told in memory of her.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 10] Then Judas Iscariot, one of the Twelve, went to the chief priests to betray Jesus to them.
[BSB | EN | NT | Mark | Chapter 14 | Verse 11] They were delighted to hear this, and they promised to give him money. So Judas began to look for an opportunity to betray Jesus.
[BSB | EN | NT | Mark | Chapter 14 | Verse 12] On the first day of the Feast of Unleavened Bread, when the Passover lamb was to be sacrificed, Jesus’ disciples asked Him, “Where do You want us to prepare for You to eat the Passover?”
[BSB | EN | NT | Mark | Chapter 14 | Verse 13] So He sent two of His disciples and told them, “Go into the city, and a man carrying a jug of water will meet you. Follow him,
[BSB | EN | NT | Mark | Chapter 14 | Verse 14] and whichever house he enters, say to the owner, ‘The Teacher asks: Where is My guest room, where I may eat the Passover with My disciples?’
[BSB | EN | NT | Mark | Chapter 14 | Verse 15] And he will show you a large upper room, furnished and ready. Make preparations for us there.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 16] So the disciples left and went into the city, where they found everything as Jesus had described. And they prepared the Passover.
[BSB | EN | NT | Mark | Chapter 14 | Verse 17] When evening came, Jesus arrived with the Twelve.
[BSB | EN | NT | Mark | Chapter 14 | Verse 18] And while they were reclining and eating, Jesus said, “Truly I tell you, one of you who is eating with Me will betray Me.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 19] They began to be grieved and to ask Him one after another, “Surely not I?”
[BSB | EN | NT | Mark | Chapter 14 | Verse 20] He answered, “It is one of the Twelve—the one who is dipping his hand into the bowl with Me.
[BSB | EN | NT | Mark | Chapter 14 | Verse 21] The Son of Man will go just as it is written about Him, but woe to that man by whom He is betrayed! It would be better for him if he had not been born.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 22] While they were eating, Jesus took bread, spoke a blessing and broke it, and gave it to the disciples, saying, “Take it; this is My body.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 23] Then He took the cup, gave thanks, and gave it to them, and they all drank from it.
[BSB | EN | NT | Mark | Chapter 14 | Verse 24] He said to them, “This is My blood of the covenant, which is poured out for many.
[BSB | EN | NT | Mark | Chapter 14 | Verse 25] Truly I tell you, I will no longer drink of the fruit of the vine until that day when I drink it anew in the kingdom of God.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 26] And when they had sung a hymn, they went out to the Mount of Olives.
[BSB | EN | NT | Mark | Chapter 14 | Verse 27] Then Jesus said to them, “You will all fall away, for it is written: ‘I will strike the Shepherd, and the sheep will be scattered.’
[BSB | EN | NT | Mark | Chapter 14 | Verse 28] But after I have risen, I will go ahead of you into Galilee.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 29] Peter declared, “Even if all fall away, I never will.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 30] “Truly I tell you,” Jesus replied, “this very night, before the rooster crows twice, you will deny Me three times.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 31] But Peter kept insisting, “Even if I have to die with You, I will never deny You.” And all the others said the same thing.
[BSB | EN | NT | Mark | Chapter 14 | Verse 32] Then they came to a place called Gethsemane, and Jesus told His disciples, “Sit here while I pray.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 33] He took with Him Peter, James, and John, and began to be deeply troubled and distressed.
[BSB | EN | NT | Mark | Chapter 14 | Verse 34] Then He said to them, “My soul is consumed with sorrow to the point of death. Stay here and keep watch.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 35] Going a little farther, He fell to the ground and prayed that, if it were possible, the hour would pass from Him.
[BSB | EN | NT | Mark | Chapter 14 | Verse 36] “Abba, Father,” He said, “all things are possible for You. Take this cup from Me. Yet not what I will, but what You will.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 37] Then Jesus returned and found them sleeping. “Simon, are you asleep?” He asked. “Were you not able to keep watch for one hour?
[BSB | EN | NT | Mark | Chapter 14 | Verse 38] Watch and pray so that you will not enter into temptation. For the spirit is willing, but the body is weak.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 39] Again He went away and prayed, saying the same thing.
[BSB | EN | NT | Mark | Chapter 14 | Verse 40] And again Jesus returned and found them sleeping—for their eyes were heavy. And they did not know what to answer Him.
[BSB | EN | NT | Mark | Chapter 14 | Verse 41] When Jesus returned the third time, He said, “Are you still sleeping and resting? That is enough! The hour has come. Look, the Son of Man is betrayed into the hands of sinners.
[BSB | EN | NT | Mark | Chapter 14 | Verse 42] Rise, let us go. See, My betrayer is approaching!”
[BSB | EN | NT | Mark | Chapter 14 | Verse 43] While Jesus was still speaking, Judas, one of the Twelve, arrived, accompanied by a crowd armed with swords and clubs, sent from the chief priests, scribes, and elders.
[BSB | EN | NT | Mark | Chapter 14 | Verse 44] Now the betrayer had arranged a signal with them: “The One I kiss is the man; arrest Him and lead Him away securely.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 45] Going directly to Jesus, he said, “Rabbi!” and kissed Him.
[BSB | EN | NT | Mark | Chapter 14 | Verse 46] Then the men seized Jesus and arrested Him.
[BSB | EN | NT | Mark | Chapter 14 | Verse 47] And one of the bystanders drew his sword and struck the servant of the high priest, cutting off his ear.
[BSB | EN | NT | Mark | Chapter 14 | Verse 48] Jesus asked the crowd, “Have you come out with swords and clubs to arrest Me as you would an outlaw?
[BSB | EN | NT | Mark | Chapter 14 | Verse 49] Every day I was with you, teaching in the temple courts, and you did not arrest Me. But this has happened that the Scriptures would be fulfilled.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 50] Then everyone deserted Him and fled.
[BSB | EN | NT | Mark | Chapter 14 | Verse 51] One young man who had been following Jesus was wearing a linen cloth around his body. They caught hold of him,
[BSB | EN | NT | Mark | Chapter 14 | Verse 52] but he pulled free of the linen cloth and ran away naked.
[BSB | EN | NT | Mark | Chapter 14 | Verse 53] They led Jesus away to the high priest, and all the chief priests, elders, and scribes assembled.
[BSB | EN | NT | Mark | Chapter 14 | Verse 54] Peter followed Him at a distance, right into the courtyard of the high priest. And he sat with the officers and warmed himself by the fire.
[BSB | EN | NT | Mark | Chapter 14 | Verse 55] Now the chief priests and the whole Sanhedrin were seeking testimony against Jesus to put Him to death, but they did not find any.
[BSB | EN | NT | Mark | Chapter 14 | Verse 56] For many bore false witness against Jesus, but their testimony was inconsistent.
[BSB | EN | NT | Mark | Chapter 14 | Verse 57] Then some men stood up and testified falsely against Him:
[BSB | EN | NT | Mark | Chapter 14 | Verse 58] “We heard Him say, ‘I will destroy this man-made temple, and in three days I will build another that is made without hands.’”
[BSB | EN | NT | Mark | Chapter 14 | Verse 59] But even their testimony was inconsistent.
[BSB | EN | NT | Mark | Chapter 14 | Verse 60] So the high priest stood up before them and questioned Jesus, “Have You no answer? What are these men testifying against You?”
[BSB | EN | NT | Mark | Chapter 14 | Verse 61] But Jesus remained silent and made no reply. Again the high priest questioned Him, “Are You the Christ, the Son of the Blessed One?”
[BSB | EN | NT | Mark | Chapter 14 | Verse 62] “I am,” said Jesus, “and you will see the Son of Man sitting at the right hand of Power and coming with the clouds of heaven.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 63] At this, the high priest tore his clothes and declared, “Why do we need any more witnesses?
[BSB | EN | NT | Mark | Chapter 14 | Verse 64] You have heard the blasphemy. What is your verdict?” And they all condemned Him as deserving of death.
[BSB | EN | NT | Mark | Chapter 14 | Verse 65] Then some of them began to spit on Him. They blindfolded Him, struck Him with their fists, and said to Him, “Prophesy!” And the officers received Him with slaps in His face.
[BSB | EN | NT | Mark | Chapter 14 | Verse 66] While Peter was in the courtyard below, one of the servant girls of the high priest came down
[BSB | EN | NT | Mark | Chapter 14 | Verse 67] and saw him warming himself there. She looked at Peter and said, “You also were with Jesus the Nazarene.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 68] But he denied it. “I do not know or even understand what you are talking about,” he said. Then he went out to the gateway, and the rooster crowed.
[BSB | EN | NT | Mark | Chapter 14 | Verse 69] There the servant girl saw him and again said to those standing nearby, “This man is one of them.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 70] But he denied it again. After a little while, those standing nearby said once more to Peter, “Surely you are one of them, for you too are a Galilean.”
[BSB | EN | NT | Mark | Chapter 14 | Verse 71] But he began to curse and swear, “I do not know this man of whom you speak!”
[BSB | EN | NT | Mark | Chapter 14 | Verse 72] And immediately the rooster crowed a second time. Then Peter remembered the word that Jesus had spoken to him: “Before the rooster crows twice, you will deny Me three times.” And he broke down and wept.
