[BSB | EN | NT | Mark | Chapter 15 | Verse 1] Early in the morning, the chief priests, elders, scribes, and the whole Sanhedrin devised a plan. They bound Jesus, led Him away, and handed Him over to Pilate.
[BSB | EN | NT | Mark | Chapter 15 | Verse 2] So Pilate questioned Him, “Are You the King of the Jews?” “You have said so,” Jesus replied.
[BSB | EN | NT | Mark | Chapter 15 | Verse 3] And the chief priests began to accuse Him of many things.
[BSB | EN | NT | Mark | Chapter 15 | Verse 4] Then Pilate questioned Him again, “Have You no answer? Look how many charges they are bringing against You!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 5] But to Pilate’s amazement, Jesus made no further reply.
[BSB | EN | NT | Mark | Chapter 15 | Verse 6] Now it was Pilate’s custom at the feast to release to the people a prisoner of their choosing.
[BSB | EN | NT | Mark | Chapter 15 | Verse 7] And a man named Barabbas was imprisoned with the rebels who had committed murder during the insurrection.
[BSB | EN | NT | Mark | Chapter 15 | Verse 8] So the crowd went up and began asking Pilate to keep his custom.
[BSB | EN | NT | Mark | Chapter 15 | Verse 9] “Do you want me to release to you the King of the Jews?” Pilate asked.
[BSB | EN | NT | Mark | Chapter 15 | Verse 10] For he knew it was out of envy that the chief priests had handed Jesus over.
[BSB | EN | NT | Mark | Chapter 15 | Verse 11] But the chief priests stirred up the crowd to have him release Barabbas to them instead.
[BSB | EN | NT | Mark | Chapter 15 | Verse 12] So Pilate asked them again, “What then do you want me to do with the One you call the King of the Jews?”
[BSB | EN | NT | Mark | Chapter 15 | Verse 13] And they shouted back, “Crucify Him!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 14] “Why?” asked Pilate. “What evil has He done?” But they shouted all the louder, “Crucify Him!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 15] And wishing to satisfy the crowd, Pilate released Barabbas to them. But he had Jesus flogged, and handed Him over to be crucified.
[BSB | EN | NT | Mark | Chapter 15 | Verse 16] Then the soldiers led Jesus away into the palace (that is, the Praetorium) and called the whole company together.
[BSB | EN | NT | Mark | Chapter 15 | Verse 17] They dressed Him in a purple robe, twisted together a crown of thorns, and set it on His head.
[BSB | EN | NT | Mark | Chapter 15 | Verse 18] And they began to salute Him: “Hail, King of the Jews!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 19] They kept striking His head with a staff and spitting on Him. And they knelt down and bowed before Him.
[BSB | EN | NT | Mark | Chapter 15 | Verse 20] After they had mocked Him, they removed the purple robe and put His own clothes back on Him. Then they led Him out to crucify Him.
[BSB | EN | NT | Mark | Chapter 15 | Verse 21] Now Simon of Cyrene, the father of Alexander and Rufus, was passing by on his way in from the country, and the soldiers forced him to carry the cross of Jesus.
[BSB | EN | NT | Mark | Chapter 15 | Verse 22] They brought Jesus to a place called Golgotha, which means The Place of the Skull.
[BSB | EN | NT | Mark | Chapter 15 | Verse 23] There they offered Him wine mixed with myrrh, but He did not take it.
[BSB | EN | NT | Mark | Chapter 15 | Verse 24] And they crucified Him. They also divided His garments by casting lots to decide what each of them would take.
[BSB | EN | NT | Mark | Chapter 15 | Verse 25] It was the third hour when they crucified Him.
[BSB | EN | NT | Mark | Chapter 15 | Verse 26] And the charge inscribed against Him read: THE KING OF THE JEWS.
[BSB | EN | NT | Mark | Chapter 15 | Verse 27] Along with Jesus, they crucified two robbers, one on His right and one on His left.
[BSB | EN | NT | Mark | Chapter 15 | Verse 29] And those who passed by heaped abuse on Him, shaking their heads and saying, “Aha! You who are going to destroy the temple and rebuild it in three days,
[BSB | EN | NT | Mark | Chapter 15 | Verse 30] come down from the cross and save Yourself!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 31] In the same way, the chief priests and scribes mocked Him among themselves, saying, “He saved others, but He cannot save Himself!
[BSB | EN | NT | Mark | Chapter 15 | Verse 32] Let the Christ, the King of Israel, come down now from the cross, so that we may see and believe!” And even those who were crucified with Him berated Him.
[BSB | EN | NT | Mark | Chapter 15 | Verse 33] From the sixth hour until the ninth hour darkness came over all the land.
[BSB | EN | NT | Mark | Chapter 15 | Verse 34] At the ninth hour, Jesus cried out in a loud voice, “Eloi, Eloi, lema sabachthani?” which means, “My God, My God, why have You forsaken Me?”
[BSB | EN | NT | Mark | Chapter 15 | Verse 35] When some of those standing nearby heard this, they said, “Behold, He is calling Elijah.”
[BSB | EN | NT | Mark | Chapter 15 | Verse 36] And someone ran and filled a sponge with sour wine. He put it on a reed and held it up for Jesus to drink, saying, “Leave Him alone. Let us see if Elijah comes to take Him down.”
