[BSB | EN | NT | Mark | Chapter 1 | Verse 1] This is the beginning of the gospel of Jesus Christ, the Son of God.
[BSB | EN | NT | Mark | Chapter 1 | Verse 2] As it is written in Isaiah the prophet: “Behold, I will send My messenger ahead of You, who will prepare Your way.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 3] “A voice of one calling in the wilderness, ‘Prepare the way for the Lord, make straight paths for Him.’”
[BSB | EN | NT | Mark | Chapter 1 | Verse 4] John the Baptist appeared in the wilderness, preaching a baptism of repentance for the forgiveness of sins.
[BSB | EN | NT | Mark | Chapter 1 | Verse 5] People went out to him from all of Jerusalem and the countryside of Judea. Confessing their sins, they were baptized by him in the Jordan River.
[BSB | EN | NT | Mark | Chapter 1 | Verse 6] John was clothed in camel’s hair, with a leather belt around his waist. His food was locusts and wild honey.
[BSB | EN | NT | Mark | Chapter 1 | Verse 7] And he began to proclaim: “After me will come One more powerful than I, the straps of whose sandals I am not worthy to stoop down and untie.
[BSB | EN | NT | Mark | Chapter 1 | Verse 8] I baptize you with water, but He will baptize you with the Holy Spirit.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 9] In those days Jesus came from Nazareth in Galilee and was baptized by John in the Jordan.
[BSB | EN | NT | Mark | Chapter 1 | Verse 10] As soon as Jesus came up out of the water, He saw the heavens breaking open and the Spirit descending on Him like a dove.
[BSB | EN | NT | Mark | Chapter 1 | Verse 11] And a voice came from heaven: “You are My beloved Son; in You I am well pleased.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 12] At once the Spirit drove Jesus into the wilderness,
[BSB | EN | NT | Mark | Chapter 1 | Verse 13] and He was there for forty days, being tempted by Satan. He was with the wild animals, and the angels ministered to Him.
[BSB | EN | NT | Mark | Chapter 1 | Verse 14] After the arrest of John, Jesus went into Galilee and proclaimed the gospel of God.
[BSB | EN | NT | Mark | Chapter 1 | Verse 15] “The time is fulfilled,” He said, “and the kingdom of God is near. Repent and believe in the gospel!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 16] As Jesus was walking beside the Sea of Galilee, He saw Simon and his brother Andrew. They were casting a net into the sea, for they were fishermen.
[BSB | EN | NT | Mark | Chapter 1 | Verse 17] “Come, follow Me,” Jesus said, “and I will make you fishers of men.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 18] And at once they left their nets and followed Him.
[BSB | EN | NT | Mark | Chapter 1 | Verse 19] Going on a little farther, He saw James son of Zebedee and his brother John. They were in a boat, mending their nets.
[BSB | EN | NT | Mark | Chapter 1 | Verse 20] Immediately Jesus called them, and they left their father Zebedee in the boat with the hired men and followed Him.
[BSB | EN | NT | Mark | Chapter 1 | Verse 21] Then Jesus and His companions went to Capernaum, and right away Jesus entered the synagogue on the Sabbath and began to teach.
[BSB | EN | NT | Mark | Chapter 1 | Verse 22] The people were astonished at His teaching, because He taught as one who had authority, and not as the scribes.
[BSB | EN | NT | Mark | Chapter 1 | Verse 23] Suddenly a man with an unclean spirit cried out in the synagogue:
[BSB | EN | NT | Mark | Chapter 1 | Verse 24] “What do You want with us, Jesus of Nazareth? Have You come to destroy us? I know who You are—the Holy One of God!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 25] But Jesus rebuked the spirit. “Be silent!” He said. “Come out of him!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 26] At this, the unclean spirit threw the man into convulsions and came out with a loud shriek.
[BSB | EN | NT | Mark | Chapter 1 | Verse 27] All the people were amazed and began to ask one another, “What is this? A new teaching with authority! He commands even the unclean spirits, and they obey Him!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 28] And the news about Jesus spread quickly through the whole region of Galilee.
[BSB | EN | NT | Mark | Chapter 1 | Verse 29] As soon as Jesus and His companions had left the synagogue, they went with James and John to the home of Simon and Andrew.
[BSB | EN | NT | Mark | Chapter 1 | Verse 30] Simon’s mother-in-law was sick in bed with a fever, and they promptly told Jesus about her.
[BSB | EN | NT | Mark | Chapter 1 | Verse 31] So He went to her, took her by the hand, and helped her up. The fever left her, and she began to serve them.
[BSB | EN | NT | Mark | Chapter 1 | Verse 32] That evening, after sunset, people brought to Jesus all who were sick and demon-possessed,
[BSB | EN | NT | Mark | Chapter 1 | Verse 33] and the whole town gathered at the door.
