[IRV | MR | OT | Exodus | Chapter 25 | Verse 1] परमेश्वर मोशेला म्हणाला,
[IRV | MR | OT | Exodus | Chapter 25 | Verse 2] “इस्राएल लोकांस माझ्यासाठी अर्पणे आणायला सांग. ज्या कोणाची माझ्यासाठी मनापासून अर्पण करण्याची इच्छा असेल त्या प्रत्येकापासून ही अर्पणे तू माझ्यासाठी स्वीकारावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 3] त्यांच्याकडून तू माझ्याकरिता घ्यावयाच्या वस्तूंच्या अर्पणाची यादी अशी: सोने, चांदी, पितळ;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 4] निळ्या, जांभळ्या व किरमिजी रंगाचे सूत आणि तलम सणाचे कापड; बकऱ्याचे केस;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 5] लाल रंगवलेली मेंढ्यांची कातडी; तहशाची कातडी, बाभळीचे लाकूड;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 6] दिव्यासाठी तेल, अभिषेकाच्या तेलासाठी आणि सुगंधी धुपासाठी मसाले;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 7] एफोद व ऊरपट ह्यात खोचण्यासाठी गोमेदमणी व इतर रत्ने.”
[IRV | MR | OT | Exodus | Chapter 25 | Verse 8] मी त्यांच्यामध्ये निवास करावा म्हणून त्यांनी माझ्यासाठी एक पवित्रस्थान तयार करावे.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 9] निवासमंडप कसा असावा त्याचा नमुना व त्यातील वस्तू कशा असाव्यात त्यांचा नमुना मी तुला दाखवीन. त्या सगळ्याप्रमाणे तुम्ही तो तयार करावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 10] “बाभळीच्या लाकडाची एक पेटी तयार करावी; त्याची लांबी अडीच हात, रुंदी दीड हात व उंची दीड हात असावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 11] तो आतून बाहेरून शुध्द सोन्याने मढवावा आणि त्याच्यावर सभोवती शुद्ध सोन्याचा काठ करावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 12] त्याच्या चारही पायांना लावण्यासाठी सोन्याच्या चार गोल कड्या ओतून एकाबाजूला दोन व दुसऱ्या बाजूला दोन अशा लावाव्या.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 13] बाभळीच्या लाकडाचे दांडे करावेत व तेही सोन्याने मढवावेत
[IRV | MR | OT | Exodus | Chapter 25 | Verse 14] कोशाच्या कोपऱ्यांवरील गोल कड्यांमध्ये दांडे घालून मग तो वाहून न्यावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 15] हे दांडे कोशाच्या कड्यातच कायम तसेच राहू द्यावेत, ते काढून घेऊ नयेत.”
[IRV | MR | OT | Exodus | Chapter 25 | Verse 16] देव म्हणाला, मी तुला साक्षपट देईन तोही त्या कोशात ठेवावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 17] मग शुद्ध सोन्याचे एक दयासन बनवावे; त्याची लांबी अडीच हात, रूंदी दीड हात असावी;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 18] मग सोन्याचे घडीव काम करून दोन करुब करून ते दयासनाच्या दोन्ही टोकांना ठेवावेत.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 19] एक करुब एका बाजूला व दुसरा करुब दुसऱ्या बाजूला असे दयासनाशी एकत्र जोडून अखंड सोन्याचे घडवावेत.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 20] त्या करुबांचे पंख आकाशाकडे वर पसरलेले असावेत व त्यांच्या पंखांनी दयासन झाकलेले असावे; त्याची तोंडे समोरासमोर असावीत व त्यांची दृष्टी दयासनाकडे लागलेली असावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 21] दयासन कोशावर ठेवावे. मी तुला जो साक्षपट देईन तो तू त्या कोशात ठेवावा;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 22] तेथे मी तुला भेटत जाईन. दयासनावरून त्या साक्षपटाच्या कोशावरील ठेवलेल्या दोन्ही करुबामधून मी तुझ्याशी बोलेन आणि तेथूनच मी इस्राएल लोकांसाठी माझ्या सर्व आज्ञा देईन.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 23] बाभळीच्या लाकडाचे एक मेज बनवावे; त्याची लांबी दोन हात, रूंदी एक हात व उंची दीड हात असावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 24] ते शुद्ध सोन्याने मढवावे, व त्याच्या भोवती सोन्याचा काठ करावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 25] मग चार बोटे रुंदीची एक चौकट बनवावी व सोन्याचा काठ तिच्यावर ठेवावा.
