[OEB | EN | NT | Matthew | Chapter 24 | Verse 1] Leaving the Temple Courts, Jesus was walking away, when his disciples came up to draw his attention to the Temple buildings.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 2] ‘Do you see all these things?’ was his answer. ‘I tell you, not a single stone will be left here on another, which will not be thrown down,’
[OEB | EN | NT | Matthew | Chapter 24 | Verse 3] so, while Jesus was sitting on the Mount of Olives, his disciples came up to him privately and said, ‘Tell us when this will be, and what will be the sign of your coming, and of the close of the age.’
[OEB | EN | NT | Matthew | Chapter 24 | Verse 4] Jesus replied to them, ‘See that no one leads you astray;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 5] for, many will take my name, and come saying “I am the Christ,” and will lead many astray.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 6] You will hear of wars and rumours of wars; take care not to be alarmed, for such things must occur; but the end is not yet here.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 7] For nation will rise against nation and kingdom against kingdom, and there will be famines and earthquakes in various places.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 8] All this, however, will be but the beginning of the birth pangs!
[OEB | EN | NT | Matthew | Chapter 24 | Verse 9] When that time comes, they will give you up to persecution, and will put you to death, and you will be hated by all nations because of me.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 10] And then many will fall away, and will betray one another, and hate one another.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 11] Many false prophets, also, will appear and lead many astray;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 12] and, owing to the increase of wickedness, the love of most will grow cold.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 13] Yet the person who endures to the end will be saved.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 14] This good news of the kingdom will be proclaimed throughout the world as a witness to all nations; and then will come the end.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 15] As soon, then, as you see “the Foul Desecration,” mentioned by the prophet Daniel, standing in the Holy place,’ (the reader must consider what this means)
[OEB | EN | NT | Matthew | Chapter 24 | Verse 16] ‘then those of you who are in Judea must take refuge in the mountains;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 17] and a man on the housetop must not go down to get the things that are in his house;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 18] nor must one who is on their farm turn back to get his cloak.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 19] Alas for pregnant women, and for those who are nursing infants in those days!
[OEB | EN | NT | Matthew | Chapter 24 | Verse 20] Pray, too, that your flight may not take place in winter, nor on a Sabbath;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 21] for that will be a time of great distress, the like of which has not occurred from the beginning of the world down to the present time – no, nor ever will again.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 22] Had not those days been limited, not a single soul would escape; but for the sake of God’s people a limit will be put to them.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 23] At that time, if anyone should say to you “Look! Here is the Christ!” or “Here he is!”, do not believe it;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 24] for false Christs and false prophets will arise, and will display great signs and marvels, so that, were it possible, even God’s people would be led astray.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 25] Remember, I have told you beforehand.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 26] Therefore, if people say to you “He is in the wilderness!”, do not go out there; or “He is in an inner room!”, do not believe it;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 27] for, just as lightning will start from the east and flash across to the west, so will it be with the coming of the Son of Man.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 28] Wherever a dead body lies, there will the vultures flock.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 29] Immediately after the distress of those days, the sun will be darkened, the moon will not give her light, the stars will fall from the heavens, and the forces of the heavens will be convulsed.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 30] Then will appear the sign of the Son of Man in the heavens; and all the peoples of the earth will mourn, when they see the Son of Man coming on the clouds of the heavens, with power and great glory;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 31] and he will send his angels, with a great trumpet, and they will gather his people round him from the four winds, from one end of heaven to the other.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 32] ‘Learn the lesson taught by the fig tree. As soon as its branches are full of sap, and it is bursting into leaf, you know that summer is near.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 33] And so may you, as soon as you see all these things, know that he is at your doors.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 34] I tell you, even the present generation will not pass away, until all these things have taken place.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 35] The heavens and the earth will pass away, but my words will never pass away.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 36] But about that day and hour, no one knows – not even the angels of heaven, not even the Son – but only the Father himself.
