[OEB | EN | NT | Matthew | Chapter 18 | Verse 1] On the same occasion the disciples came to Jesus, and asked him, ‘Who is really the greatest in the kingdom of heaven?’
[OEB | EN | NT | Matthew | Chapter 18 | Verse 2] Jesus called a little child to him, and placed it in the middle of them, and then said,
[OEB | EN | NT | Matthew | Chapter 18 | Verse 3] ‘I tell you, unless you change and become like little children, you will not enter the kingdom of heaven at all.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 4] Therefore, anyone who will humble themselves like this child – that person will be the greatest in the kingdom of heaven.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 5] And anyone who, for the sake of my name, welcomes even one little child like this, is welcoming me.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 6] But, if anyone puts temptation in the way of one of these little ones who believe in me, it would be best for them to be sunk in the depths of the sea with a great millstone hung round their neck.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 7] Alas for the world because of such temptations! There cannot but be temptations but sorrow awaits the person who does the tempting!
[OEB | EN | NT | Matthew | Chapter 18 | Verse 8] ‘If your hand or your foot causes you to sin, cut it off, and throw it away. It would be better for you to enter life maimed or lame, than to have both hands, or both feet, and be thrown into the fire that never goes out.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 9] If your eye causes you to sin, take it out, and throw it away. It would be better for you to enter the life with only one eye, than to have both eyes and be thrown into the fires of Gehenna.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 10] Beware of despising one of these little ones, for in heaven, I tell you, their angels always see the face of my Father who is in heaven.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 12] ‘What think you? If a person owns a hundred sheep, and one of them strays, will the person not leave the ninety-nine on the hills, and go and search for the one that is straying?
[OEB | EN | NT | Matthew | Chapter 18 | Verse 13] And, if they succeed in finding it, I tell you that they rejoice more over that one sheep than over the ninety-nine which did not stray.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 14] So, too, it is the will of my Father who is in heaven that not one of these little ones should be lost.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 15] ‘If your brother or sister does wrong, go to them and convince them of their fault when you are both alone. If they listen to you, you have won them over.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 16] But, if they do not listen to you, take with you one or two others, so that on the evidence of two or three witnesses, every word may be put beyond dispute.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 17] If they refuse to listen to them, speak to the church; and, if they also refuse to listen to the church, treat him as you would a Gentile or a tax-gatherer.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 18] ‘I tell you, all that you forbid on earth will be held in heaven to be forbidden, and all that you allow on earth will be held in heaven to be allowed.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 19] Again, I tell you that, if but two of you on earth agree as to what they will pray for, whatever it be, it will be granted them by my Father who is in heaven.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 20] For where two or three have come together in my name, I am present with them.’
[OEB | EN | NT | Matthew | Chapter 18 | Verse 21] Then Peter came up, and said to Jesus, ‘Master, how often am I to forgive someone who wrongs me? As many as seven times?’
[OEB | EN | NT | Matthew | Chapter 18 | Verse 22] But Jesus answered, ‘Not seven times, but seventy times seven.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 23] Therefore the kingdom of heaven may be compared to a king who wished to settle accounts with his servants.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 24] When he had begun to do so, one of them was brought to him who owed him ten thousand bags of gold;
[OEB | EN | NT | Matthew | Chapter 18 | Verse 25] and, as he could not pay, his master ordered him to be sold towards the payment of the debt, together with his wife, and his children, and everything that he had.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 26] The servant threw himself down on the ground before him and said “Have patience with me, and I will pay you all.”
[OEB | EN | NT | Matthew | Chapter 18 | Verse 27] The master was moved with compassion; and he let him go, and forgave him the debt.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 28] But, on going out, that same servant came upon one of his fellow servants who owed him a hundred silver coins. Seizing him by the throat, he said “Pay what you owe me.”
[OEB | EN | NT | Matthew | Chapter 18 | Verse 29] His fellow servant threw himself on the ground and begged for mercy. “Have patience with me,” he said, “and I will pay you.”
[OEB | EN | NT | Matthew | Chapter 18 | Verse 30] But the other would not, but went and put him in prison until he should pay his debt.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 31] When his fellow servants saw what had happened, they were greatly distressed, and went to their master and laid the whole matter before him.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 32] So the master sent for the servant, and said to him “You wicked servant! When you begged me for mercy, I forgave you the whole of that debt.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 33] Shouldn’t you, also, to have shown mercy to your fellow servant, just as I showed mercy to you?”
[OEB | EN | NT | Matthew | Chapter 18 | Verse 34] Then his master, in anger, handed him over to the jailers, until he should pay the whole of his debt.
[OEB | EN | NT | Matthew | Chapter 18 | Verse 35] So, also, will my heavenly Father do to you, unless each one of you forgives his brother or sister from your heart.’
