[OEB | EN | NT | Matthew | Chapter 9 | Verse 1] Afterwards Jesus got into a boat, and, crossing over, came to his own city.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 2] There some people brought to him a paralysed man on a bed. When Jesus saw their faith, he said to the man, ‘Courage, child! Your sins are forgiven.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 3] Then some of the teachers of the Law said to themselves, ‘This man is blaspheming!’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 4] Knowing their thoughts, Jesus exclaimed, ‘Why do your cherish such wicked thoughts?
[OEB | EN | NT | Matthew | Chapter 9 | Verse 5] Which, I ask, is the easier? – to say “Your sins are forgiven”? Or to say “Get up, and walk”?
[OEB | EN | NT | Matthew | Chapter 9 | Verse 6] But to show you that the Son of Man has power on earth to forgive sins’ – then he said to the paralysed man – ‘Get up, take up your bed, and return to your home.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 7] The man got up and went to his home.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 8] When the crowd saw this, they were awe-struck, and praised God for giving such power to human beings.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 9] As Jesus went along, he saw a man, called Matthew, sitting in the tax office, and said to him, ‘Follow me.’ Matthew got up and followed him.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 10] And, later on, when he was having dinner in the house, a number of tax collectors and outcasts came in and took their places at the table with Jesus and his disciples.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 11] When the Pharisees saw this, they said to his disciples, ‘Why does your teacher eat in the company of tax collectors and outcasts?’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 12] On hearing this, Jesus said, ‘It is not those who are healthy who need a doctor, but those who are ill.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 13] Go and learn what this means – “I desire mercy, and not sacrifice”; for I did not come to call the religious, but the outcast.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 14] Then John’s disciples came to Jesus, and asked, ‘Why do we and the Pharisees fast while your disciples do not?’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 15] Jesus answered, ‘Can the groom’s friends mourn as long as the groom is with them? But the days will come, when the groom will be taken away from them, and they will fast then.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 16] Nobody ever puts a piece of unshrunk cloth on an old garment; for such a patch tears away from the garment, and a worse tear is made.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 17] Nor do people put new wine into old wine-skins; for, if they do, the skins burst, and the wine runs out, and the skins are lost; but they put new wine into fresh skins, and so both are preserved.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 18] While Jesus was saying this, a synagogue leader came up and bowed to the ground before him. ‘My daughter,’ he said, ‘has just died; but come and place your hand on her, and she will be restored to life.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 19] So Jesus rose and followed him, and his disciples went also.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 20] But meanwhile a woman, who had been suffering from haemorrhage for twelve years, came up behind and touched the tassel of his cloak.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 21] ‘If I only touch his cloak,’ she said to herself, ‘I will get well.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 22] Turning and seeing her, Jesus said, ‘Courage, daughter! Your faith has delivered you.’ And at that very moment she became well.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 23] When Jesus reached the leader’s house, seeing the flute players, and a number of people all in confusion,
[OEB | EN | NT | Matthew | Chapter 9 | Verse 24] he said, ‘Go away, the little girl is not dead; she is asleep.’ They began to laugh at him;
[OEB | EN | NT | Matthew | Chapter 9 | Verse 25] but, when the people had been sent out, Jesus went in, and took the little girl’s hand, and she rose.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 26] The report of this spread through all that part of the country.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 27] As Jesus was passing on from there, he was followed by two blind men, who kept calling out, ‘Take pity on us, Son of David!’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 28] When he had gone indoors, the blind men came up to him; and Jesus asked them, ‘Do you believe that I am able to do this?’ ‘Yes, Master!’ they answered.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 29] Then he touched their eyes, and said, ‘It will be according to your faith.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 30] Then their eyes were opened. Jesus sternly cautioned them. ‘See that no one knows of it,’ he said.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 31] But the men went out, and spread the news about him through all that part of the country.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 32] Just as they were going out, some people brought up to Jesus a dumb man who was possessed by a demon;
[OEB | EN | NT | Matthew | Chapter 9 | Verse 33] and, as soon as the demon had been driven out, the dumb man spoke. The people were astonished at this, and exclaimed, ‘Nothing like this has ever been seen in Israel!’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 34] But the Pharisees said, ‘He drives out the demons by the help of the chief of the demons.’
[OEB | EN | NT | Matthew | Chapter 9 | Verse 35] Jesus went round all the towns and the villages, teaching in their synagogues, proclaiming the good news of the kingdom, and curing every kind of disease and every kind of sickness.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 36] But, when he saw the crowds, his heart was moved with compassion for them, because they were distressed and harassed, like sheep without a shepherd;
[OEB | EN | NT | Matthew | Chapter 9 | Verse 37] and he said to his disciples, ‘The harvest is abundant, but the labourers are few.
[OEB | EN | NT | Matthew | Chapter 9 | Verse 38] Therefore pray to the owner of the harvest to send labourers to gather in his harvest.’
