[OEB | EN | NT | Matthew | Chapter 23 | Verse 1] Then Jesus, speaking to the crowds and to his disciples, said,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 2] ‘The teachers of the Law and the Pharisees now occupy the chair of Moses.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 3] Therefore practice and lay to heart everything that they preach but do not practice.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 4] While they make up heavy loads and pile them on other people’s shoulder’s they decline, themselves, to lift a finger to move them.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 5] All their actions are done to attract attention. They widen their phylacteries, and increase the size of their tassels,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 6] and like to have the place of honour at dinner, and the best seats in the synagogues,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 7] and to be greeted in the markets with respect, and to be called “Rabbi” by everybody.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 8] But do not allow yourselves to be called “Rabbi,” for you have only one teacher, and you yourselves are all brothers and sisters.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 9] And do not call anyone on the earth your “Father,” for your have only one Father, the heavenly Father.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 10] Nor must you allow yourselves to be called “leaders,” for you have only one leader, the Christ.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 11] The person who wants to be the greatest among you must be your servant.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 12] Whoever exalts themselves will be humbled, and whoever humbles themselves will be exalted.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 13] But alas for you, teachers of the Law and Pharisees, hypocrites that you are! You turn the key of the kingdom of heaven in people’s faces. For you do not go in yourselves, and do not allow those who try to go in to do so.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 15] Alas for you, teachers of the law and Pharisees, hypocrites that you are! You scour land and sea to make a single convert, and, when they are gained, you make them twice as deserving of Gehenna as you are yourselves.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 16] Alas for you, you blind guides! You say “if any swear by the Temple, their oath counts for nothing; but, if anyone swears by the gold of the Temple, their oath is binding them”!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 17] Fools that you are and blind! Which is the more important? The gold? Or the Temple which has given sacredness to the gold?
[OEB | EN | NT | Matthew | Chapter 23 | Verse 18] You say, too, “If anyone swears by the altar, their oath counts for nothing, but, if anyone swears by the offering placed on it, their oath is binding on them”!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 19] Blind indeed! Which is the more important? The offering? Or the altar which gives sacredness to the offering?
[OEB | EN | NT | Matthew | Chapter 23 | Verse 20] Therefore a person, swearing by the altar, swears by it and by all that is on it,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 21] and a person, swearing by the Temple, swears by it and by him who dwells in it,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 22] while a person, swearing by heaven, swears by the throne of God, and by him who sits on it.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 23] Alas for you, teachers of the Law and Pharisees, hypocrites that you are! You pay tithes on mint, fennel, and caraway seed, and have neglected the weightier matters of the Law – justice, mercy, and good faith. These last you ought to have put into practice, without neglecting the first.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 24] You blind guides, to strain out a gnat and to swallow a camel!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 25] Alas for you, teachers of the Law and Pharisees, hypocrites that you are! You clean the outside of the cup and the dish, but inside they are filled with the results of greed and self-indulgence.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 26] You blind Pharisee! First clean the inside of the cup and the dish, so that the outside may become clean as well.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 27] Alas for you, teachers of the Law and Pharisees, hypocrites that you are! You are like whitewashed tombs, which indeed look fair outside, while inside they are filled with dead people’s bones and all kinds of filth.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 28] It is the same with you. Outwardly, and to others, you have the look of religious people, but inwardly you are full of hypocrisy and sin.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 29] Alas for you, teachers of the Law and Pharisees, hypocrites that you are! You build the tombs of the prophets, and decorate the monuments of religious people,
[OEB | EN | NT | Matthew | Chapter 23 | Verse 30] and say “Had we been living in the days of our ancestors, we should have taken no part in their murder of the prophets!”
[OEB | EN | NT | Matthew | Chapter 23 | Verse 31] By doing this you are furnishing evidence against yourselves that you are true children of the people who murdered the prophets.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 32] Go on then, finish what your ancestors began!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 33] You snakes and children of snakes! How can you escape being sentenced to Gehenna?
[OEB | EN | NT | Matthew | Chapter 23 | Verse 34] That is why I send you prophets, wise people, and teachers of the Law, some of whom you will crucify and kill, and some of whom you will scourge in your synagogues, and persecute from town to town;
[OEB | EN | NT | Matthew | Chapter 23 | Verse 35] so that on your heads may fall every drop of innocent blood split on earth, from the blood of innocent Abel down to that of Zechariah, Barachiah’s son, whom you murdered between the Temple and the altar.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 36] All this, I tell you, will come home to the present generation.
[OEB | EN | NT | Matthew | Chapter 23 | Verse 37] Jerusalem! Jerusalem! She who slays the prophets and stones the messengers sent to her – Oh, how often have I wished to gather your children round me, as a hen gathers her brood under her wings, and you would not come!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 38] Verily, your house is left to you desolate!
[OEB | EN | NT | Matthew | Chapter 23 | Verse 39] For nevermore, I tell you, will you see me, until you say – “Blessed is He who comes in the name of the Lord!”’
