[OEB | EN | NT | Matthew | Chapter 28 | Verse 1] After the Sabbath, as the first day of the week began to dawn, Mary of Magdala and the other Mary had gone to look at the grave,
[OEB | EN | NT | Matthew | Chapter 28 | Verse 2] when suddenly a great earthquake occurred. For an angel of the Lord descended from heaven, and came and rolled away the stone, and seated himself on it.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 3] His appearance was as dazzling as lightning, and his clothing was as white as snow;
[OEB | EN | NT | Matthew | Chapter 28 | Verse 4] and, in their terror of him, the men on guard trembled violently and became like dead men.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 5] But the angel, addressing the women, said, ‘You need not be afraid. I know that it is Jesus, who was crucified, for whom you are looking.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 6] He is not here; for he has risen, as he said he would. Come, and see the place where he was lying;
[OEB | EN | NT | Matthew | Chapter 28 | Verse 7] and then go quickly and say to his disciples “He has risen from the dead, and is going before you into Galilee; there you will see him.” Remember, I have told you.’
[OEB | EN | NT | Matthew | Chapter 28 | Verse 8] They left the tomb quickly, in awe and great joy, and ran to tell the news to the disciples.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 9] Suddenly Jesus met them. ‘Welcome!’ he said. The women went up to him, and clasped his feet, bowing to the ground before him. Then Jesus said to them,
[OEB | EN | NT | Matthew | Chapter 28 | Verse 10] ‘Do not be afraid; go and tell my brothers and sisters to set out for Galilee, and they will see me there.’
[OEB | EN | NT | Matthew | Chapter 28 | Verse 11] While they were still on their way, some of the guard came into the city, and reported to the chief priests everything that had happened.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 12] So they and the elders met and, after holding a consultation, gave a large sum of money to the soldiers,
[OEB | EN | NT | Matthew | Chapter 28 | Verse 13] and told them to say that his disciples came in the night, and stole him while they were asleep;
[OEB | EN | NT | Matthew | Chapter 28 | Verse 14] ‘And should this matter come before the Governor,’ they added, ‘we will satisfy him, and see that you have nothing to fear.’
[OEB | EN | NT | Matthew | Chapter 28 | Verse 15] So the soldiers took the money, and did as they were instructed. This story spread widely; the people of Judea still tell it today.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 16] The eleven disciples went to Galilee, to the mountain where Jesus told them to meet him;
[OEB | EN | NT | Matthew | Chapter 28 | Verse 17] and, when they saw him, they bowed to the ground before him; although some felt doubtful.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 18] Then Jesus came up, and spoke to them, saying, ‘All authority in heaven and on the earth has been given to me.
[OEB | EN | NT | Matthew | Chapter 28 | Verse 19] Therefore go and make disciples of all the nations, baptizing them in the name of the Father, the Son, and the Holy Spirit,
[OEB | EN | NT | Matthew | Chapter 28 | Verse 20] and teaching them to lay to heart all the commands that I have given you; and, remember, I myself am with you every day until the close of the age.’
