[OEB | EN | NT | Matthew | Chapter 19 | Verse 1] At the conclusion of this teaching, Jesus withdrew from Galilee, and went into that district of Judea which is on the other side of the Jordan.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 2] Great crowds followed him, and he cured them there.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 3] Presently some Pharisees came up to him, and, to test him, said, ‘Has a man the right to divorce his wife for every cause?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 4] ‘Haven’t you read,’ replied Jesus, ‘that at the beginning the Creator “made them male and female,”
[OEB | EN | NT | Matthew | Chapter 19 | Verse 5] and said – “For this reason a man will leave his father and mother, and be united to his wife, and the man and his wife will become one”?
[OEB | EN | NT | Matthew | Chapter 19 | Verse 6] So that they are no longer two, but one. What God himself, then, has yoked together people must not separate.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 7] ‘Why, then,’ they said, ‘did Moses direct that a man should serve his wife with a notice of separation and divorce her?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 8] ‘Moses, owing to the hardness of your hearts,’ answered Jesus, ‘permitted you to divorce your wives, but that was not so at the beginning.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 9] But I tell you that anyone who divorces his wife, except on the ground of some serious sexual sin, and marries another woman, is guilty of adultery.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 10] ‘If that,’ said the disciples, ‘is the position of a man with regard to his wife, it is better not to marry.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 11] ‘It is not everyone,’ replied Jesus, ‘who can accept this teaching, but only those who have been enabled to do so.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 12] Some men are incapable of marriage because they were born that way, or have been made so by other people, while there are others who stay single for the sake of the kingdom of Heaven. Accept this if you can.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 13] Then some little children were brought to Jesus, for him to place his hands on them, and pray; but the disciples found fault with those who had brought them.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 14] Jesus, however, said, ‘Let the little children come to me, and do not hinder them, for it is to the childlike that the kingdom of heaven belongs.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 15] So he placed his hands on them, and then went on his way.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 16] A man came up to Jesus, and said, ‘Teacher, what good thing must I do to obtain eternal life?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 17] ‘Why ask me about goodness?’ answered Jesus. ‘There is but One who is good. If you want to enter the life, keep the commandments.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 18] ‘What commandments?’ asked the man. ‘These,’ answered Jesus, – ‘“You must not kill. You must not commit adultery. You must not steal. You must not say what is false about others.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 19] Honour your father and your mother.” And “You must love your neighbour as you love yourself.”’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 20] ‘I have observed all these,’ said the young man. ‘What is still wanting in me?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 21] ‘If you wish to be perfect,’ answered Jesus, ‘go and sell your property, and give to the poor, and you will have wealth in heaven; then come and follow me.’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 22] On hearing these words, the young man went away distressed, for he had great possessions.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 23] At this, Jesus said to his disciples, ‘I tell you that a rich person will find it hard to enter the kingdom of heaven!
[OEB | EN | NT | Matthew | Chapter 19 | Verse 24] I say again, it is easier for a camel to get through a needle’s eye than for a rich person to enter the kingdom of heaven!’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 25] On hearing this, the disciples exclaimed in great astonishment, ‘Who then can possibly be saved?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 26] But Jesus looked at them, and said, ‘With people this is impossible, but with God everything is possible.’ Then Peter turned and said to Jesus,
[OEB | EN | NT | Matthew | Chapter 19 | Verse 27] ‘But we – we left everything, and followed you; what, then, will we have?’
[OEB | EN | NT | Matthew | Chapter 19 | Verse 28] ‘I tell you,’ answered Jesus, ‘that at the new creation, when the Son of Man takes his seat on his throne of glory, you who followed me will be seated on twelve thrones, as judges of the twelve tribes of Israel.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 29] Everyone who has left houses, or brothers, or sisters, or father, or mother, or children, or land, for my sake, will receive many times as much, and will gain eternal life.
[OEB | EN | NT | Matthew | Chapter 19 | Verse 30] But many who are first now will then be last, and those who are last will be first.
