[OEB | EN | NT | Matthew | Chapter 15 | Verse 1] Then some Pharisees and teachers of the Law came to Jesus, and said,
[OEB | EN | NT | Matthew | Chapter 15 | Verse 2] ‘How is it that your disciples break the traditions of our ancestors? For they do not wash their hands when they eat food.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 3] His reply was, ‘How is it that you on your side break God’s commandments out of respect for your own traditions?
[OEB | EN | NT | Matthew | Chapter 15 | Verse 4] For God said – “Honour your father and mother,” and “Anyone who abuses his father or mother shall suffer death,”
[OEB | EN | NT | Matthew | Chapter 15 | Verse 5] but you say “Whenever anyone says to his father or mother ‘Whatever of mine might have been of service to you is set apart for God,’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 6] he is in no way bound to honour his father.” In this way you have nullified the words of God for the sake of your traditions.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 7] Hypocrites! It was well said by Isaiah when he prophesied about you –
[OEB | EN | NT | Matthew | Chapter 15 | Verse 8] “This is a people that honour me with their lips, While their hearts are far removed from me;
[OEB | EN | NT | Matthew | Chapter 15 | Verse 9] but vainly do they worship me, For they teach but human precepts.”’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 10] Then Jesus called the people to him, and said, ‘Listen, and mark my words.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 11] It is not what enters a person’s mouth that defiles them, but what comes out from their mouth – that does defile them!’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 12] His disciples came up to him, and said, ‘Do you know that the Pharisees were shocked on hearing what you said?’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 13] ‘Every plant,’ Jesus replied, ‘that my heavenly Father has not planted will be rooted up.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 14] Leave them be; they are but blind guides; and, if one blind person guides another, both of them will fall into a ditch.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 15] Peter spoke up, ‘Explain this saying to us.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 16] ‘What, do even you understand nothing yet?’ Jesus exclaimed.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 17] ‘Don’t you see that whatever goes into the mouth passes into the stomach, and is afterwards expelled?
[OEB | EN | NT | Matthew | Chapter 15 | Verse 18] But the things that come out of the mouth proceed from the heart, and it is these that defile a person;
[OEB | EN | NT | Matthew | Chapter 15 | Verse 19] for out of the heart proceed evil thoughts – murder, adultery, sexual immorality, theft, perjury, slander.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 20] These are the things that defile a person; but eating with unwashed hands does not defile a person.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 21] On going away from that place, Jesus went to the country round Tyre and Sidon.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 22] There, a Canaanite woman of that district came out and began calling to Jesus, ‘Take pity on me, Master, Son of David; my daughter is grievously possessed by a demon.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 23] But Jesus did not answer her a word; and his disciples came up and begged him to send her away. ‘She keeps calling out after us,’ they said.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 24] ‘I was not sent,’ replied Jesus, ‘to anyone except the lost sheep of Israel.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 25] But the woman came, and, bowing to the ground before him, said, ‘Master, help me.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 26] ‘It is not fair,’ replied Jesus, ‘to take the children’s food and throw it to dogs.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 27] ‘Yes, Master,’ she said, ‘for even dogs do feed on the scraps that fall from their owners’ table.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 28] ‘Your faith is great,’ was his reply to the woman, ‘it will be as you wish!’ And her daughter was cured that very hour.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 29] On leaving that place, Jesus went to the shore of the Sea of Galilee; and then went up the hill, and sat down.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 30] Great crowds of people came to him, bringing with them those who were lame, crippled, blind, or dumb, and many others. They put them down at his feet, and he cured them;
[OEB | EN | NT | Matthew | Chapter 15 | Verse 31] and the crowds were astonished, when they saw the dumb talking, the cripples made sound, the lame walking about, and the blind with their sight restored; and they praised the God of Israel.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 32] Afterwards Jesus called his disciples to him, and said, ‘My heart is moved at the sight of all these people, for they have already been with me three days and they have nothing to eat; and I am unwilling to send them away hungry; they might faint on the way home.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 33] ‘Where can we,’ his disciples asked, ‘in a lonely place find enough bread for such a crowd as this?’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 34] ‘How many loaves have you?’ said Jesus. ‘Seven,’ they answered, ‘and a few small fish.’
[OEB | EN | NT | Matthew | Chapter 15 | Verse 35] Telling the crowd to sit down on the ground,
[OEB | EN | NT | Matthew | Chapter 15 | Verse 36] Jesus took the seven loaves and the fish, and, after saying the thanksgiving, broke them, and gave them to the disciples; and the disciples gave them to the crowds.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 37] Everyone had sufficient to eat, and they picked up seven baskets full of the broken pieces left.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 38] The men who ate were four thousand in number without counting women and children.
[OEB | EN | NT | Matthew | Chapter 15 | Verse 39] Then, after dismissing the crowds, Jesus got into the boat, and went to the region of Magadan.
