[OEB | EN | NT | Matthew | Chapter 7 | Verse 1] ‘Do not judge and you will not be judged.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 2] For, just as you judge others, you will yourselves be judged, and the standard that you use will be used for you.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 3] Why do you look at the speck of sawdust in your friend’s eye, while you pay no attention at all to the plank of wood in yours?
[OEB | EN | NT | Matthew | Chapter 7 | Verse 4] How will you say to your friend “Let me take out the speck from your eye,” when all the time there is a plank in your own?
[OEB | EN | NT | Matthew | Chapter 7 | Verse 5] Hypocrite! Take out the plank from your own eye first, and then you will see clearly how to take out the speck from your friend’s.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 6] ‘Do not give what is sacred to dogs; they will turn and maul you. Do not throw your pearls before pigs; they will trample them underfoot.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 7] Ask, and it will be given to you; search, and you will find; knock, and the door will be opened to you.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 8] For the person who asks receives, the person who searches finds, and to the door will be opened to the person who knocks.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 9] Who among you, when their child asks them for bread, will give them a stone,
[OEB | EN | NT | Matthew | Chapter 7 | Verse 10] or when they ask for a fish, will give them a snake?
[OEB | EN | NT | Matthew | Chapter 7 | Verse 11] If you, then, wicked though you are, know how to give good gifts to your children, how much more will your Father who is in heaven give what is good to those who ask him!
[OEB | EN | NT | Matthew | Chapter 7 | Verse 12] ‘Do to others whatever you would wish them to do to you; for that is the teaching of both the Law and the prophets.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 13] Go in by the small gate. The road that leads to destruction is broad and spacious, and many go in by it.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 14] For the gate is small, and the road narrow, that leads to life, and there are few who find it.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 15] ‘Beware of false teachers – people who come to you in the guise of sheep, but at heart they are ravenous wolves.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 16] By the fruit of their lives you will know them. Do people pick grapes from thorn bushes, or figs from thistles?
[OEB | EN | NT | Matthew | Chapter 7 | Verse 17] So, too, every sound tree bears good fruit, while a worthless tree bears bad fruit.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 18] A sound tree cannot produce bad fruit, nor can a worthless tree bear good fruit.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 19] Every tree that fails to bear good fruit is cut down and thrown into the fire.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 20] So it is by the fruit of their lives that you will know such people.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 21] Not everyone who says to me “Master! Master!” will enter the kingdom of heaven, but only he who does the will of my Father who is in heaven.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 22] On that day many will say to me “Master, Master, was not it in your name that we taught, and in your name that we drove out demons, and in your name that we did many miracles?”
[OEB | EN | NT | Matthew | Chapter 7 | Verse 23] And then I will say to them plainly “I never knew you. Go from my presence, you who live in sin.”
[OEB | EN | NT | Matthew | Chapter 7 | Verse 24] ‘Everyone, therefore, who listens to this teaching of mine and acts on it may be compared to a prudent person, who built their house on the rock.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 25] The rain poured down, the rivers rose, the winds blew and beat on that house, but it did not fall, for its foundations were on the rock.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 26] Everyone who listens to this teaching of mine and does not act on it may be compared to a foolish person, who built their house on the sand.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 27] The rain poured down, the rivers rose, the winds blew and struck against that house, and it fell with a great crash.’
[OEB | EN | NT | Matthew | Chapter 7 | Verse 28] By the time that Jesus had finished speaking, the crowd was filled with amazement at his teaching.
[OEB | EN | NT | Matthew | Chapter 7 | Verse 29] For he taught them like one who had authority, and not like their teachers of the Law.
