[OEB | EN | NT | Matthew | Chapter 27 | Verse 1] At daybreak all the chief priests and the elders of the people consulted together against Jesus, to bring about his death.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 2] They put him in chains and led him away, and gave him up to the Roman Governor, Pilate.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 3] Then Judas, who betrayed him, seeing that Jesus was condemned, repented of what he had done, and returned the thirty pieces of silver to the chief priests and elders.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 4] ‘I did wrong in betraying a good man to his death,’ he said. ‘What has that to do with us?’ they replied. ‘You must see to that yourself.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 5] Judas flung down the pieces of silver in the Temple, and left; and went away and hanged himself.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 6] The chief priests took the pieces of silver, but they said, ‘We must not put them into the Temple treasury, because they are blood-money.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 7] So, after consultation, they used it to buy the “Potter’s Field” as a burial ground for foreigners,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 8] and that is why that field is called the “Field of Blood” to this very day.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 9] Then it was that these words spoken by the prophet Jeremiah were fulfilled – “They took the thirty pieces of silver, the price set on him by the people of Israel,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 10] and gave them for the potter’s field, as the Lord commanded me.”
[OEB | EN | NT | Matthew | Chapter 27 | Verse 11] Meanwhile Jesus was brought before the Roman Governor. ‘Are you the king of the Jews?’ asked the Governor. ‘It is true,’ answered Jesus.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 12] While charges were being brought against him by the chief priests and elders, Jesus made no reply.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 13] Then Pilate said to him, ‘Don’t you hear how many accusations they are making against you?’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 14] Yet Jesus made no reply – not even a single word; at which the Governor was greatly astonished.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 15] Now, at the feast, the Governor was accustomed to grant the people the release of any one prisoner whom they might choose.
