[OEB | EN | NT | Matthew | Chapter 22 | Verse 1] Once more Jesus spoke to them in parables.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 2] ‘The kingdom of heaven,’ he said, ‘may be compared to a king who gave a banquet in honour of his son’s wedding.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 3] He sent his servants to call those who had been invited to the banquet, but they were unwilling to come.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 4] A second time he sent some servants, with orders to say to those who had been invited “I have prepared my meal, my cattle and fat beasts are killed and everything is ready; come to the banquet.”
[OEB | EN | NT | Matthew | Chapter 22 | Verse 5] They, however, took no notice, but went off, one to their farm, another to their business;
[OEB | EN | NT | Matthew | Chapter 22 | Verse 6] while the rest, seizing his servants, ill-treated them and killed them.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 7] The king, in anger, sent his troops, put those murderers to death, and set their city on fire.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 8] Then he said to his servants “The banquet is prepared, but those who were invited were not worthy.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 9] So go to the cross-roads, and invite everyone you find to the banquet.”
[OEB | EN | NT | Matthew | Chapter 22 | Verse 10] The servants went out into the roads and collected all the people whom they found, whether bad or good; and the bridal-hall was filled with guests.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 11] But, when the king went in to see his guests, he noticed there a man who had not put on a wedding-robe.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 12] So he said to him “My friend, how is it that you came in here without a wedding-robe?” The man was speechless.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 13] Then the king said to the attendants “Tie him hand and foot, and put him out into the darkness outside, where there will be weeping and grinding of teeth.”
[OEB | EN | NT | Matthew | Chapter 22 | Verse 14] For many are called, but few chosen.’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 15] Then the Pharisees went away and conferred together as to how they might lay a trap for Jesus in the course of conversation.
