[OEB | EN | NT | Matthew | Chapter 2 | Verse 1] After the birth of Jesus at Bethlehem in Judea, in the reign of King Herod, some astrologers from the East arrived in Jerusalem, asking,
[OEB | EN | NT | Matthew | Chapter 2 | Verse 2] ‘Where is the newborn king of the Jews? For we saw his star in the east, and have come to worship him.’
[OEB | EN | NT | Matthew | Chapter 2 | Verse 3] When King Herod heard of this, he was much troubled, and so too was all Jerusalem.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 4] He called together all the chief priests and teachers of the Law in the nation, and questioned them as to where the Christ was to be born.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 5] ‘At Bethlehem in Judea,’ was their answer, ‘for it is said in the prophet –
[OEB | EN | NT | Matthew | Chapter 2 | Verse 6] “And you, Bethlehem in Judah’s land, are in no way least among the chief cities of Judah, for out of you will come a ruler – who will shepherd my people Israel.”’
[OEB | EN | NT | Matthew | Chapter 2 | Verse 7] Then Herod secretly sent for the astrologers. He found out from them the time of the appearance of the star.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 8] Sending them to Bethlehem he said, ‘Go and make a careful search for the child. When you have found him, bring word back to me, so that I, too, can go and worship him.’
[OEB | EN | NT | Matthew | Chapter 2 | Verse 9] The astrologers heard what the king had to say, and then continued their journey. The star which they had seen in the east led them on, until it reached and stood over the place where the child was.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 10] At the sight of the star they were filled with joy.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 11] Entering the house, they saw the child with his mother, Mary, and fell at his feet and worshipped him. Then they opened their treasure chests, and offered to the child presents of gold, frankincense, and myrrh.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 12] But afterwards, having been warned in a dream not to go back to Herod, they returned to their own country by another road.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 13] After they had left, an angel of the Lord appeared to Joseph in a dream, and said, ‘Get up, take the child and his mother, and seek refuge in Egypt; and stay there until I tell you to return, for Herod is about to search for the child, to put him to death.’
[OEB | EN | NT | Matthew | Chapter 2 | Verse 14] Joseph woke up, and taking the child and his mother by night, went into Egypt,
[OEB | EN | NT | Matthew | Chapter 2 | Verse 15] and there he stayed until Herod’s death. This was in fulfilment of these words of the Lord in the prophet, where he says – “Out of Egypt I called my Son.”
[OEB | EN | NT | Matthew | Chapter 2 | Verse 16] When Herod found out that the astrologers had tricked him, he flew into a rage. He sent and put to death all the boys in Bethlehem and the whole of that region, who were two years old or under, guided by the time which he had learned from the astrologers.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 17] Then were fulfilled these words spoken in the prophet Jeremiah, where he says –
[OEB | EN | NT | Matthew | Chapter 2 | Verse 18] “A voice was heard in Ramah, weeping and mourning loudly; Rachel, weeping for her children, refusing all comfort for they were dead.”
[OEB | EN | NT | Matthew | Chapter 2 | Verse 19] But, on the death of Herod, an angel of the Lord appeared in a dream to Joseph in Egypt, and said,
[OEB | EN | NT | Matthew | Chapter 2 | Verse 20] ‘Get up, take the child and his mother, and go into the Land of Israel, for those who sought to take the child’s life are dead.’
[OEB | EN | NT | Matthew | Chapter 2 | Verse 21] He woke up, and taking the child and his mother, went into the Land of Israel.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 22] But, hearing that Archelaus had succeeded his father Herod as king of Judea, he was afraid to go back there; and having been warned in a dream, he went into the part of the country called Galilee.
[OEB | EN | NT | Matthew | Chapter 2 | Verse 23] There he settled in the town of Nazareth, in fulfilment of these words in the prophets – “He will be called a Nazarene.”
