[OEB | EN | NT | Matthew | Chapter 16 | Verse 1] Here the Pharisees and Sadducees came up, and, to test Jesus, requested him to show them some sign from the heavens.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 2] But Jesus answered, ‘In the evening you say “It will be fine weather, for the sky is as red as fire.”
[OEB | EN | NT | Matthew | Chapter 16 | Verse 3] But in the morning you say “Today it will be stormy, for the sky is as red as fire and threatening.” You learn to read the sky; yet you are unable to read the signs of the times!
[OEB | EN | NT | Matthew | Chapter 16 | Verse 4] A wicked and unfaithful generation is asking for a sign, but no sign will be given it except the sign of Jonah.’ So he left them and went away.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 5] Now the disciples had crossed to the opposite shore, and had forgotten to take any bread.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 6] Presently Jesus said to them, ‘Take care and be on your guard against the leaven of the Pharisees and Sadducees.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 7] But the disciples began talking among themselves about their having brought no bread.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 8] On noticing this, Jesus said, ‘Why are you talking among yourselves about your being short of bread, you of little faith?
[OEB | EN | NT | Matthew | Chapter 16 | Verse 9] Don’t you yet see, nor remember the five loaves for the five thousand, and how many baskets you took away?
[OEB | EN | NT | Matthew | Chapter 16 | Verse 10] Nor yet the seven loaves for the four thousand, and how many basketfuls you took away?
[OEB | EN | NT | Matthew | Chapter 16 | Verse 11] How is it that you do not see that I was not speaking about bread? Be on your guard against the leaven of the Pharisees and Sadducees.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 12] Then they understood that he had told them to be on their guard, not against the leaven of bread, but against the teaching of the Pharisees and Sadducees.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 13] On coming into the region of Caesarea Philippi, Jesus asked his disciples this question – ‘Who do people say that the Son of Man is?’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 14] ‘Some say John the Baptist,’ they answered, ‘Others, however, say that he is Elijah, while others again say Jeremiah, or one of the prophets.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 15] ‘But you,’ he said, ‘who do you say that I am?’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 16] To this Simon Peter answered, ‘You are the Christ, the Son of the living God.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 17] ‘Blessed are you, Simon, Son of Jonah,’ Jesus replied. ‘For no human being has revealed this to you, but my Father who is in heaven.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 18] Yes, and I say to you, your name is “Peter” – a Rock, and on this rock I will build my church, and the gates of Hades will not prevail over it.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 19] I will give you the keys of the kingdom of heaven. Whatever you forbid on earth will be held in heaven to be forbidden, and whatever you allow on earth will be held in heaven to be allowed.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 20] Then he charged his disciples not to tell anyone that he was the Christ.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 21] At that time Jesus Christ began to explain to his disciples that he must go to Jerusalem, and undergo much suffering at the hands of the elders, and chief priests, and teachers of the Law, and be put to death, and rise on the third day.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 22] But Peter took Jesus aside, and began to rebuke him. ‘Master,’ he said, ‘please God that will never be your fate!’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 23] Jesus, however, turning to Peter, said, ‘Out of my way, Satan! You are a hindrance to me; for you look at things, not as God does, but as person does.’
[OEB | EN | NT | Matthew | Chapter 16 | Verse 24] Then Jesus said to his disciples, ‘If anyone wishes to walk in my steps, they must renounce self, and take up their cross, and follow me.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 25] For whoever wishes to save his life will lose it, and whoever, for my sake, loses his life will find it.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 26] What good will it do a person to gain the whole world, if he forfeits his life? Or what will a person give that is of equal value with his life?
[OEB | EN | NT | Matthew | Chapter 16 | Verse 27] For the Son of Man is to come in his Father’s glory, with his angels, and then he will give to everyone what his actions deserve.
[OEB | EN | NT | Matthew | Chapter 16 | Verse 28] I tell you, some of those who are standing here will not know death until they have seen the Son of Man coming into his kingdom.’
