[GNV | EN | NT | 1 John | Chapter 4 | Verse 1] Dearely beloued, beleeue not euery spirit, but trie the spirits whether they are of God: for many false prophets are gone out into this worlde.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 2] Hereby shall ye know the Spirit of God, Euery spirit which confesseth that Iesus Christ is come in the flesh, is of God.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 3] And euery spirit that confesseth not that Iesus Christ is come in the flesh, is not of God: but this is the spirit of Antichrist, of whome ye haue heard, how that he should come, and nowe already he is in this world.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 4] Litle children, ye are of God, and haue ouercome them: for greater is he that is in you, then he that is in this world.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 5] They are of this worlde, therefore speake they of this world, and this world heareth them.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 6] We are of God, he that knoweth God, heareth vs: he that is not of God, heareth vs not. Heereby knowe wee the spirit of trueth, and the spirit of errour.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 7] Beloued, let vs loue one another: for loue commeth of God, and euery one that loueth, is borne of God, and knoweth God.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 8] Hee that loueth not, knoweth not God: for God is loue.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 9] Herein was that loue of God made manifest amongst vs, because God sent that his onely begotten sonne into this world, that we might liue through him.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 10] Herein is that loue, not that we loued God, but that he loued vs, and sent his Sonne to be a reconciliation for our sinnes.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 11] Beloued, if God so loued vs, we ought also to loue one another.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 12] No man hath seene God at any time. If we loue one another, God dwelleth in vs, and his loue is perfect in vs.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 13] Hereby know we, that we dwell in him, and he in vs: because he hath giuen vs of his Spirit.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 14] And we haue seene, and doe testifie, that the Father sent that Sonne to be ye Sauiour of the world.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 15] Whosoeuer confesseth that Iesus is the Sone of God, in him dwelleth God, and he in God.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 16] And we haue knowen, and beleeued ye loue that God hath in vs. God is loue, and he that dwelleth in loue, dwelleth in God, and God in him.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 17] Herein is that loue perfect in vs, that we should haue boldnes in the day of iudgement: for as he is, euen so are we in this world.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 18] There is no feare in loue, but perfect loue casteth out feare: for feare hath painefulnesse: and he that feareth, is not perfect in loue.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 19] We loue him, because he loued vs first.
[GNV | EN | NT | 1 John | Chapter 4 | Verse 20] If any man say, I loue God, and hate his brother, he is a liar: for how can he that loueth not his brother whom he hath seene, loue God whom he hath not seene?
[GNV | EN | NT | 1 John | Chapter 4 | Verse 21] And this commandement haue we of him, that he that loueth God, should loue his brother also.
