[DRA | EN | OT | Tobit | Chapter 8 | Verse 1] And after they had supped, they brought in the young man to her.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 2] And Tobias remembering the angel’s word, took out of his bag part of the liver, and laid it upon burning coals.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 3] Then the angel Raphael took the devil, and bound him in the desert of upper Egypt.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 4] Then Tobias exhorted the virgin, and said to her: Sara, arise, and let us pray to God today, and tomorrow, and the next day: because for these three nights we are joined to God: and when the third night is over, we will be in our own wedlock.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 5] For we are the children of saints, and we must not be joined together like heathens that know not God.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 6] So they both arose, and prayed earnestly both together that health might be given them,
[DRA | EN | OT | Tobit | Chapter 8 | Verse 7] And Tobias said: Lord God of our father, may the heavens and the earth, and the sea, and the fountains, and the rivers, and all thy creatures that are in them, bless thee.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 8] Thou madest Adam of the slime of the earth, and gavest him Eve for a helper.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 9] And now, Lord, thou knowest, that not for fleshly lust do I take my sister to wife, but only for the love of posterity, in which thy name may be blessed for ever and ever.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 10] Sara also said: Have mercy on us, O Lord, have mercy on us, and let us grow old both together in health.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 11] And it came to pass about the cockcrowing, Raguel ordered his servants to be called for, and they went with him together to dig a grave.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 12] For he said: Lest perhaps it may have happened to him, in like manner as it did to the other seven husbands, that went in unto her.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 13] And when they had prepared the pit, Raguel went back to his wife, and said to her:
[DRA | EN | OT | Tobit | Chapter 8 | Verse 14] Send one of thy maids, and let her see if he be dead, that I may bury him before it be day.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 15] So she sent one of her maidservants, who went into the chamber, and found them safe and sound, sleeping both together.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 16] And returning she brought the good news: and Raguel and Anna his wife blessed the Lord,
[DRA | EN | OT | Tobit | Chapter 8 | Verse 17] And said: We bless thee, O Lord God of Israel, because it hath not happened as we suspected.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 18] For thou hast shewn thy mercy to us, and hast shut out from us the enemy that persecuted us.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 19] And thou hast taken pity upon two only children. Make them, O Lord, bless thee more fully: and to offer up to thee a sacrifice of thy praise, and of their health, that all nations may know, that thou alone art God in all the earth.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 20] And immediately Raguel commanded his servants, to fill up the pit they had made, before it was day.
[DRA | EN | OT | Tobit | Chapter 8 | Verse 21] And he spoke to his wife to make ready a feast, and prepare all kind of provisions that are necessary for such as go a journey.
