[DRA | EN | OT | Tobit | Chapter 2 | Verse 1] But after this, when there was a festival of the Lord, and a good dinner was prepared in Tobias’s house,
[DRA | EN | OT | Tobit | Chapter 2 | Verse 2] He said to his son: Go, and bring some of our tribe that fear God, to feast with us.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 3] And when he had gone, returning he told him, that one of the children of Israel lay slain in the street. And he forthwith leaped up from his place at the table, and left his dinner, and came fasting to the body:
[DRA | EN | OT | Tobit | Chapter 2 | Verse 4] And taking it up carried it privately to his house, that after the sun was down, he might bury him cautiously.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 5] And when he had hid the body, he ate bread with mourning and fear,
[DRA | EN | OT | Tobit | Chapter 2 | Verse 6] Remembering the word which the Lord spoke by Amos the prophet: Your festival days shall be turned into lamentation and mourning.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 7] So when the sun was down, he went and buried him.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 8] Now all his neighbours blamed him, saying: Once already commandment was given for thee to be slain because of this matter, and thou didst scarce escape the sentence of death, and dost thou again bury the dead?
[DRA | EN | OT | Tobit | Chapter 2 | Verse 9] But Tobias fearing God more than the king, carried off the bodies of them that were slain, and hid them in his house, and at midnight buried them.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 10] Now it happened one day, that being wearied with burying, he came to his house, and cast himself down by the wall and slept,
[DRA | EN | OT | Tobit | Chapter 2 | Verse 11] And as he was sleeping, hot dung out of a swallow’s nest fell upon his eyes, and he was made blind.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 12] Now this trial the Lord therefore permitted to happen to him, that an example might be given to posterity of his patience, as also of holy Job.
[DRA | EN | OT | Tobit | Chapter 2 | Verse 13] For whereas he had always feared God from his infancy, and kept his commandments, he repined not against God because the evil of blindness had befallen him,
[DRA | EN | OT | Tobit | Chapter 2 | Verse 14] But continued immoveable in the fear of God, giving thanks to God all the days of his life.
