[DRA | EN | OT | Tobit | Chapter 13 | Verse 1] And Tobias the elder opening his mouth, blessed the Lord, and said: Thou art great, O Lord, for ever, and thy kingdom is unto all ages:
[DRA | EN | OT | Tobit | Chapter 13 | Verse 2] For thou scourgest, and thou savest: thou leadest down to hell, and bringest up again: and there is none that can escape thy hand.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 3] Give glory to the Lord, ye children of Israel, and praise him in the sight of the Gentiles:
[DRA | EN | OT | Tobit | Chapter 13 | Verse 4] Because he hath therefore scattered you among the Gentiles, who know not him, that you may declare his wonderful works, and make them know that there is no other almighty God besides him.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 5] He hath chastised us for our iniquities: and he will save us for his own mercy.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 6] See then what he hath done with us, and with fear and trembling give ye glory to him: and extol the eternal King of worlds in your works.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 7] As for me, I will praise him in the land of my captivity: because he hath shewn his majesty toward a sinful nation.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 8] Be converted therefore, ye sinners, and do justice before God, believing that he will shew his mercy to you.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 9] And I and my soul will rejoice in him.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 10] Bless ye the Lord, all his elect, keep days of joy, and give glory to him.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 11] Jerusalem, city of God, the Lord hath chastised thee for the works of thy hands.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 12] Give glory to the Lord for thy good things, and bless the God eternal, that he may rebuild his tabernacle in thee, and may call back all the captives to thee, and thou mayst rejoice for ever and ever.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 13] Thou shalt shine with a glorious light: and all the ends of the earth shall worship thee.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 14] Nations from afar shall come to thee: and shall bring gifts, and shall adore the Lord in thee, and shall esteem thy land as holy.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 15] For they shall call upon the great name in thee.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 16] They shall be cursed that shall despise thee: and they shall be condemned that shall blaspheme thee: and blessed shall they be that shall build thee up.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 17] But thou shalt rejoice in thy children, because they shall all be blessed, and shall be gathered together to the Lord.
[DRA | EN | OT | Tobit | Chapter 13 | Verse 18] Blessed are all they that love thee, and that rejoice in thy peace.
