[DRA | EN | OT | Tobit | Chapter 4 | Verse 1] Therefore when Tobias thought that his prayer was heard that he might die, he called to him Tobias his son,
[DRA | EN | OT | Tobit | Chapter 4 | Verse 2] And said to him: Hear, my son, the words of my mouth, and lay them as a foundation in thy heart.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 3] When God shall take my soul, thou shalt bury my body: and thou shalt honour thy mother all the days of her life:
[DRA | EN | OT | Tobit | Chapter 4 | Verse 4] For thou must be mindful what and how great perils she suffered for thee in her womb.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 5] And when she also shall have ended the time of her life, bury her by me.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 6] And all the days of thy life have God in thy mind: and take heed thou never consent to sin, nor transgress the commandments of the Lord our God.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 7] Give alms out of thy substance, and turn not away thy face from any poor person: for so it shall come to pass that the face of the Lord shall not be turned from thee.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 8] According to thy ability be merciful.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 9] If thou have much give abundantly: if thou have a little, take care even so to bestow willingly a little.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 10] For thus thou storest up to thyself a good reward for the day of necessity.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 11] For alms deliver from all sin, and from death, and will not suffer the soul to go into darkness.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 12] Alms shall be a great confidence before the most high God, to all them that give it.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 13] Take heed to keep thyself, my son, from all fornication, and beside thy wife never endure to know a crime.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 14] Never suffer pride to reign in thy mind, or in thy words: for from it all perdition took its beginning.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 15] If any man hath done any work for thee, immediately pay him his hire, and let not the wages of thy hired servant stay with thee at all.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 16] See thou never do to another what thou wouldst hate to have done to thee by another.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 17] Eat thy bread with the hungry and the needy, and with thy garments cover the naked.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 18] Lay out thy bread, and thy wine upon the burial of a just man, and do not eat and drink thereof with the wicked.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 19] Seek counsel always of a wise man.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 20] Bless God at all times: and desire of him to direct thy ways, and that all thy counsels may abide in him.
[DRA | EN | OT | Tobit | Chapter 4 | Verse 21] I tell thee also, my son, that I lent ten talents of silver, while thou wast yet a child, to Gabelus, in Rages a city of the Medes, and I have a note of his hand with me:
