[DRA | EN | OT | Tobit | Chapter 11 | Verse 1] And as they were returning they came to Charan, which is in the midway to Ninive, the eleventh day.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 2] And the angel said: Brother Tobias, thou knowest how thou didst leave thy father.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 3] If it please thee therefore, let us go before, and let the family follow softly after us, together with thy wife, and with the beasts.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 4] And as this their going pleased him, Raphael said to Tobias: Take with thee of the gall of the fish, for it will be necessary. So Tobias took some of that gall and departed.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 5] But Anna sat beside the way daily, on the top of a hill, from whence she might see afar off.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 6] And while she watched his coming from that place, she saw him afar off, and presently perceived it was her son coming: and returning she told her husband, saying: Behold thy son cometh.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 7] And Raphael said to Tobias: As soon as thou shalt come into thy house, forthwith adore the Lord thy God: and giving thanks to him, go to thy father, and kiss him.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 8] And immediately anoint his eyes with this gall of the fish, which thou carriest with thee. For be assured that his eyes shall be presently opened, and thy father shall see the light of heaven, and shall rejoice in the sight of thee.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 9] Then the dog, which had been with them in the way, ran before, and coming as if he had brought the news, shewed his joy by his fawning and wagging his tail.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 10] And his father that was blind, rising up, began to run stumbling with his feet: and giving a servant his hand, went to meet his son.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 11] And receiving him kissed him, as did also his wife, and they began to weep for joy.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 12] And when they had adored God, and given him thanks, they sat down together.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 13] Then Tobias taking of the gall of the fish, anointed his father’s eyes.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 14] And he stayed about half an hour: and a white skin began to come out of his eyes, like the skin of an egg.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 15] And Tobias took hold of it, and drew it from his eyes, and immediately he recovered his sight.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 16] And they glorified God, both he and his wife and all that knew them.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 17] And Tobias said: I bless thee, O Lord God of Israel, because thou hast chastised me, and thou hast saved me: and behold I see Tobias my son.
[DRA | EN | OT | Tobit | Chapter 11 | Verse 18] And after seven days Sara his son’s wife, and all the family arrived safe, and the cattle, and the camels, and an abundance of money of his wife’s: and that money also which he had received of Gabelus:
[DRA | EN | OT | Tobit | Chapter 11 | Verse 19] And he told his parents all the benefits of God, which he had done to him by the man that conducted him.
