[YLT | EN | NT | Matthew | Chapter 13 | Verse 1] And in that day Jesus, having gone forth from the house, was sitting by the sea,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 2] and gathered together unto him were many multitudes, so that he having gone into the boat did sit down, and all the multitude on the beach did stand,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 3] and he spake to them many things in similes, saying: 'Lo, the sower went forth to sow,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 4] and in his sowing, some indeed fell by the way, and the fowls did come and devour them,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 5] and others fell upon the rocky places, where they had not much earth, and immediately they sprang forth, through not having depth of earth,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 6] and the sun having risen they were scorched, and through not having root, they withered,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 7] and others fell upon the thorns, and the thorns did come up and choke them,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 8] and others fell upon the good ground, and were giving fruit, some indeed a hundredfold, and some sixty, and some thirty.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 9] He who is having ears to hear — let him hear.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 10] And the disciples having come near, said to him, 'Wherefore in similes dost thou speak to them?'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 11] And he answering said to them that — 'To you it hath been given to know the secrets of the reign of the heavens, and to these it hath not been given,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 12] for whoever hath, it shall be given to him, and he shall have overabundance, and whoever hath not, even that which he hath shall be taken from him.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 13] 'Because of this, in similes do I speak to them, because seeing they do not see, and hearing they do not hear, nor understand,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 14] and fulfilled on them is the prophecy of Isaiah, that saith, With hearing ye shall hear, and ye shall not understand, and seeing ye shall see, and ye shall not perceive,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 15] for made gross was the heart of this people, and with the ears they heard heavily, and their eyes they did close, lest they might see with the eyes, and with the ears might hear, and with the heart understand, and turn back, and I might heal them.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 16] 'And happy are your eyes because they see, and your ears because they hear,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 17] for verily I say to you, that many prophets and righteous men did desire to see that which ye look on, and they did not see, and to hear that which ye hear, and they did not hear.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 18] 'Ye, therefore, hear ye the simile of the sower:
[YLT | EN | NT | Matthew | Chapter 13 | Verse 19] Every one hearing the word of the reign, and not understanding — the evil one doth come, and doth catch that which hath been sown in his heart; this is that sown by the way.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 20] 'And that sown on the rocky places, this is he who is hearing the word, and immediately with joy is receiving it,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 21] and he hath not root in himself, but is temporary, and persecution or tribulation having happened because of the word, immediately he is stumbled.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 22] 'And that sown toward the thorns, this is he who is hearing the word, and the anxiety of this age, and the deceitfulness of the riches, do choke the word, and it becometh unfruitful.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 23] 'And that sown on the good ground: this is he who is hearing the word, and is understanding, who indeed doth bear fruit, and doth make, some indeed a hundredfold, and some sixty, and some thirty.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 24] Another simile he set before them, saying: 'The reign of the heavens was likened to a man sowing good seed in his field,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 25] and, while men are sleeping, his enemy came and sowed darnel in the midst of the wheat, and went away,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 26] and when the herb sprang up, and yielded fruit, then appeared also the darnel.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 27] 'And the servants of the householder, having come near, said to him, Sir, good seed didst thou not sow in thy field? whence then hath it the darnel?
