[YLT | EN | NT | Matthew | Chapter 12 | Verse 1] At that time did Jesus go on the sabbaths through the corn, and his disciples were hungry, and they began to pluck ears, and to eat,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 2] and the Pharisees having seen, said to him, 'Lo, thy disciples do that which it is not lawful to do on a sabbath.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 3] And he said to them, 'Did ye not read what David did, when he was hungry, himself and those with him —
[YLT | EN | NT | Matthew | Chapter 12 | Verse 4] how he went into the house of God, and the loaves of the presentation did eat, which it is not lawful to him to eat, nor to those with him, except to the priests alone?
[YLT | EN | NT | Matthew | Chapter 12 | Verse 5] 'Or did ye not read in the Law, that on the sabbaths the priests in the temple do profane the sabbath, and are blameless?
[YLT | EN | NT | Matthew | Chapter 12 | Verse 6] and I say to you, that a greater than the temple is here;
[YLT | EN | NT | Matthew | Chapter 12 | Verse 7] and if ye had known what is: Kindness I will, and not sacrifice — ye had not condemned the blameless,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 8] for the son of man is lord even of the sabbath.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 9] And having departed thence, he went to their synagogue,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 10] and lo, there was a man having the hand withered, and they questioned him, saying, 'Is it lawful to heal on the sabbaths?' that they might accuse him.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 11] And he said to them, 'What man shall be of you, who shall have one sheep, and if this may fall on the sabbaths into a ditch, will not lay hold on it and raise [it]?
[YLT | EN | NT | Matthew | Chapter 12 | Verse 12] How much better, therefore, is a man than a sheep? — so that it is lawful on the sabbaths to do good.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 13] Then saith he to the man, 'Stretch forth thy hand,' and he stretched [it] forth, and it was restored whole as the other.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 14] And the Pharisees having gone forth, held a consultation against him, how they might destroy him,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 15] and Jesus having known, withdrew thence, and there followed him great multitudes, and he healed them all,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 16] and did charge them that they might not make him manifest,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 17] that it might be fulfilled that was spoken through Isaiah the prophet, saying,
