[YLT | EN | NT | Matthew | Chapter 23 | Verse 1] Then Jesus spake to the multitudes, and to his disciples,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 2] saying, 'On the seat of Moses sat down the scribes and the Pharisees;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 3] all, then, as much as they may say to you to observe, observe and do, but according to their works do not, for they say, and do not;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 4] for they bind together burdens heavy and grievous to be borne, and lay upon the shoulders of men, but with their finger they will not move them.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 5] 'And all their works they do to be seen by men, and they make broad their phylacteries, and enlarge the fringes of their garments,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 6] they love also the chief couches in the supper, and the chief seats in the synagogues,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 7] and the salutations in the market-places, and to be called by men, Rabbi, Rabbi.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 8] 'And ye — ye may not be called Rabbi, for one is your director — the Christ, and all ye are brethren;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 9] and ye may not call [any] your father on the earth, for one is your Father, who is in the heavens,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 10] nor may ye be called directors, for one is your director — the Christ.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 11] And the greater of you shall be your ministrant,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 12] and whoever shall exalt himself shall be humbled, and whoever shall humble himself shall be exalted.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 13] 'Woe to you, Scribes and Pharisees, hypocrites! because ye shut up the reign of the heavens before men, for ye do not go in, nor those going in do ye suffer to enter.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 14] 'Woe to you, Scribes and Pharisees, hypocrites! because ye eat up the houses of the widows, and for a pretence make long prayers, because of this ye shall receive more abundant judgment.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 15] 'Woe to you, Scribes and Pharisees, hypocrites! because ye go round the sea and the dry land to make one proselyte, and whenever it may happen — ye make him a son of gehenna twofold more than yourselves.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 16] 'Woe to you, blind guides, who are saying, Whoever may swear by the sanctuary, it is nothing, but whoever may swear by the gold of the sanctuary — is debtor!
[YLT | EN | NT | Matthew | Chapter 23 | Verse 17] Fools and blind! for which [is] greater, the gold, or the sanctuary that is sanctifying the gold?
[YLT | EN | NT | Matthew | Chapter 23 | Verse 18] 'And, whoever may swear by the altar, it is nothing; but whoever may swear by the gift that is upon it — is debtor!
