[YLT | EN | NT | Matthew | Chapter 25 | Verse 1] 'Then shall the reign of the heavens be likened to ten virgins, who, having taken their lamps, went forth to meet the bridegroom;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 2] and five of them were prudent, and five foolish;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 3] they who were foolish having taken their lamps, did not take with themselves oil;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 4] and the prudent took oil in their vessels, with their lamps.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 5] 'And the bridegroom tarrying, they all nodded and were sleeping,
[YLT | EN | NT | Matthew | Chapter 25 | Verse 6] and in the middle of the night a cry was made, Lo, the bridegroom doth come; go ye forth to meet him.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 7] 'Then rose all those virgins, and trimmed their lamps,
[YLT | EN | NT | Matthew | Chapter 25 | Verse 8] and the foolish said to the prudent, Give us of your oil, because our lamps are going out;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 9] and the prudent answered, saying — Lest there may not be sufficient for us and you, go ye rather unto those selling, and buy for yourselves.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 10] 'And while they are going away to buy, the bridegroom came, and those ready went in with him to the marriage-feasts, and the door was shut;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 11] and afterwards come also do the rest of the virgins, saying, Sir, sir, open to us;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 12] and he answering said, Verily I say to you, I have not known you.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 13] 'Watch therefore, for ye have not known the day nor the hour in which the Son of Man doth come.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 14] 'For — as a man going abroad did call his own servants, and did deliver to them his substance,
[YLT | EN | NT | Matthew | Chapter 25 | Verse 15] and to one he gave five talents, and to another two, and to another one, to each according to his several ability, went abroad immediately.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 16] 'And he who did receive the five talents, having gone, wrought with them, and made other five talents;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 17] in like manner also he who [received] the two, he gained, also he, other two;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 18] and he who did receive the one, having gone away, digged in the earth, and hid his lord's money.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 19] 'And after a long time cometh the lord of those servants, and taketh reckoning with them;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 20] and he who did receive the five talents having come, brought other five talents, saying, 'Sir, five talents thou didst deliver to me; lo, other five talents did I gain besides them.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 21] 'And his lord said to him, Well done, servant, good and faithful, over a few things thou wast faithful, over many things I will set thee; enter into the joy of thy lord.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 22] 'And he who also did receive the two talents having come, said, Sir, two talents thou didst deliver to me; lo, other two talents I did gain besides them.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 23] 'His lord said to him, Well done, servant, good and faithful, over a few things thou wast faithful, over many things I will set thee; enter into the joy of thy lord.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 24] 'And he also who hath received the one talent having come, said, Sir, I knew thee, that thou art a hard man, reaping where thou didst not sow, and gathering from whence thou didst not scatter;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 25] and having been afraid, having gone away, I hid thy talent in the earth; lo, thou hast thine own!
[YLT | EN | NT | Matthew | Chapter 25 | Verse 26] 'And his lord answering said to him, Evil servant, and slothful, thou hadst known that I reap where I did not sow, and I gather whence I did not scatter!
[YLT | EN | NT | Matthew | Chapter 25 | Verse 27] it behoved thee then to put my money to the money-lenders, and having come I had received mine own with increase.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 28] 'Take therefore from him the talent, and give to him having the ten talents,
[YLT | EN | NT | Matthew | Chapter 25 | Verse 29] for to every one having shall be given, and he shall have overabundance, and from him who is not having, even that which he hath shall be taken from him;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 30] and the unprofitable servant cast ye forth to the outer darkness; there shall be the weeping and the gnashing of the teeth.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 31] 'And whenever the Son of Man may come in his glory, and all the holy messengers with him, then he shall sit upon a throne of his glory;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 32] and gathered together before him shall be all the nations, and he shall separate them from one another, as the shepherd doth separate the sheep from the goats,
[YLT | EN | NT | Matthew | Chapter 25 | Verse 33] and he shall set the sheep indeed on his right hand, and the goats on the left.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 34] 'Then shall the king say to those on his right hand, Come ye, the blessed of my Father, inherit the reign that hath been prepared for you from the foundation of the world;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 35] for I did hunger, and ye gave me to eat; I did thirst, and ye gave me to drink; I was a stranger, and ye received me;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 36] naked, and ye put around me; I was infirm, and ye looked after me; in prison I was, and ye came unto me.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 37] 'Then shall the righteous answer him, saying, Lord, when did we see thee hungering, and we nourished? or thirsting, and we gave to drink?
[YLT | EN | NT | Matthew | Chapter 25 | Verse 38] and when did we see thee a stranger, and we received? or naked, and we put around?
[YLT | EN | NT | Matthew | Chapter 25 | Verse 39] and when did we see thee infirm, or in prison, and we came unto thee?
[YLT | EN | NT | Matthew | Chapter 25 | Verse 40] 'And the king answering, shall say to them, Verily I say to you, Inasmuch as ye did [it] to one of these my brethren — the least — to me ye did [it].
[YLT | EN | NT | Matthew | Chapter 25 | Verse 41] Then shall he say also to those on the left hand, Go ye from me, the cursed, to the fire, the age-during, that hath been prepared for the Devil and his messengers;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 42] for I did hunger, and ye gave me not to eat; I did thirst, and ye gave me not to drink;
[YLT | EN | NT | Matthew | Chapter 25 | Verse 43] a stranger I was, and ye did not receive me; naked, and ye put not around me; infirm, and in prison, and ye did not look after me.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 44] 'Then shall they answer, they also, saying, Lord, when did we see thee hungering, or thirsting, or a stranger, or naked, or infirm, or in prison, and we did not minister to thee?
[YLT | EN | NT | Matthew | Chapter 25 | Verse 45] 'Then shall he answer them, saying, Verily I say to you, Inasmuch as ye did [it] not to one of these, the least, ye did [it] not to me.
[YLT | EN | NT | Matthew | Chapter 25 | Verse 46] And these shall go away to punishment age-during, but the righteous to life age-during.'
