[YLT | EN | NT | Matthew | Chapter 5 | Verse 1] And having seen the multitudes, he went up to the mount, and he having sat down, his disciples came to him,
[YLT | EN | NT | Matthew | Chapter 5 | Verse 2] and having opened his mouth, he was teaching them, saying:
[YLT | EN | NT | Matthew | Chapter 5 | Verse 3] 'Happy the poor in spirit — because theirs is the reign of the heavens.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 4] 'Happy the mourning — because they shall be comforted.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 5] 'Happy the meek — because they shall inherit the land.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 6] 'Happy those hungering and thirsting for righteousness — because they shall be filled.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 7] 'Happy the kind — because they shall find kindness.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 8] 'Happy the clean in heart — because they shall see God.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 9] 'Happy the peacemakers — because they shall be called Sons of God.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 10] 'Happy those persecuted for righteousness' sake — because theirs is the reign of the heavens.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 11] 'Happy are ye whenever they may reproach you, and may persecute, and may say any evil thing against you falsely for my sake —
[YLT | EN | NT | Matthew | Chapter 5 | Verse 12] rejoice ye and be glad, because your reward [is] great in the heavens, for thus did they persecute the prophets who were before you.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 13] 'Ye are the salt of the land, but if the salt may lose savour, in what shall it be salted? for nothing is it good henceforth, except to be cast without, and to be trodden down by men.
[YLT | EN | NT | Matthew | Chapter 5 | Verse 14] 'Ye are the light of the world, a city set upon a mount is not able to be hid;
[YLT | EN | NT | Matthew | Chapter 5 | Verse 15] nor do they light a lamp, and put it under the measure, but on the lamp-stand, and it shineth to all those in the house;
[YLT | EN | NT | Matthew | Chapter 5 | Verse 16] so let your light shine before men, that they may see your good works, and may glorify your Father who [is] in the heavens.
