[IRV | TE | OT | Numbers | Chapter 10 | Verse 1] యెహోవా మోషేతో మాట్లాడాడు. ఆయన ఇలా అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 2] “రెండు వెండి బాకాలు చేయించు. వెండిని సాగగొట్టి వాటిని చేయించాలి. సమాజాన్ని సమావేశం కోసం పిలవడానికీ, సేనలను తరలించడానికీ ఆ బాకాలను ఉపయోగించాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 3] సన్నిధి గుడారం ఎదుట నీ దగ్గరికి సమాజమంతా సమావేశం కావడానికి యాజకులు ఆ బాకాలు ఊదాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 4] యాజకులు ఒకే బాకా ఊదితే ఇశ్రాయేలు సమాజంలో నాయకులూ, తెగల పెద్దలు నీ దగ్గరకి రావాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 5] మీరు పెద్ద శబ్దంతో వాటిని ఊదితే అది సంకేతంగా భావించి తూర్పు వైపున ఉన్న సేనలు ప్రయాణం ప్రారంభించాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 6] మీరు రెండో సారి పెద్ద శబ్దంతో వాటిని ఊదితే అది సంకేతంగా భావించి దక్షిణం వైపున సైన్యాలు ప్రయాణం మొదలు పెట్టాలి. వారి ప్రయాణం ప్రారంభించినప్పుడు పెద్ద శబ్దంతో ఊదాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 7] సమాజం సమావేశంగా కూడినప్పుడు బాకాలు ఊదాలి గానీ పెద్ద శబ్దం చేయకూడదు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 8] యాజకులైన అహరోను కొడుకులు ఆ బాకాలు ఊదాలి. మీ తరతరాల్లో మీ సంతానానికి అది నిత్యమైన నియమంగా ఉండాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 9] మిమ్మల్ని బాధించే శత్రువుకి వ్యతిరేకంగా మీ దేశంలో యుద్ధానికి బయలు దేరే సమయంలో ఆ బాకాలు పదేపదే పెద్ద శబ్దంతో ఊదాలి. అప్పుడు మీ దేవుడైన యెహోవా అనే నేను మిమ్మల్ని జ్ఞాపకం చేసుకుని శత్రువుల నుండి మిమ్మల్ని రక్షిస్తాను.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 10] మీ పండగల సమయంలోనూ, నెల ప్రారంభంలోనూ మీరు వేడుకలు చేసుకునేటప్పుడు మీరు అర్పించే దహన బలుల గౌరవార్ధం, మీ శాంతి బలుల గౌరవార్ధం మీరు బాకాలు ఊదాలి. ఇవి మీకు మీ దేవుడినైన నన్ను జ్ఞాపకం చేస్తాయి. నేనే యెహోవాను. మీ దేవుణ్ణి.”
[IRV | TE | OT | Numbers | Chapter 10 | Verse 11] రెండో సంవత్సరం రెండో నెల ఇరవయ్యో రోజున శాసనాల గుడారం పైనుండి మేఘం వెళ్లి పోయింది.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 12] కాబట్టి ఇశ్రాయేలు ప్రజలు సీనాయి అరణ్యంలో తమ ప్రయాణం సాగించారు. మేఘం తిరిగి పారాను అరణ్యంలో నిలిచింది.
