[IRV | TE | OT | Numbers | Chapter 1 | Verse 1] యెహోవా సీనాయి అరణ్యంలో ఉన్న సన్నిధి గుడారంలో నుండి మోషేతో మాట్లాడాడు. ఇది ఇశ్రాయేలు ప్రజలు ఐగుప్తు దేశం నుండి బయటకు వచ్చిన రెండో సంవత్సరం రెండో నెల మొదటి తేదీన జరిగింది. యెహోవా మోషేతో ఇలా చెప్పాడు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 2] “ఇశ్రాయేలు ప్రజల జనాభా లెక్కలు వారి వారి వంశాల ప్రకారం, పూర్వీకుల కుటుంబాల ప్రకారం రాయించు. వారి పేర్లు రాయించు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 3] ఇశ్రాయేలు రాజ్యం కోసం సైనికులుగా యుద్ధానికి వెళ్ళగలిగిన వారు, ఇరవై ఇంకా ఆ పై వయసున్న పురుషులందరినీ లెక్కపెట్టు. ఒక్కో దళంలో ఎంతమంది పురుషులున్నారో నువ్వూ, అహరోనూ కలసి నమోదు చేయాలి.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 4] మీతో కలసి సేవ చేయడానికి ఒక్కో గోత్రం నుండి ఒక వ్యక్తి గోత్ర నాయకుడిగా ఉండాలి. అతడు తన తెగలో ప్రముఖుడై ఉండాలి.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 5] మీతో కలసి పోరాటాల్లో పాల్గొనే నాయకులు వీరు. రూబేను గోత్రం నుండి షెదేయూరు కొడుకు ఏలీసూరు,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 6] షిమ్యోను గోత్రం నుండి సూరీషద్దాయి కొడుకు షెలుమీయేలు,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 7] యూదా గోత్రం నుండి అమ్మీనాదాబు కొడుకు నయస్సోను,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 8] ఇశ్శాఖారు గోత్రం నుండి సూయారు కొడుకు నెతనేలు
[IRV | TE | OT | Numbers | Chapter 1 | Verse 9] జెబూలూను గోత్రం నుండి హేలోను కొడుకు ఏలీయాబు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 10] యోసేపు సంతానమైన ఎఫ్రాయిము గోత్రం నుండి అమీహూదు కొడుకు ఎలీషామాయు, మనష్షే గోత్రం నుండి పెదాసూరు కొడుకు గమలీయేలు,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 11] బెన్యామీను గోత్రం నుండి గిద్యోనీ కొడుకు అబీదాను,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 12] దాను గోత్రం నుండి అమీషద్దాయి కొడుకు అహీయెజెరు,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 13] ఆషేరు గోత్రం నుండి ఒక్రాను కొడుకు పగీయేలు,
[IRV | TE | OT | Numbers | Chapter 1 | Verse 14] గాదు గోత్రం నుండి దెయూవేలు కొడుకు ఎలాసాపు
[IRV | TE | OT | Numbers | Chapter 1 | Verse 15] నఫ్తాలి గోత్రం నుండి ఏనాను కొడుకు అహీర.”
[IRV | TE | OT | Numbers | Chapter 1 | Verse 16] వీళ్ళంతా ప్రజల్లోనుండి నియమితులయ్యారు. వీరు తమ పూర్వీకుల గోత్రాలకు నాయకులుగానూ, ఇశ్రాయేలు ప్రజల తెగలకు పెద్దలుగానూ ఉన్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 17] ఈ పేర్లతో ఉన్న వ్యక్తులను మోషే అహరోనులు పిలిచారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 18] వీళ్ళతో పాటు ఇశ్రాయేలు ప్రజల్లో పురుషులందరినీ రెండో నెల మొదటి రోజున సమావేశపర్చారు. ఇరవై ఏళ్ళూ ఆ పై వయసున్న వారు తమ తమ వంశాలనూ, పూర్వీకుల కుటుంబాలనూ తమ తెగల పెద్దల పేర్లనూ తెలియజేసారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 19] అప్పుడు యెహోవా తనకాజ్ఞాపించినట్టుగా సీనాయి అరణ్యంలో మోషే వారి సంఖ్య నమోదు చేశాడు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 20] ఇశ్రాయేలు మొదటి కొడుకు రూబేను సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 21] అలా రూబేను గోత్రం నుండి 46, 500 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 22] షిమ్యోను సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 23] అలా షిమ్యోను గోత్రం నుండి 59, 300 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 24] గాదు సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 25] అలా గాదు గోత్రం నుండి 45, 650 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 26] యూదా సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాల, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 27] అలా యూదా గోత్రం నుండి 74, 600 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 28] ఇశ్శాఖారు సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 29] అలా ఇశ్శాఖారు గోత్రం నుండి 54, 400 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 30] జెబూలూను సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 31] అలా జెబూలూను గోత్రం నుండి 57, 400 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 32] యోసేపు కొడుకుల్లో ఒకడైన ఎఫ్రాయిము సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 33] అలా ఎఫ్రాయిము గోత్రం నుండి 40, 500 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 34] మనష్షే సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 35] అలా మనష్షే గోత్రం నుండి 32, 200 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 36] బెన్యామీను సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 37] అలా బెన్యామీను గోత్రం నుండి 35, 400 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 38] దాను సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 39] అలా దాను గోత్రం నుండి 62, 700 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 40] ఆషేరు సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 41] అలా ఆషేరు గోత్రం నుండి 41, 500 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 42] నఫ్తాలి సంతానం వివరాలు ఇవి. వారిలో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధానికి వెళ్ళే సామర్థ్యం ఉన్నవారు తమ తమ వంశాలూ, పూర్వీకుల కుటుంబాల ప్రకారం పేర్లు నమోదు చేసుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 43] అలా నఫ్తాలి గోత్రం నుండి 53, 400 మందిని లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 44] ఇశ్రాయేలులోని పన్నెండు గోత్రాలకు నాయకత్వం వహించిన వారితో పాటు వీరందర్నీ మోషే అహరోనులు లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 45] ఆ విధంగా ఇశ్రాయేలు ప్రజల్లో ఇరవై ఏళ్ళూ అంతకంటే ఎక్కువ వయస్సుండి, యుద్ధాలకు వెళ్ళగలిగే వారిందర్నీ వారి వారి పూర్వీకుల కుటుంబాల ప్రకారం లెక్కించారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 46] వారింతా కలసి 6,03,550 మంది అయ్యారు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 47] కాని లేవీ వారసులను వారు లెక్కించలేదు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 48] ఎందుకంటే యెహోవా మోషేకి ఇంతకు ముందే ఆజ్ఞాపించాడు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 49] “లేవీ గోత్రికులను ఇశ్రాయేలు జనసంఖ్యలో చేర్చకూడదు. వారిని నమోదు చేయవద్దు.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 50] వాళ్లకు నిబంధన శాసనాల గుడారం బాధ్యతలు అప్పగించు. శాసనాల గుడారం లోని అలంకరణలూ, వస్తువులన్నిటినీ వారు చూసుకోవాలి. లేవీయులే గుడారాన్ని మోసుకుంటూ వెళ్ళాలి. దానిలో ఉన్న వస్తువులను వారే మోయాలి. దాని చుట్టూ వారు తమ గుడారాలు వేసుకోవాలి.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 51] గుడారాన్ని మరో స్థలానికి తరలించాల్సి వస్తే లేవీయులే దాన్ని ఊడదీయాలి. తిరిగి గుడారాన్ని నిలపాలన్నా లేవీయులే దాన్ని నిలపాలి. ఎవరన్నా పరాయి వ్యక్తి గుడారాన్ని సమీపిస్తే వాడికి మరణ శిక్ష విధించాలి.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 52] ఇశ్రాయేలు ప్రజలు వారి వారి సైనిక దళానికి చెందిన జెండా ఎక్కడ నాటారో అక్కడే తమ గుడారాలు వేసుకోవాలి.
[IRV | TE | OT | Numbers | Chapter 1 | Verse 53] నా కోపం ఇశ్రాయేలు ప్రజలపైకి రాకుండా ఉండాలంటే లేవీయులు నిబంధన శాసనాల గుడారం చుట్టూ తమ నివాసాలు ఏర్పాటు చేసుకోవాలి. నిబంధన శాసనాల గుడారాన్ని వారే జాగ్రత్తగా చూసుకోవాలి.”
[IRV | TE | OT | Numbers | Chapter 1 | Verse 54] ఇశ్రాయేలు ప్రజలు ఈ ఆజ్ఞల ప్రకారం అన్నీ చేసారు. యెహోవా మోషేకు ఆజ్ఞాపించిన వాటన్నిటినీ ఇశ్రాయేలు ప్రజలు నెరవేర్చారు.
