[IRV | TE | OT | Numbers | Chapter 16 | Verse 1] లేవీ మునిమనవడు, కహాతు మనవడు, ఇస్హారు కొడుకు కోరహు, రూబేనీయుల్లో ఏలీయాబు కొడుకులు దాతాను, అబీరాము, పేలెతు కొడుకు ఓనుతో కలిసి
[IRV | TE | OT | Numbers | Chapter 16 | Verse 2] ఇశ్రాయేలీయుల్లో పేరు పొందిన 250 మంది నాయకులతో సహా మోషే మీద తిరుగుబాటుగా లేచి
[IRV | TE | OT | Numbers | Chapter 16 | Verse 3] మోషే అహరోనులకు విరోధంగా సమకూడారు. “మీరు చాలా ఎక్కువ అధికారం చలాయిస్తున్నారు. ఈ సమాజంలో ఉన్న వారిందరూ పవిత్రులే. అందరూ యెహోవా కోసం ప్రత్యేకించిన వారే. యెహోవా వారి మధ్య ఉన్నాడు. యెహోవా సమాజం మీద మిమ్మల్ని మీరు ఎందుకు గొప్ప చేసుకుంటున్నారు?” అన్నారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 4] మోషే ఆ మాట విన్నప్పుడు, సాగిలపడ్డాడు. ఆ తరువాత అతడు కోరహుతో, అతని గుంపుతో,
[IRV | TE | OT | Numbers | Chapter 16 | Verse 5] “ఆయన వారు ఎవరో యెహోవా కోసం ప్రత్యేకించిన వారెవరో రేపు యెహోవా తెలియజేసి అతన్ని తన సన్నిధికి రానిస్తాడు. ఆయన తాను ఏర్పరచుకున్నవాణ్ణి తన దగ్గరికి చేర్చుకుంటాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 6] కోరహు, నువ్వూ నీ గుంపూ ఇలా చెయ్యండి, మీరు ధూపార్తులు తీసుకుని వాటిలో నిప్పు ఉంచి రేపు యెహోవా సన్నిధిలో వాటి మీద ధూపసాంబ్రాణి వెయ్యండి.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 7] అప్పుడు యెహోవా ఎవరిని ఏర్పాటు చేసుకుంటాడో అతనే పవిత్రుడు. లేవీ కొడుకులారా, మీరు చాలా దూరం వెళ్ళారు” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 8] ఇంకా మోషే కోరహుతో “లేవీ కొడుకులారా వినండి,
[IRV | TE | OT | Numbers | Chapter 16 | Verse 9] తన మందిరసేవ చెయ్యడానికి యెహోవా మిమ్మల్ని తన దగ్గరికి చేర్చుకోవడం చిన్న విషయమా? మీరు సమాజం ఎదుట నిలబడి వారు చెయ్యవలసిన సేవ చేసేలా ఇశ్రాయేలీయుల దేవుడు ఇశ్రాయేలీయుల సమాజంలోనుంచి మిమ్మల్ని ప్రత్యేక పరచుకోవడం మీకు తక్కువగా కనిపిస్తున్నదా?
[IRV | TE | OT | Numbers | Chapter 16 | Verse 10] ఆయన నిన్నూ, నీతో లేవీయులైన నీ గోత్రం వారిందర్నీ చేర్చుకున్నాడు గదా. ఇప్పుడు మీరు యాజకత్వం కూడా కోరుతున్నారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 11] దీని కోసం నువ్వూ, నీ గుంపూ యెహోవాకు విరోధంగా పోగయ్యారు. మీరు అహరోనును ఎందుకు విమర్శిస్తున్నారు? అతడు కేవలం యెహోవాకు లోబడినవాడు” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 12] మోషే అప్పుడు ఏలీయాబు కొడుకులు దాతాను అబీరాములను పిలిపించాడు.
