[IRV | TE | OT | Numbers | Chapter 33 | Verse 1] మోషే అహరోనుల నాయకత్వంలో తమ తమ సేనల ప్రకారం ఐగుప్తుదేశం నుండి ఇశ్రాయేలీయులు చేసిన ప్రయాణాలు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 2] యెహోవా ఆజ్ఞాపించిన ప్రకారం, మోషే వారు ప్రయాణించిన మార్గాల వివరాలను రాశాడు. ఇవి వారి ప్రయాణ మార్గాల వివరాలు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 3] మొదటి నెల 15 వ రోజున వారు రామెసేసు నుండి పస్కా పండగ మరునాడు ఇశ్రాయేలీయులు జయోత్సాహంతో బయలుదేరారు. అప్పుడు ఐగుప్తీయులు తమ మధ్య యెహోవా హతం చేసిన మొదటి సంతానాలను పాతిపెట్టుకుంటూ వారిని చూస్తూ ఉన్నారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 4] ఆ విధంగా ఐగుప్తీయుల దేవుళ్ళకు యెహోవా తీర్పు తీర్చాడు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 5] ఇశ్రాయేలీయులు రామెసేసు నుండి సుక్కోతుకు వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 6] సుక్కోతు నుండి అడవి చివరిలో ఉన్న ఏతాముకు వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 7] ఏతాము నుండి బయల్సెఫోను ఎదుట ఉన్న పీహహీరోతు వైపు తిరిగి మిగ్దోలు దగ్గర ఆగారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 8] పీహహీరోతు నుండి సముద్రం మధ్య నుండి అరణ్యంలోకి వెళ్ళి ఏతాము అరణ్యంలో మూడు రోజుల ప్రయాణం చేసి మారాకు వచ్చారు. మారా నుండి ఏలీముకు వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 9] ఏలీములో 12 నీటిబుగ్గలు, 70 ఈతచెట్లు ఉన్నాయి. వారక్కడ ఆగారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 10] ఏలీము నుండి వారు ఎర్ర సముద్రం దగ్గరికి వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 11] అక్కడినుండి సీను అరణ్యంలో ఆగారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 12] సీను అరణ్యం నుండి దోపకాకు వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 13] దోపకా నుండి ఆలూషుకు వచ్చారు.
[IRV | TE | OT | Numbers | Chapter 33 | Verse 14] ఆలూషు నుండి రెఫీదీముకు వచ్చారు. అక్కడ వారికి తాగడానికి నీళ్లు లేవు.
