[IRV | TE | OT | Numbers | Chapter 29 | Verse 1] ఏడో నెల మొదటి రోజు మీరు పరిశుద్ధ సమాజంగా సమావేశం కావాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 2] ఆ రోజు మీ జీవనోపాధి కోసం ఏ పనీ చేయకూడదు. అది మీరు బాకానాదం చేసే రోజు.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 3] ఏ లోపం లేని ఒక కోడె, ఒక పొట్టేలు, ఒక సంవత్సరం వయసున్న ఏడు మగ గొర్రె పిల్లలను యెహోవాకు ఇష్టమైన సువాసన గల దహనబలిగా అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 4] వాటి వాటి పద్ధతి ప్రకారం దహనబలిని, దాని నైవేద్యాన్ని, వాటి పానార్పణలు అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 5] వాటి నైవేద్యం నూనెతో కలిపిన గోదుమపిండి, ప్రతి కోడెతో ఆరున్నర కిలోలు, పొట్టేలుతో నాలుగున్నర కిలోలు, ఏడు గొర్రె పిల్లలతో ఒక్కొక్క దానికి రెండుంబావు కిలోలు అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 6] అలాగే మీ కోసం ప్రాయశ్చిత్తం చేయడానికి పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 7] ఈ ఏడో నెల పదో రోజు మీరు పరిశుద్ధ సమాజంగా సమకూడాలి. అప్పుడు మిమ్మల్ని మీరు అదుపులో పెట్టుకోవాలి, ఆహారం తీసుకోకూడదు. పనులేమీ చేయకూడదు.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 8] ప్రాయశ్చిత్తం కోసం పాపపరిహార బలి, నిత్యమైన దహనబలి, దాని నైవేద్యం, వాటి వాటి పానార్పణలు కాక, ఒక కోడెదూడ, ఒక పొట్టేలు, ఒక సంవత్సరం వయసున్న ఏడు మగ గొర్రెపిల్లలను యెహోవాకు ఇష్టమైన సువాసనగల దహనబలిగా అర్పించాలి. వాటిలో ఏలోపమూ ఉండకూడదు.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 9] వాటి నైవేద్యం నూనెతో కలిపిన గోదుమపిండి, ప్రతి కోడెతో ఆరున్నర కిలోలు, పొట్టేలుతో నాలుగున్నర కిలోలు,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 10] ఏడు గొర్రె పిల్లలతో ఒక్కొక్క దానికి రెండుంబావు కిలోలు అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 11] అలాగే మీ కోసం ప్రాయశ్చిత్తం చేయడానికి పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 12] ఆ తరవాత ఏడో నెల 15 వ రోజున మీరు పరిశుద్ధ సమాజంగా సమావేశం కావాలి. అప్పుడు మీరు జీవనోపాధి కోసం పనులేమీ చేయకూడదు. ఏడు రోజులు యెహోవాకు పండగ జరపాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 13] దహనబలి, దాని నైవేద్యం, దాని పానార్పణ, కాకుండా, యెహోవాకు ఇష్టమైన సువాసనగల దహనబలిగా 13 కోడెలూ రెండు పొట్టేళ్ళు, ఒక సంవత్సరం వయసున్న 14 గొర్రె పిల్లలను అర్పించాలి. వాటిలో ఏ లోపమూ ఉండకూడదు.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 14] నైవేద్యంగా ప్రతి కోడెతో ఆరున్నర కిలోలు, ప్రతి పొట్టేలుతో నాలుగున్నర కిలోలు
[IRV | TE | OT | Numbers | Chapter 29 | Verse 15] ప్రతి గొర్రె పిల్లతో రెండుంబావు కిలోలు నూనెతో కలిపిన గోదుమ పిండి తేవాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 16] అలాగే పాపపరిహార బలిగా ఒక మేక పిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 17] రెండో రోజు దహనబలి దాని నైవేద్యం, వాటి పానార్పణలు కాక ఏ లోపం లేని 12 కోడెలను, రెండు పొట్టేళ్ళను, ఒక సంవత్సరం వయసున్న 14 గొర్రెపిల్లలను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 18] వాటి వాటి లెక్క ప్రకారం వాటి వాటి నైవేద్యం,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 19] పానార్పణలతోబాటు పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 20] మూడో రోజు నిత్యమైన దహనబలి దాని నైవేద్యం, దాని పానార్పణలు కాక ఏ లోపం లేని 11 కోడెలను, రెండు పొట్టేళ్లను, ఒక సంవత్సరం వయసున్న 14 గొర్రెపిల్లలను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 21] వాటి వాటి లెక్క ప్రకారం వాటి నైవేద్యం, పానార్పణలను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 22] పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 23] నాలుగో రోజు నిత్యమైన దహనబలి దాని నైవేద్యం, పానార్పణ కాక ఏ లోపం లేని 10 కోడెలను రెండు పొట్టేళ్లను ఒక సంవత్సరం వయసున్న 14 గొర్రెపిల్లలను వాటి వాటి లెక్క ప్రకారం
[IRV | TE | OT | Numbers | Chapter 29 | Verse 24] వాటి నైవేద్యం, పానార్పణలను,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 25] పాప పరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 26] అయిదో రోజు నిత్యమైన దహనబలి, దాని నైవేద్యం, పానార్పణ కాక ఏ లోపం లేని తొమ్మిది కోడెలను, రెండు పొట్టేళ్లను ఒక సంవత్సరం వయసున్న 14 గొర్రెపిల్లలను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 27] వాటి వాటి లెక్క ప్రకారం, వాటి నైవేద్యం, పానార్పణను,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 28] అలాగే పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 29] ఆరో రోజు నిత్యమైన దహనబలి, దాని నైవేద్యం, పానార్పణ కాక ఏ లోపం లేని ఎనిమిది కోడెలను, రెండు పొట్టేళ్లను ఒక సంవత్సరం వయసున్న 14 గొర్రెపిల్లలను, వాటి వాటి లెక్క ప్రకారం,
