[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 1] Now concerning spirituall giftes, brethren, I would not haue you ignorant.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 2] Ye know that ye were Gentiles, and were caried away vnto the dumme Idoles, as ye were led.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 3] Wherefore, I declare vnto you, that no man speaking by the Spirit of God calleth Iesus execrable: also no man can say that Iesus is the Lord, but by the holy Ghost.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 4] Now there are diuersities of gifts, but the same Spirit.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 5] And there are diuersities of administrations, but the same Lord,
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 6] And there are diuersities of operations, but God is the same which worketh all in all.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 7] But the manifestation of the Spirit is giuen to euery man, to profite withall.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 8] For to one is giuen by the Spirit the word of wisdome: and to an other the word of knowledge, by the same Spirit:
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 9] And to another is giuen faith by the same Spirit: and to another the giftes of healing, by the same Spirit:
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 10] And to another the operations of great workes: and to another, prophecie: and to another, the discerning of spirits: and to another, diuersities of tongues: and to another, the interpretation of tongues.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 11] And all these thinges worketh one and the selfe same Spirit, distributing to euery man seuerally as he will.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 12] For as the body is one, and hath many members, and all the members of the body, which is one, though they be many, yet are but one body: euen so is Christ.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 13] For by one Spirit are we all baptized into one body, whether we bee Iewes, or Grecians, whether we be bonde, or free, and haue bene all made to drinke into one Spirit.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 14] For the body also is not one member, but many.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 15] If the foote would say, Because I am not the hand, I am not of the body, is it therefore not of the body?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 16] And if the eare would say, Because I am not the eye, I am not of the body, is it therefore not of the body?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 17] If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smellling?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 18] But nowe hath God disposed the members euery one of them in the bodie at his owne pleasure.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 19] For if they were all one member, where were the body?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 20] But now are there many members, yet but one body.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 21] And the eye cannot say vnto the hand, I haue no neede of thee: nor the head againe to the feete, I haue no neede of you.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 22] Yea, much rather those members of the body, which seeme to be more feeble, are necessarie.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 23] And vpon those members of the body, which wee thinke most vnhonest, put wee more honestie on: and our vncomely parts haue more comelinesse on.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 24] For our comely partes neede it not: but God hath tempered the body together, and hath giuen the more honour to that part which lacked,
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 25] Lest there should be any diuision in the body: but that the members shoulde haue the same care one for another.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 26] Therefore if one member suffer, all suffer with it: if one member be had in honour, all the members reioyce with it.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 27] Now ye are the body of Christ, and members for your part.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 28] And God hath ordained some in the Church: as first Apostles, secondly Prophetes, thirdly teachers, then them that doe miracles: after that, the giftes of healing, helpers, gouernours, diuersitie of tongues.
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 29] Are all Apostles? are all Prophetes? are all teachers?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 30] Are all doers of miracles? haue all the gifts of healing? doe all speake with tongues? doe all interprete?
[GNV | EN | NT | 1 Corinthians | Chapter 12 | Verse 31] But desire you the best giftes, and I will yet shewe you a more excellent way.
