[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 1] Nowe concerning the thinges whereof ye wrote vnto mee, It were good for a man not to touche a woman.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 2] Neuertheles, to auoide fornication, let euery man haue his wife, and let euery woman haue her owne husband.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 3] Let the husband giue vnto the wife due beneuolence, and likewise also the wife vnto the husband.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 4] The wife hath not the power of her owne bodie, but ye husband: and likewise also the husband hath not ye power of his own body, but the wife.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 5] Defraude not one another, except it be with consent for a time, that ye may giue your selues to fasting and praier, and againe come together that Satan tempt you not for your incontinecie.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 6] But I speake this by permission, not by commandement.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 7] For I woulde that all men were euen as I my selfe am: but euery man hath his proper gift of God, one after this maner, and another after that.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 8] Therefore I say vnto the vnmaried, and vnto the widowes, It is good for them if they abide euen as I doe.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 9] But if they cannot abstaine, let them marrie: for it is better to marrie then to burne.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 10] And vnto ye maried I comand, not I, but ye Lord, Let not ye wife depart from her husband.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 11] But and if shee depart, let her remaine vnmaried, or be reconciled vnto her husband, and let not the husband put away his wife.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 12] But to ye remnant I speake, and not ye Lord, If any brother haue a wife, ye beleeueth not, if she be content to dwell with him, let him not forsake her.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 13] And the woman which hath an husband that beleeueth not, if he be content to dwell with her, let her not forsake him.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 14] For the vnbeleeuing husband is sanctified to the wife, and the vnbeleeuing wife is sanctified to the husband, els were your children vncleane: but nowe are they holie.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 15] But if the vnbeleeuing depart, let him depart: a brother or a sister is not in subiection in such things: but God hath called vs in peace.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 16] For what knowest thou, O wife, whether thou shalt saue thine husband? Or what knowest thou, O man, whether thou shalt saue thy wife?
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 17] But as God hath distributed to euery man, as the Lord hath called euery one, so let him walke: and so ordaine I, in all Churches.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 18] Is any man called being circumcised? let him not gather his vncircumcision: is any called vncircumcised? let him not be circumcised.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 19] Circumcision is nothing, and vncircumcision is nothing, but the keeping of the commandements of God.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 20] Let euery man abide in the same vocation wherein he was called.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 21] Art thou called being a seruant? care not for it: but if yet thou maiest be free, vse it rather.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 22] For he that is called in the Lord, being. a seruant, is the Lords freeman: likewise also he that is called being free, is Christes seruant.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 23] Yee are bought with a price: be not the seruants of men.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 24] Brethren, let euery man, wherein hee was called, therein abide with God.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 25] Nowe concerning virgines, I haue no commandement of the Lord: but I giue mine aduise, as one that hath obtained mercie of the Lord to be faithfull.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 26] I suppose then this to bee good for the present necessitie: I meane that it is good for a man so to be.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 27] Art thou bounde vnto a wife? seeke not to be loosed: art thou loosed from a wife? seeke not a wife.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 28] But if thou takest a wife, thou sinnest not: and if a virgine marrie, shee sinneth not: neuerthelesse, such shall haue trouble in the flesh: but I spare you.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 29] And this I say, brethren, because the time is short, hereafter that both they which haue wiues, be as though they had none:
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 30] And they that weepe, as though they wept not: and they that reioyce, as though they reioyced not: and they that bye, as though they possessed not:
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 31] And they that vse this worlde, as though they vsed it not: for the fashion of this worlde goeth away.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 32] And I would haue you without care. The vnmaried careth for the things of the Lord, howe he may please the Lord.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 33] But hee that is maried, careth for the things of the world, how he may please his wife.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 34] There is difference also betweene a virgine and a wife: the vnmaried woman careth for the things of the Lord, that she may be holy, both in body and in spirite: but shee that is maried, careth for the things of the worlde, howe shee may please her husband.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 35] And this I speake for your owne commoditie, not to tangle you in a snare, but that yee follow that, which is honest, and that yee may cleaue fast vnto the Lord without separation.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 36] But if any man thinke that it is vncomely for his virgine, if shee passe the flower of her age, and neede so require, let him do what he will, he sinneth not: let them be maried.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 37] Neuerthelesse, hee that standeth firme in his heart, that hee hath no neede, but hath power ouer his owne will, and hath so decreed in his heart, that hee will keepe his virgine, hee doeth well.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 38] So then hee that giueth her to mariage, doeth well, but he that giueth her not to mariage, doeth better.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 39] The wife is bounde by the Lawe, as long as her husband liueth: but if her husband bee dead, shee is at libertie to marie with whome she will, onely in the Lord.
[GNV | EN | NT | 1 Corinthians | Chapter 7 | Verse 40] But shee is more blessed, if she so abide, in my iudgement: and I thinke that I haue also the Spirite of God.
