[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 1] Moreouer, brethren, I woulde not that yee shoulde bee ignorant, that all our fathers were vnder that cloude, and all passed through that sea,
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 2] And were all baptized vnto Moses, in that cloude, and in that sea,
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 3] And did all eat the same spiritual meat,
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 4] And did all drinke the same spirituall drinke (for they dranke of the spiritual Rocke that folowed them: and the Rocke was Christ)
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 5] But with many of them God was not pleased: for they were ouerthrowen in ye wildernes.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 6] Nowe these things are our ensamples, to the intent that we should not lust after euil things as they also lusted.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 7] Neither bee ye idolaters as were some of them, as it is written, The people sate downe to eate and drinke, and rose vp to play.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 8] Neither let vs commit fornication, as some of them committed fornication, and fell in one day three and twentie thousand.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 9] Neither let vs tempt Christ, as some of them also tempted him, and were destroyed of serpents.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 10] Neither murmure ye, as some of them also murmured, and were destroyed of the destroyer.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 11] Nowe all these things came vnto them for ensamples, and were written to admonish vs, vpon whome the endes of the world are come.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 12] Wherefore, let him that thinketh he standeth, take heede lest he fall.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 13] There hath no tentation taken you, but such as appertaine to man: and God is faithfull, which will not suffer you to be tempted aboue that you be able, but wil euen giue the issue with the tentation, that ye may be able to beare it.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 14] Wherefore my beloued, flee from idolatrie.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 15] I speake as vnto them which haue vnderstanding: iugde ye what I say.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 16] The cup of blessing which we blesse, is it not the communion of the blood of Christ? The bread which we breake, is it not the communion of the body of Christ?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 17] For we that are many, are one bread and one body, because we all are partakers of one bread.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 18] Beholde Israel, which is after the flesh: are not they which eate of the sacrifices partakers of the altar?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 19] What say I then? that the idole is any thing? or that that which is sacrificed to idoles, is any thing?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 20] Nay, but that these things which the Gentiles sacrifice, they sacrifice to deuils, and not vnto God: and I would not that ye should haue fellowship with the deuils.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 21] Ye can not drinke the cup of the Lord, and the cup of the deuils. Ye can not be partakers of the Lords table, and of the table of the deuils.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 22] Doe we prouoke the Lord to anger? are we stronger then he?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 23] All things are lawfull for me, but all things are not expedient: all things are lawfull for me, but all things edifie not.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 24] Let no man seeke his owne, but euery man anothers wealth.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 25] Whatsoeuer is solde in the shambles, eate ye, and aske no question for conscience sake.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 26] For the earth is the Lords, and all that therein is.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 27] If any of them which beleeue not, call you to a feast, and if ye wil go, whatsoeuer is set before you, eate, asking no question for conscience sake.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 28] But if any man say vnto you, This is sacrificed vnto idoles, eate it not, because of him that shewed it, and for the conscience (for the earth is the Lords, and all that therein is)
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 29] And the conscience, I say, not thine, but of that other: for why should my libertie be condemned of another mans conscience?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 30] For if I through Gods benefite be partaker, why am I euill spoken of, for that wherefore I giue thankes?
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 31] Whether therefore ye eate, or drinke, or whatsoeuer ye doe, doe all to the glory of God.
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 32] Giue none offence, neither to the Iewes, nor to the Grecians, nor to the Church of God:
[GNV | EN | NT | 1 Corinthians | Chapter 10 | Verse 33] Euen as I please all men in all things, not seeking mine owne profite, but the profite of many, that they might be saued.
