[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 1] And as touching things sacrificed vnto idols, wee knowe that wee all haue knowledge: knowledge puffeth vp, but loue edifieth.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 2] Nowe, if any man thinke that hee knoweth any thing, hee knoweth nothing yet as hee ought to knowe.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 3] But if any man loue God, the same is knowen of him.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 4] Concerning therefore the eating of things sacrificed vnto idoles, we knowe that an idole is nothing in the worlde, and that there is none other God but one.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 5] For though there bee that are called gods, whether in heauen, or in earth (as there be many gods, and many lords)
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 6] Yet vnto vs there is but one God, which is that Father, of whome are all things, and we in him: and one Lord Iesus Christ, by whome are all things, and we by him.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 7] But euery man hath not that knowledge: for many hauing conscience of the idole, vntill this houre, eate as a thing sacrificed vnto the idole, and so their conscience being weake, is defiled.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 8] But meate maketh not vs acceptable to God, for neither if we eate, haue we the more: neither if we eate not, haue we the lesse.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 9] But take heede lest by any meanes this power of yours be an occasion of falling, to them that are weake.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 10] For if any man see thee which hast knowledge, sit at table in the idoles temple, shall not the conscience of him which is weake, be boldened to eate those things which are sacrificed to idoles?
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 11] And through thy knowledge shall the weake brother perish, for whome Christ died.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 12] Nowe when ye sinne so against the brethren, and wound their weake conscience, ye sinne against Christ.
[GNV | EN | NT | 1 Corinthians | Chapter 8 | Verse 13] Wherefore if meate offende my brother, I wil eate no flesh while the world standeth, that I may not offend my brother.
