[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 1] And I, brethren, when I came to you, came not with excellencie of woordes, or of wisedome, shewing vnto you the testimonie of God.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 2] For I esteemed not to knowe any thing among you, saue Iesus Christ, and him crucified.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 3] And I was among you in weakenesse, and in feare, and in much trembling.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 4] Neither stoode my woorde, and my preaching in the entising speach of mans wisdom, but in plaine euidence of the Spirite and of power,
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 5] That your faith should not be in the wisdome of men, but in the power of God.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 6] And we speake wisedome among them that are perfect: not the wisedome of this world, neither of the princes of this world, which come to nought.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 7] But we speake the wisedome of God in a mysterie, euen the hid wisedom, which God had determined before the world, vnto our glory.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 8] Which none of the princes of this world hath knowen: for had they knowen it, they would not haue crucified the Lord of glory.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 9] But as it is written, The thinges which eye hath not seene, neither eare hath heard, neither came into mans heart, are, which God hath prepared for them that loue him.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 10] But God hath reueiled them vnto vs by his Spirit: for the spirit searcheth all things, yea, the deepe things of God.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 11] For what man knoweth the things of a man, saue the spirite of a man, which is in him? euen so the things of God knoweth no man, but the spirit of God.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 12] Nowe we haue receiued not the spirit of the world, but the Spirit, which is of God, that we might knowe the thinges that are giuen to vs of God.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 13] Which things also we speake, not in the woordes which mans wisedome teacheth, but which the holy Ghost teacheth, comparing spirituall things with spirituall things.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 14] But the naturall man perceiueth not the things of the Spirit of God: for they are foolishnesse vnto him: neither can hee knowe them, because they are spiritually discerned.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 15] But hee that is spirituall, discerneth all things: yet he himselfe is iudged of no man.
[GNV | EN | NT | 1 Corinthians | Chapter 2 | Verse 16] For who hath knowen the minde of the Lord, that hee might instruct him? But we haue the minde of Christ.
