[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 1] But when Nicanor understood that Judas was in the places of Samaria, he purposed to set upon him with all violence on the sabbath day.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 2] And when the Jews that were constrained to follow him, said: Do not act so fiercely and barbarously, but give honour to the day that is sanctified: and reverence him that beholdeth all things:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 3] That unhappy man asked, if there were a mighty One in heaven, that had commanded the sabbath day to be kept.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 4] And when they answered: There is the living Lord himself in heaven, the mighty One, that commanded the seventh day to be kept,
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 5] Then he said: And I am mighty upon the earth, and I command to take arms, and to do the king’s business. Nevertheless he prevailed not to accomplish his design.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 6] So Nicanor being puffed up with exceeding great pride, thought to set up a public monument of his victory over Judas.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 7] But Machabeus ever trusted with all hope that God would help them.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 8] And he exhorted his people not to fear the coming of the nations, but to remember the help they had before received from heaven, and now to hope for victory from the Almighty.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 9] And speaking to them out of the law, and the prophets, and withal putting them in mind of the battles they had fought before, he made them more cheerful:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 10] Then after he had encouraged them, he shewed withal the falsehood of the Gentiles, and their breach of oaths.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 11] So he armed every one of them, not with defence of shield and spear, but with very good speeches and exhortations, and told them a dream worthy to be believed, whereby he rejoiced them all.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 12] Now the vision was in this manner: Onias who had been high priest, a good and virtuous man, modest in his looks, gentle in his manners, and graceful in his speech, and who from a child was exercised in virtues, holding up his hands, prayed for all the people of the Jews:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 13] After this there appeared also another man, admirable for age, and glory, and environed with great beauty and majesty:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 14] Then Onias answering, Raid: This is a lover of his brethren, and of the people of Israel: this is he that prayeth much for the people, and for all the holy city, Jeremias the prophet of God.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 15] Whereupon Jeremias stretched forth his right hand, and gave to Judas a sword of gold, saying:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 16] Take this holy sword a gift from God, wherewith thou shalt overthrow the adversaries of my people Israel.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 17] Thus being exhorted with the words of Judas, which were very good, and proper to stir up the courage, and strengthen the hearts of the young men, they resolved to fight, and to set upon them manfully: that valour might decide the matter, because the holy city and the temple were in danger.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 18] For their concern was less for their wives, and children, and for their brethren, and kinsfolks: but their greatest and principal fear was for the holiness of the temple.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 19] And they also that were in the city, had no little concern for them that were to be engaged in battle.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 20] And now when all expected what judgment would be given, and the enemies were at hand, and the army was set in array, the beasts and the horsemen ranged in convenient places,
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 21] Machabeus considering the coming of the multitude, and the divers preparations of armour, and the fierceness of the beasts, stretching out his hands to heaven, called upon the Lord, that worketh wonders, who giveth victory to them that are worthy, not according to the power of their arms, but according as it seemeth good to him.
