[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 1] But Simon, of whom we spoke before, and of his country, spoke ill of Onias, as though he had incited Heliodorus to do these things, and had been the promoter of evils:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 2] And he presumed to call him a traitor to the kingdom, who provided for the city, and defended his nation, and wed zealous for the law of God.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 3] But when the enmities proceeded so far, that murders also were committed by some of Simon’s friends:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 4] Onias considering the danger of this contention, and that Apollonius, who was the governor of Celesyria and Phenicia, was outrageous, which increased the malice of Simon, went to the king,
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 5] Not to be an accuser of his countrymen, but with a view to the common good of all the people.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 6] For he saw that, except the king took care, it was impossible that matters should be settled in peace, or that Simon would cease from his folly.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 7] But after the death of Seleucus, when Antiochus, who was called the Illustrious, had taken possession of the kingdom, Jason the brother of Onias ambitiously sought the high priesthood:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 8] And went to the king, promising him three hundred and sixty talents of silver, and out of other revenues fourscore talents.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 9] Besides this he promised also a hundred and fifty more, if he might have license to set him up a place for exercise, and a place for youth, and to entitle them, that were at Jerusalem, Antiochians.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 10] Which when the king had granted, and he had gotten the rule into his hands, forthwith he began to bring over his countrymen to the fashion of the heathens.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 11] And abolishing those things, which had been decreed of special favour by the kings in behalf of the Jews, by the means of John the father of that Eupolemus, who went ambassador to Rome to make amity and alliance, he disannulled the lawful ordinances of the citizens, and brought in fashions that were perverse.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 12] For he had the boldness to set up, under the very castle, a place of exercise, and to put all the choicest youths in brothel houses.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 13] Now this was not the beginning, but an increase, and progress of heathenish and foreign manners, through the abominable and unheard of wickedness of Jason, that impious wretch and no priest.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 14] Insomuch that the priests were not now occupied about the offices of the altar, but despising the temple and neglecting the sacrifices, hastened to be partakers of the games, and of the unlawful allowance thereof, and of the exercise of the discus.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 15] And setting nought by the honours of their fathers, they esteemed the Grecian glories for the best:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 16] For the sake of which they incurred a dangerous contention, and followed earnestly their ordinances, and in all things they coveted to be like them, who were their enemies and murderers.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 17] For acting wickedly against the laws of God doth not pass unpunished: but this the time following will declare.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 18] Now when the game that was used every fifth year was kept at Tyre, the king being present,
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 19] The wicked Jason sent from Jerusalem sinful men to carry three hundred didrachmas of silver for the sacrifice of Hercules; but the bearers thereof desired it might not be bestowed on the sacrifices, because it was not necessary, but might be deputed for other charges.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 20] So the money was appointed by him that sent it to the sacrifice of Hercules: but because of them that carried it was employed for the making of galleys.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 21] Now when Apollonius the son of Mnestheus was sent into Egypt to treat with the nobles of king Philometor, and Antiochus understood that he was wholly excluded from the affairs of the kingdom, consulting his own interest, he departed thence and came to Joppe, and from thence to Jerusalem:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 22] Where he was received in a, magnificent manner by Jason, and the city, and came in with torch lights, and with praises, and from thence he returned with his army into Phenicia.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 23] Three years afterwards Jason sent Menelaus, brother of the aforesaid Simon, to carry money to the king, and to bring answers from him concerning certain necessary affairs.
