[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 1] Then came near the heads of the fathers of the Levites to Eleazar the priest, and to Joshua the son of Nun, and to the heads of the fathers of the tribes of the children of Israel;
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 2] And they spoke to them at Shiloh in the land of Canaan, saying, the LORD commanded by the hand of Moses to give us cities to dwell in, with their suburbs for our cattle.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 3] And the children of Israel gave to the Levites out of their inheritance, at the commandment of the LORD, these cities and their suburbs.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 4] And the lot came out for the families of the Kohathites: and the children of Aaron the priest, who were of the Levites, had by lot out of the tribe of Judah, and out of the tribe of Simeon, and out of the tribe of Benjamin, thirteen cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 5] And the rest of the children of Kohath had by lot out of the families of the tribe of Ephraim, and out of the tribe of Dan, and out of the half-tribe of Manasseh, ten cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 6] And the children of Gershon had by lot out of the families of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the half-tribe of Manasseh in Bashan, thirteen cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 7] The children of Merari by their families had out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 8] And the children of Israel gave by lot to the Levites these cities with their suburbs, as the LORD commanded by the hand of Moses.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 9] And they gave out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, these cities which are here mentioned by name,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 10] Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for theirs was the first lot.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 11] And they gave them the city of Arba the father of Anak (which city is Hebron) in the hill -country of Judah, with its suburbs round it.
