[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came forth to Simeon, even for the tribe of the children of Simeon according to their families: and their inheritance was within the inheritance of the children of Judah.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 2] And they had in their inheritance, Beer-sheba, and Sheba, and Moladah.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 3] And Hazar-shual, and Balah, and Azem,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 4] And Eltolad, and Bethul, and Hormah,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 5] And Ziklag, and Beth-marcaboth, and Hazar-susah,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 6] And Beth-lebaoth, and Sheruhen; thirteen cities and their villages:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Remmon, and Ether, and Ashan; four cities and their villages:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 8] And all the villages that were around these cities to Baalath-beer, Ramath of the south. This is the inheritance of the tribe of the children of Simeon according to their families.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the portion of the children of Judah was the inheritance of the children of Simeon: for the part of the children of Judah was too much for them: therefore the children of Simeon had their inheritance within the inheritance of them.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 10] And the third lot came up for the children of Zebulun according to their families: and the border of their inheritance was to Sarid:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 11] And their border went up towards the sea, and Maralah, and reached to Dabbasheth, and reached to the river that is before Jokneam,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 12] And turned from Sarid eastward, towards the sun-rising, to the border of Chisloth-tabor, and then goeth out to Daberath, and goeth up to Japhia,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 13] And from thence passeth along on the east to Gittah-hepher, to Ittah-kazin, and goeth out to Remmon-methoar to Neah;
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 14] And the border compasseth it on the north side to Hannathon: and the limits of it are in the valley of Jiphthah-el:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 15] And Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem; twelve cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 16] This is the inheritance of the children of Zebulun according to their families, these cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 17] And the fourth lot came out to Issachar, for the children of Issachar according to their families.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 18] And their border was towards Jezreel, and Chesulloth, and Shunem,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 19] And Hapharaim, and Shihon, and Anaharath,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 20] And Rabbith, and Kishion, and Abez,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 21] And Remeth, and En-gannim, and En-haddah, and Beth-pazzez;
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 22] And the border reacheth to Tabor, and Shahazimah, and Beth-shemesh, and the limits of their border were at Jordan: sixteen cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 23] This is the inheritance of the tribe of the children of Issachar according to their families, the cities and their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 24] And the fifth lot came out for the tribe of the children of Asher according to their families.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 25] And their border was Helkath, and Hali, and Beten, and Achshaph,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 26] And Alammelech, and Amad, and Misheal; and reacheth to Carmel westward, and to Shihor-libnath;
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 27] And turneth towards the sun-rising to Beth-dagon, and reacheth to Zebulun, and to the valley of Jiphthah-el towards the north side of Beth-emek, and Neiel, and goeth out to Cabul on the left hand,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 28] And Hebron, and Rehob, and Hammon, and Kanah, even to great Zidon;
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 29] And then the border turneth to Ramah, and to the strong city Tyre; and the border turneth to Hosah: and the limits of it are at the sea from the coast to Achzib:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 30] Ummah also, and Aphek, and Rehob: twenty and two cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 31] This is the inheritance of the tribe of the children of Asher according to their families, these cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 32] The sixth lot came out to the children of Naphtali, even for the children of Naphtali according to their families.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 33] And their border was from Heleph, from Allon to Zaanannim, and Adami, Nekeb, and Jabneel, to Lakum; and the limits thereof were at Jordan:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 34] And then the border turneth westward to Aznoth-tabor, and goeth out from thence to Hukkok, and reacheth to Zebulun on the south side, and reacheth to Asher on the west side, and to Judah upon Jordan towards the sun-rising.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 35] And the fortified cities are Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 36] And Adamah, and Ramah, and Hazor,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 37] And Kedesh, and Edrei, and En-hazor,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 38] And Iron, and Migdal-el, Horem, and Beth-anath, and Beth-shemesh; nineteen cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 39] This is the inheritance of the tribe of the children of Naphtali according to their families, the cities and their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 40] And the seventh lot came out for the tribe of the children of Dan according to their families.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 41] And the border of their inheritance was Zorah, and Eshtaol, and Ir-shemesh,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 42] And Shaalabbim, and Ajalon, and Jethlah,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 43] And Elon, and Thimnathah, and Ekron,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 44] And Eltekeh, and Gibbethon, and Baalath,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 45] And Jehud, and Bene-berak, and Gath-rimmon,
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 46] And Me-jarkon, and Rakkon, with the border before Japho.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 47] And the border of the children of Dan, went out too little for them: therefore the children of Dan went up to fight against Leshem, and took it, and smote it with the edge of the sword, and possessed it, and dwelt in it, and called Leshem, Dan, after the name of Dan their father.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 48] This is the inheritance of the tribe of the children of Dan according to their families, these cities with their villages.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 49] When they had made an end of dividing the land for inheritance by their borders, the children of Israel gave an inheritance to Joshua the son of Nun among them:
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 50] According to the word of the LORD they gave him the city which he asked, even Timnath-serah in mount Ephraim: and he built the city, and dwelt in it.
[WEBSTER | EN | OT | Joshua | Chapter 19 | Verse 51] These are the inheritances which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.
