[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 1] And it came to pass, when Jabin king of Hazor had heard those things , that he sent to Jobab king of Madon, and to the king of Shimron, and to the king Achshaph,
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 2] And to the kings that were on the north of the mountains, and of the plains south of Cinneroth, and in the valley, and in the borders of Dor on the west,
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 3] And to the Canaanite on the east and on the west, and to the Amorite, and the Hittite, and the Perizzite, and the Jebusite in the mountains, and to the Hivite under Hermon in the land of Mizpeh.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 4] And they went out, they and all their hosts with them, many people, even as the sand that is upon the sea-shore in multitude, with horses and chariots very numerous.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 5] And when all these kings were met together, they came and encamped together at the waters of Merom, to fight against Israel.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 6] And the LORD said to Joshua, Be not afraid because of them: for to-morrow about this time will I deliver them up all slain before Israel: thou shalt hough their horses, and burn their chariots with fire.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 7] So Joshua came, and all the people of war with him, against them by the waters of Merom suddenly, and they fell upon them.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 8] And the LORD delivered them into the hand of Israel, who smote them, and chased them to great Zidon, and to Misrephoth-maim, and to the valley of Mizpeh eastward; and they smote them, until they left to them none remaining.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 9] And Joshua did to them as the LORD bade him: he houghed their horses, and burnt their chariots with fire.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 10] And Joshua at that time turned back, and took Hazor, and smote its king with the sword: for Hazor before-time was the head of all those kingdoms.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 11] And they smote all the souls that were in it with the edge of the sword, utterly destroying them : there was not any left to breathe: and he burnt Hazor with fire.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 12] And all the cities of those kings, and all the kings of them, Joshua took, and smote them with the edge of the sword, and he utterly destroyed them, as Moses the servant of the LORD commanded.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 13] But as for the cities that stood still in their strength, Israel burned none of them, save Hazor only; that did Joshua burn.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 14] And all the spoil of these cities, and the cattle, the children of Israel took for a prey to themselves: but every man they smote with the edge of the sword, until they had destroyed them, neither left they any to breathe.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 15] As the LORD commanded Moses his servant, so did Moses command Joshua, and so did Joshua: he left nothing undone of all that the LORD commanded Moses.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 16] So Joshua took all that land, the hills, and all the south country, and all the land of Goshen, and the valley, and the plain, and the mountain of Israel, and the valley of the same;
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 17] Even from the mount Halak, that goeth up to Seir, even to Baal-gad, in the valley of Lebanon under mount Hermon: and all their kings he took, and smote them, and slew them.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 18] Joshua made war a long time with all those kings.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 19] There was not a city that made peace with the children of Israel, save the Hivites the inhabitants of Gibeon: all other they took in battle.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 20] For it was of the LORD to harden their hearts, that they should come against Israel in battle, that he might destroy them utterly, and that they might have no favor, but that he might destroy them, as the LORD commanded Moses.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 21] And at that time came Joshua and cut off the Anakims from the mountains, from Hebron, from Debir, from Anab, and from all the mountains of Judah, and from all the mountains of Israel: Joshua destroyed them utterly with their cities.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 22] There was none of the Anakims left in the land of the children of Israel: only in Gaza, in Gath, and in Ashdod, there remained.
[WEBSTER | EN | OT | Joshua | Chapter 11 | Verse 23] So Joshua took the whole land, according to all that the LORD said to Moses, and Joshua gave it for an inheritance to Israel according to their divisions by their tribes. And the land rested from war.
