[KJV | EN | OT | Zechariah | Chapter 1 | Verse 1] In the eighth month, in the second year of Darius, came the word of the Lord unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 2] The Lord hath been sore displeased with your fathers.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 3] Therefore say thou unto them, Thus saith the Lord of hosts; Turn ye unto me, saith the Lord of hosts, And I will turn unto you, saith the Lord of hosts.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 4] Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the Lord of hosts; Turn ye now from your evil ways, and from your evil doings: But they did not hear, nor hearken unto me, saith the Lord.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 5] Your fathers, where are they? And the prophets, do they live for ever?
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 6] But my words and my statutes, which I commanded my servants the prophets, Did they not take hold of your fathers? And they returned and said, Like as the Lord of hosts thought to do unto us, According to our ways, and according to our doings, so hath he dealt with us.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 7] Upon the four and twentieth day of the eleventh month, which is the month Sebat, in the second year of Darius, came the word of the Lord unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 8] I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that were in the bottom; and behind him were there red horses, speckled, and white.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 9] Then said I, O my lord, what are these? And the angel that talked with me said unto me, I will shew thee what these be.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 10] And the man that stood among the myrtle trees answered and said, These are they whom the Lord hath sent to walk to and fro through the earth.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 11] And they answered the angel of the Lord that stood among the myrtle trees, and said, We have walked to and fro through the earth, and behold, all the earth sitteth still, and is at rest.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 12] Then the angel of the Lord answered and said, O Lord of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 13] And the Lord answered the angel that talked with me with good words and comfortable words.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 14] So the angel that communed with me said unto me, Cry thou, saying, Thus saith the Lord of hosts; I am jealous for Jerusalem and for Zion with a great jealousy.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 15] And I am very sore displeased with the heathen that are at ease: For I was but a little displeased, and they helped forward the affliction.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 16] Therefore thus saith the Lord; I am returned to Jerusalem with mercies: My house shall be built in it, saith the Lord of hosts, And a line shall be stretched forth upon Jerusalem.
[KJV | EN | OT | Zechariah | Chapter 1 | Verse 17] Cry yet, saying, Thus saith the Lord of hosts; My cities through prosperity shall yet be spread abroad; And the Lord shall yet comfort Zion, And shall yet choose Jerusalem.
