[KJV | EN | OT | Zechariah | Chapter 5 | Verse 1] Then I turned, and lift up mine eyes, and looked, and behold, a flying roll.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 2] And he said unto me, What seest thou? And I answered, I see a flying roll; the length thereof is twenty cubits, and the breadth thereof ten cubits.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 3] Then said he unto me, This is the curse that goeth forth over the face of the whole earth: For every one that stealeth shall be cut off as on this side according to it; And every one that sweareth shall be cut off as on that side according to it.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 4] I will bring it forth, saith the Lord of hosts, And it shall enter into the house of the thief, And into the house of him that sweareth falsely by my name: And it shall remain in the midst of his house, And shall consume it with the timber thereof and the stones thereof.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 5] Then the angel that talked with me went forth, and said unto me, Lift up now thine eyes, and see what is this that goeth forth.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 6] And I said, What is it? And he said, This is an ephah that goeth forth. He said moreover, This is their resemblance through all the earth.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 7] And behold, there was lift up a talent of lead: and this is a woman that sitteth in the midst of the ephah.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 8] And he said, This is wickedness. And he cast it into the midst of the ephah; and he cast the weight of lead upon the mouth thereof.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 9] Then lift I up mine eyes, and looked, and behold, there came out two women, and the wind was in their wings; for they had wings like the wings of a stork: and they lift up the ephah between the earth and the heaven.
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 10] Then said I to the angel that talked with me, Whither do these bear the ephah?
[KJV | EN | OT | Zechariah | Chapter 5 | Verse 11] And he said unto me, To build it a house in the land of Shinar: and it shall be established, and set there upon her own base.
