[KJV | EN | OT | Zechariah | Chapter 14 | Verse 1] Behold, the day of the Lord cometh, And thy spoil shall be divided in the midst of thee.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 2] For I will gather all nations against Jerusalem to battle; And the city shall be taken, and the houses rifled, and the women ravished; And half of the city shall go forth into captivity, And the residue of the people shall not be cut off from the city.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 3] Then shall the Lord go forth, and fight against those nations, As when he fought in the day of battle.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 4] And his feet shall stand in that day upon the mount of Olives, Which is before Jerusalem on the east, And the mount of Olives shall cleave in the midst thereof toward the east and toward the west, And there shall be a very great valley; And half of the mountain shall remove toward the north, And half of it toward the south.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 5] And ye shall flee to the valley of the mountains; For the valley of the mountains shall reach unto Azal: Yea, ye shall flee, like as ye fled from before the earthquake In the days of Uzziah king of Judah: And the Lord my God shall come, And all the saints with thee.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 6] And it shall come to pass in that day, That the light shall not be clear, nor dark:
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 7] But it shall be one day which shall be known to the Lord, Not day, nor night: But it shall come to pass, that at evening time it shall be light.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 8] And it shall be in that day, That living waters shall go out from Jerusalem: Half of them toward the former sea, And half of them toward the hinder sea: In summer and in winter shall it be.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 9] And the Lord shall be king over all the earth: In that day shall there be one Lord, and his name one.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 10] All the land shall be turned as a plain from Geba to Rimmon south of Jerusalem: And it shall be lifted up, and inhabited in her place, From Benjamin’s gate unto the place of the first gate, unto the corner gate, And from the tower of Hananeel unto the king’s winepresses.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 11] And men shall dwell in it, and there shall be no more utter destruction; But Jerusalem shall be safely inhabited.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 12] And this shall be the plague wherewith the Lord will smite all the people That have fought against Jerusalem; Their flesh shall consume away while they stand upon their feet, And their eyes shall consume away in their holes, And their tongue shall consume away in their mouth.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 13] And it shall come to pass in that day, That a great tumult from the Lord shall be among them; And they shall lay hold every one on the hand of his neighbour, And his hand shall rise up against the hand of his neighbour.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 14] And Judah also shall fight at Jerusalem; And the wealth of all the heathen round about shall be gathered together, Gold, and silver, and apparel, in great abundance.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 15] And so shall be the plague of the horse, Of the mule, of the camel, and of the ass, And of all the beasts that shall be in these tents, as this plague.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 16] And it shall come to pass, that every one that is left of all the nations Which came against Jerusalem Shall even go up from year to year To worship the King, the Lord of hosts, And to keep the feast of tabernacles.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 17] And it shall be, that whoso will not come up Of all the families of the earth unto Jerusalem To worship the King, the Lord of hosts, Even upon them shall be no rain.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 18] And if the family of Egypt go not up, and come not, that have no rain; There shall be the plague, wherewith the Lord will smite the heathen That come not up to keep the feast of tabernacles.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 19] This shall be the punishment of Egypt, And the punishment of all nations That come not up to keep the feast of tabernacles.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 20] In that day shall there be upon the bells of the horses, HOLINESS UNTO THE LORD; And the pots in the Lord’s house shall be like the bowls before the altar.
[KJV | EN | OT | Zechariah | Chapter 14 | Verse 21] Yea, every pot in Jerusalem and in Judah shall be holiness unto the Lord of hosts: And all they that sacrifice shall come and take of them, and seethe therein: And in that day there shall be no more the Canaanite in the house of the Lord of hosts.
