[KJV | EN | OT | Zechariah | Chapter 11 | Verse 1] Open thy doors, O Lebanon, that the fire may devour thy cedars.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 2] Howl, fir tree; for the cedar is fallen; because the mighty are spoiled: Howl, O ye oaks of Bashan; for the forest of the vintage is come down.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 3] There is a voice of the howling of the shepherds; for their glory is spoiled: A voice of the roaring of young lions; for the pride of Jordan is spoiled.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 4] Thus saith the Lord my God; Feed the flock of the slaughter;
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 5] Whose possessors slay them, and hold themselves not guilty: And they that sell them say, Blessed be the Lord; for I am rich: And their own shepherds pity them not.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 6] For I will no more pity the inhabitants of the land, saith the Lord: But lo, I will deliver the men Every one into his neighbour’s hand, and into the hand of his king: And they shall smite the land, and out of their hand I will not deliver them.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 7] And I will feed the flock of slaughter, even you, O poor of the flock. And I took unto me two staves; the one I called Beauty, and the other I called Bands; and I fed the flock.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 8] Three shepherds also I cut off in one month; and my soul lothed them, and their soul also abhorred me.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 9] Then said I, I will not feed you: that that dieth, let it die; and that that is to be cut off, let it be cut off; and let the rest eat every one the flesh of another.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 10] And I took my staff, even Beauty, and cut it asunder, that I might break my covenant which I had made with all the people.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 11] And it was broken in that day: and so the poor of the flock that waited upon me knew that it was the word of the Lord.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 12] And I said unto them, If ye think good, give me my price; and if not, forbear. So they weighed for my price thirty pieces of silver.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 13] And the Lord said unto me, Cast it unto the potter: a goodly price that I was prised at of them. And I took the thirty pieces of silver, and cast them to the potter in the house of the Lord.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 14] Then I cut asunder mine other staff, even Bands, that I might break the brotherhood between Judah and Israel.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 15] And the Lord said unto me, Take unto thee yet the instruments of a foolish shepherd.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 16] For, lo, I will raise up a shepherd in the land, Which shall not visit those that be cut off, Neither shall seek the young one, Nor heal that that is broken, Nor feed that that standeth still: But he shall eat the flesh of the fat, And tear their claws in pieces.
[KJV | EN | OT | Zechariah | Chapter 11 | Verse 17] Woe to the idol shepherd that leaveth the flock! The sword shall be upon his arm, and upon his right eye: His arm shall be clean dried up, And his right eye shall be utterly darkened.
