[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 1] ਹੇ ਭਰਾਵੋ, ਅਸੀਂ ਤੁਹਾਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਉਸ ਕਿਰਪਾ ਦੀ ਖ਼ਬਰ ਲਿਖਦੇ ਹਾਂ ਜਿਹੜੀ ਮਕਦੂਨਿਯਾ ਦੀਆਂ ਕਲੀਸਿਯਾਵਾਂ ਉੱਤੇ ਕੀਤੀ ਹੋਈ ਹੈ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 2] ਜੋ ਕਿਸ ਤਰ੍ਹਾਂ ਨਾਲ ਉਸ ਕਲੇਸ਼ ਦੇ ਵੱਡੇ ਪਰਤਾਵੇ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੇ ਅਨੰਦ ਦੀ ਬਹੁਤਾਇਤ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਭਾਰੀ ਗਰੀਬੀ ਨੇ ਉਨ੍ਹਾਂ ਦੀ ਅੱਤ ਵੱਡੀ ਖੁੱਲ੍ਹ ਦਿਲੀ ਨੂੰ ਵਧਾ ਦਿੱਤਾ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 3] ਕਿਉਂ ਜੋ ਮੈਂ ਇਹ ਗਵਾਹੀ ਦਿੰਦਾ ਹਾਂ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੇ ਸਮਰੱਥ ਦੇ ਅਨੁਸਾਰ ਸਗੋਂ ਆਪਣੀ ਸਮਰੱਥਾ ਤੋਂ ਵੱਧ ਕੇ ਦਾਨ ਦਿੱਤਾ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 4] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਵੱਡੀਆਂ ਮਿੰਨਤਾਂ ਨਾਲ ਸਾਡੇ ਅੱਗੇ ਇਹ ਬੇਨਤੀ ਕੀਤੀ ਜੋ ਸਾਡੀ ਵੀ ਉਸ ਪੁੰਨ ਦੇ ਕੰਮ ਅਤੇ ਉਸ ਸੇਵਾ ਵਿੱਚ ਜਿਹੜੀ ਸੰਤਾਂ ਦੇ ਲਈ ਹੈ ਭਾਗੀਦਾਰੀ ਹੋਵੇ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 5] ਅਤੇ ਜਿਸ ਤਰ੍ਹਾਂ ਸਾਨੂੰ ਆਸ ਸੀ ਉਸ ਤਰ੍ਹਾਂ ਹੀ ਨਹੀਂ ਸਗੋਂ ਪਹਿਲਾਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਇੱਛਾ ਨਾਲ ਉਨ੍ਹਾਂ ਆਪਣੇ ਆਪ ਨੂੰ ਪ੍ਰਭੂ ਦੇ ਅਤੇ ਨਾਲ ਸਾਡੇ ਲਈ ਵੀ ਅਰਪਣ ਕੀਤਾ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 6] ਐਥੋਂ ਤੱਕ ਜੋ ਅਸੀਂ ਤੀਤੁਸ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕੀਤੀ ਭਈ ਜਿਸ ਤਰ੍ਹਾਂ ਉਹ ਨੇ ਅੱਗੇ ਸ਼ੁਰੂ ਕੀਤਾ ਸੀ, ਉਸੇ ਤਰ੍ਹਾਂ ਇਸ ਪੁੰਨ ਦੇ ਕੰਮ ਨੂੰ ਤੁਹਾਡੇ ਵਿੱਚ ਸਿਰੇ ਵੀ ਚਾੜ੍ਹੇ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 7] ਪਰ ਜਿਵੇਂ ਤੁਸੀਂ ਹਰੇਕ ਗੱਲ ਵਿੱਚ ਅਰਥਾਤ ਵਿਸ਼ਵਾਸ, ਬਚਨ, ਗਿਆਨ ਅਤੇ ਸਾਰੇ ਜੋਸ਼ ਅਤੇ ਉਸ ਪਿਆਰ ਵਿੱਚ ਜੋ ਤੁਹਾਨੂੰ ਸਾਡੇ ਨਾਲ ਹੈ ਵੱਧ ਗਏ ਹੋ ਉਸੇ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਪੁੰਨ ਦੇ ਕੰਮ ਵਿੱਚ ਵੀ ਵੱਧਦੇ ਜਾਓ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 8] ਮੈਂ ਹੁਕਮ ਦੀ ਰੀਤ ਅਨੁਸਾਰ ਨਹੀਂ ਪਰ ਹੋਰਨਾਂ ਦੇ ਜੋਸ਼ ਨਾਲ ਤੁਹਾਡੇ ਪਿਆਰ ਦੀ ਸਚਿਆਈ ਨੂੰ ਪਰਖਣ ਲਈ ਇਹ ਆਖਦਾ ਹਾਂ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 9] ਕਿਉਂਕਿ ਤੁਸੀਂ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੀ ਕਿਰਪਾ ਨੂੰ ਜਾਣਦੇ ਹੋ ਜੋ ਧਨੀ ਸੀ ਪਰ ਤੁਹਾਡੇ ਲਈ ਗਰੀਬ ਬਣਿਆ ਕਿ ਤੁਸੀਂ ਉਸ ਦੀ ਗਰੀਬੀ ਤੋਂ ਧਨੀ ਹੋ ਜਾਓ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 10] ਅਤੇ ਮੈਂ ਇਸ ਗੱਲ ਵਿੱਚ ਸਲਾਹ ਦਿੰਦਾ ਹਾਂ ਕਿ ਇਹੋ ਤੁਹਾਡੇ ਲਈ ਚੰਗਾ ਹੈ ਜੋ ਤੁਸੀਂ ਅੱਗੇ ਤੋਂ ਨਿਰਾ ਇਹ ਕੰਮ ਕਰਨ ਵਿੱਚ ਨਹੀਂ ਸਗੋਂ ਇਹ ਦੀ ਇੱਛਾ ਕਰਨ ਵਿੱਚ ਵੀ ਅੱਗੇ ਸੀ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 11] ਸੋ ਹੁਣ ਤੁਸੀਂ ਉਸ ਕੰਮ ਨੂੰ ਸਿਰੇ ਵੀ ਚਾੜ੍ਹੋ ਅਤੇ ਜਿਸ ਤਰ੍ਹਾਂ ਇੱਛਾ ਕਰਨ ਦੀ ਤਿਆਰੀ ਸੀ ਉਸੇ ਤਰ੍ਹਾਂ ਆਪਣੇ ਵਾਧੇ ਦੇ ਅਨੁਸਾਰ ਚਾੜ੍ਹਨਾ ਵੀ ਹੋਵੇ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 12] ਜੇ ਮਨ ਦੀ ਤਿਆਰੀ ਪਹਿਲਾਂ ਹੋਵੇ ਤਾਂ ਉਹ ਉਸ ਦੇ ਅਨੁਸਾਰ ਜੋ ਕਿਸੇ ਕੋਲ ਹੈ, ਪਰਵਾਨ ਹੁੰਦੀ ਹੈ ਨਾ ਉਸ ਦੇ ਅਨੁਸਾਰ ਜੋ ਉਸ ਦੇ ਕੋਲ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 13] ਕਿਉਂ ਜੋ ਮੈਂ ਇਹ ਇਸ ਲਈ ਨਹੀਂ ਆਖਦਾ ਜੋ ਹੋਰਨਾਂ ਨੂੰ ਸੌਖਾ ਅਤੇ ਤੁਹਾਨੂੰ ਔਖਾ ਹੋਵੇ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 14] ਸਗੋਂ ਬਰਾਬਰੀ ਹੋਵੇ ਜੋ ਇਸ ਵਾਰ ਤੁਹਾਡਾ ਵਾਧਾ ਉਨ੍ਹਾਂ ਦੇ ਘਾਟੇ ਨੂੰ ਪੂਰਾ ਕਰੇ ਤਾਂ ਜੋ ਉਨ੍ਹਾਂ ਦਾ ਵਾਧਾ ਵੀ ਤੁਹਾਡੇ ਘਾਟੇ ਨੂੰ ਪੂਰਾ ਕਰੇ ਤਾਂ ਜੋ ਬਰਾਬਰੀ ਰਹੇ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 15] ਜਿਸ ਪ੍ਰਕਾਰ ਲਿਖਿਆ ਹੋਇਆ ਹੈ - ਜਿਸ ਨੇ ਵੱਧ ਲਿਆ ਸੀ ਉਸ ਦਾ ਵੱਧ ਨਾ ਨਿੱਕਲਿਆ ਅਤੇ ਜਿਸ ਨੇ ਘੱਟ ਲਿਆ ਸੀ ਉਸ ਦਾ ਘੱਟ ਨਾ ਨਿੱਕਲਿਆ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 16] ਪਰ ਧੰਨਵਾਦ ਹੈ ਪਰਮੇਸ਼ੁਰ ਦਾ ਜਿਹੜਾ ਤੀਤੁਸ ਦੇ ਦਿਲ ਵਿੱਚ ਤੁਹਾਡੇ ਲਈ ਉਹੋ ਜੋਸ਼ ਪਾਉਂਦਾ ਹੈ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 17] ਕਿਉਂਕਿ ਉਸ ਨੇ ਨਾ ਕੇਵਲ ਸਾਡੀ ਉਸ ਬੇਨਤੀ ਨੂੰ ਮੰਨਿਆ ਸਗੋਂ ਵੱਡੇ ਜੋਸ਼ ਨਾਲ ਆਪਣੇ ਆਪ ਤੁਹਾਡੇ ਵੱਲ ਤੁਰ ਪਿਆ।
[IRV | PA | NT | 2 Corinthians | Chapter 8 | Verse 18] ਅਤੇ ਅਸੀਂ ਉਸ ਦੇ ਨਾਲ ਉਸ ਭਰਾ ਨੂੰ ਭੇਜਿਆ ਜਿਸ ਦਾ ਮਾਣ ਖੁਸ਼ਖਬਰੀ ਦੇ ਵਿਖੇ ਸਾਰੀਆਂ ਕਲੀਸਿਯਾਵਾਂ ਵਿੱਚ ਹੁੰਦਾ ਹੈ।
