[BBE | EN | OT | Job | Chapter 34 | Verse 1] And Elihu made answer and said,
[BBE | EN | OT | Job | Chapter 34 | Verse 2] Give ear, you wise, to my words; and you who have knowledge, give attention to me;
[BBE | EN | OT | Job | Chapter 34 | Verse 3] For words are tested by the ear, as food is tasted by the mouth.
[BBE | EN | OT | Job | Chapter 34 | Verse 4] Let us make the decision for ourselves as to what is right; let us have the knowledge among ourselves of what is good.
[BBE | EN | OT | Job | Chapter 34 | Verse 5] For Job has said, I am upright, and it is God who has taken away my right;
[BBE | EN | OT | Job | Chapter 34 | Verse 6] Though I am right, still I am in pain; my wound may not be made well, though I have done no wrong.
[BBE | EN | OT | Job | Chapter 34 | Verse 7] What man is like Job, a man who freely makes sport of God,
[BBE | EN | OT | Job | Chapter 34 | Verse 8] And goes in the company of evil-doers, walking in the way of sinners?
[BBE | EN | OT | Job | Chapter 34 | Verse 9] For he has said, It is no profit to a man to take delight in God.
[BBE | EN | OT | Job | Chapter 34 | Verse 10] Now then, you wise, take note; you men of knowledge, give ear to me. Let it be far from God to do evil, and from the Ruler of all to do wrong.
[BBE | EN | OT | Job | Chapter 34 | Verse 11] For he gives to every man the reward of his work, and sees that he gets the fruit of his ways.
[BBE | EN | OT | Job | Chapter 34 | Verse 12] Truly, God does not do evil, and the Ruler of all is not a false judge.
[BBE | EN | OT | Job | Chapter 34 | Verse 13] Who put the earth into his care, or made him responsible for the world?
[BBE | EN | OT | Job | Chapter 34 | Verse 14] If he made his spirit come back to him, taking his breath into himself again,
[BBE | EN | OT | Job | Chapter 34 | Verse 15] All flesh would come to an end together, and man would go back to the dust.
[BBE | EN | OT | Job | Chapter 34 | Verse 16] If you are wise, take note of this; give ear to the voice of my words.
[BBE | EN | OT | Job | Chapter 34 | Verse 17] How may a hater of right be a ruler? and will you say that the upright Ruler of all is evil?
[BBE | EN | OT | Job | Chapter 34 | Verse 18] He who says to a king, You are an evil-doer; and to rulers, You are sinners;
[BBE | EN | OT | Job | Chapter 34 | Verse 19] Who has no respect for rulers, and who gives no more attention to those who have wealth than to the poor, for they are all the work of his hands.
[BBE | EN | OT | Job | Chapter 34 | Verse 20] Suddenly they come to an end, even in the middle of the night: the blow comes on the men of wealth, and they are gone, and the strong are taken away without the hand of man.
[BBE | EN | OT | Job | Chapter 34 | Verse 21] For his eyes are on the ways of a man, and he sees all his steps.
[BBE | EN | OT | Job | Chapter 34 | Verse 22] There is no dark place, and no thick cloud, in which the workers of evil may take cover.
[BBE | EN | OT | Job | Chapter 34 | Verse 23] For he does not give man a fixed time to come before him to be judged.
[BBE | EN | OT | Job | Chapter 34 | Verse 24] He sends the strong to destruction without searching out their cause, and puts others in their place.
[BBE | EN | OT | Job | Chapter 34 | Verse 25] For he has knowledge of their works, overturning them in the night, so that they are crushed.
[BBE | EN | OT | Job | Chapter 34 | Verse 26] The evil-doers are broken by his wrath, he puts his hand on them with force before the eyes of all onlookers.
[BBE | EN | OT | Job | Chapter 34 | Verse 27] Because they did not go after him, and took no note of his ways,
[BBE | EN | OT | Job | Chapter 34 | Verse 28] So that the cry of the poor might come up to him, and the prayer of those in need come to his ears.
[BBE | EN | OT | Job | Chapter 34 | Verse 29] ...
[BBE | EN | OT | Job | Chapter 34 | Verse 30] ...
[BBE | EN | OT | Job | Chapter 34 | Verse 31] ...
[BBE | EN | OT | Job | Chapter 34 | Verse 32] ...
[BBE | EN | OT | Job | Chapter 34 | Verse 33] ...
[BBE | EN | OT | Job | Chapter 34 | Verse 34] Men of knowledge, and all wise men, hearing me, will say,
[BBE | EN | OT | Job | Chapter 34 | Verse 35] Job's words do not come from knowledge; they are not the fruit of wisdom.
[BBE | EN | OT | Job | Chapter 34 | Verse 36] May Job be tested to the end, because his answers have been like those of evil men.
[BBE | EN | OT | Job | Chapter 34 | Verse 37] For in addition to his sin, he is uncontrolled in heart; before our eyes he makes sport of God, increasing his words against him.
