[BBE | EN | OT | Job | Chapter 36 | Verse 1] And Elihu went on to say,
[BBE | EN | OT | Job | Chapter 36 | Verse 2] Give me a little more time, and I will make it clear to you; for I have still something to say for God.
[BBE | EN | OT | Job | Chapter 36 | Verse 3] I will get my knowledge from far, and I will give righteousness to my Maker.
[BBE | EN | OT | Job | Chapter 36 | Verse 4] For truly my words are not false; one who has all knowledge is talking with you.
[BBE | EN | OT | Job | Chapter 36 | Verse 5] Truly, God gives up the hard-hearted, and will not give life to the sinner.
[BBE | EN | OT | Job | Chapter 36 | Verse 6] His eyes are ever on the upright, and he gives to the crushed their right;
[BBE | EN | OT | Job | Chapter 36 | Verse 7] Lifting them up to the seat of kings, and making them safe for ever.
[BBE | EN | OT | Job | Chapter 36 | Verse 8] And if they have been prisoned in chains, and taken in cords of trouble,
[BBE | EN | OT | Job | Chapter 36 | Verse 9] Then he makes clear to them what they have done, even their evil works in which they have taken pride.
[BBE | EN | OT | Job | Chapter 36 | Verse 10] Their ear is open to his teaching, and he gives them orders so that their hearts may be turned from evil.
[BBE | EN | OT | Job | Chapter 36 | Verse 11] If they give ear to his voice, and do his word, then he gives them long life, and years full of pleasure.
[BBE | EN | OT | Job | Chapter 36 | Verse 12] But if not, they come to their end, and give up their breath without knowledge.
[BBE | EN | OT | Job | Chapter 36 | Verse 13] Those who have no fear of God keep wrath stored up in their hearts; they give no cry for help when they are made prisoners.
[BBE | EN | OT | Job | Chapter 36 | Verse 14] They come to their end while they are still young, their life is short like that of those who are used for sex purposes in the worship of their gods.
[BBE | EN | OT | Job | Chapter 36 | Verse 15] He makes the wrong done to the poor the way of their salvation, opening their ears by their trouble.
[BBE | EN | OT | Job | Chapter 36 | Verse 16] ...
[BBE | EN | OT | Job | Chapter 36 | Verse 17] ...
[BBE | EN | OT | Job | Chapter 36 | Verse 18] ...
[BBE | EN | OT | Job | Chapter 36 | Verse 19] ...
[BBE | EN | OT | Job | Chapter 36 | Verse 20] ...
[BBE | EN | OT | Job | Chapter 36 | Verse 21] Take care not to be turned to sin, for you have taken evil for your part in place of sorrow.
[BBE | EN | OT | Job | Chapter 36 | Verse 22] Truly God is lifted up in strength; who is a ruler like him?
[BBE | EN | OT | Job | Chapter 36 | Verse 23] Who ever gave orders to him, or said to him, You have done wrong?
[BBE | EN | OT | Job | Chapter 36 | Verse 24] See that you give praise to his work, about which men make songs.
[BBE | EN | OT | Job | Chapter 36 | Verse 25] All people are looking on it; man sees it from far.
[BBE | EN | OT | Job | Chapter 36 | Verse 26] Truly, God is great, greater than all our knowledge; the number of his years may not be searched out.
[BBE | EN | OT | Job | Chapter 36 | Verse 27] For he takes up the drops from the sea; he sends them through his mist as rain,
[BBE | EN | OT | Job | Chapter 36 | Verse 28] Flowing down from the sky, and dropping on the peoples.
[BBE | EN | OT | Job | Chapter 36 | Verse 29] And who has knowledge of how the clouds are stretched out, or of the thunders of his tent?
[BBE | EN | OT | Job | Chapter 36 | Verse 30] See, he is stretching out his mist, covering the tops of the mountains with it.
[BBE | EN | OT | Job | Chapter 36 | Verse 31] For by these he gives food to the peoples, and bread in full measure.
[BBE | EN | OT | Job | Chapter 36 | Verse 32] He takes the light in his hands, sending it against the mark.
[BBE | EN | OT | Job | Chapter 36 | Verse 33] The thunder makes clear his passion, and the storm gives news of his wrath.
