[BBE | EN | OT | Job | Chapter 40 | Verse 1] ...
[BBE | EN | OT | Job | Chapter 40 | Verse 2] Will he who is protesting give teaching to the Ruler of all? Let him who has arguments to put forward against God give an answer.
[BBE | EN | OT | Job | Chapter 40 | Verse 3] And Job said in answer to the Lord,
[BBE | EN | OT | Job | Chapter 40 | Verse 4] Truly, I am of no value; what answer may I give to you? I will put my hand on my mouth.
[BBE | EN | OT | Job | Chapter 40 | Verse 5] I have said once, and even twice, what was in my mind, but I will not do so again.
[BBE | EN | OT | Job | Chapter 40 | Verse 6] Then the Lord made answer to Job out of the storm-wind, and said,
[BBE | EN | OT | Job | Chapter 40 | Verse 7] Get your strength together like a man of war: I will put questions to you, and you will give me the answers.
[BBE | EN | OT | Job | Chapter 40 | Verse 8] Will you even make my right of no value? will you say that I am wrong in order to make clear that you are right?
[BBE | EN | OT | Job | Chapter 40 | Verse 9] Have you an arm like God? have you a voice of thunder like his?
[BBE | EN | OT | Job | Chapter 40 | Verse 10] Put on the ornaments of your pride; be clothed with glory and power:
[BBE | EN | OT | Job | Chapter 40 | Verse 11] Let your wrath be overflowing; let your eyes see all the sons of pride, and make them low.
[BBE | EN | OT | Job | Chapter 40 | Verse 12] Send destruction on all who are lifted up, pulling down the sinners from their places.
[BBE | EN | OT | Job | Chapter 40 | Verse 13] Let them be covered together in the dust; let their faces be dark in the secret place of the underworld.
[BBE | EN | OT | Job | Chapter 40 | Verse 14] Then I will give praise to you, saying that your right hand is able to give you salvation.
[BBE | EN | OT | Job | Chapter 40 | Verse 15] See now the Great Beast, whom I made, even as I made you; he takes grass for food, like the ox.
[BBE | EN | OT | Job | Chapter 40 | Verse 16] His strength is in his body, and his force in the muscles of his stomach.
[BBE | EN | OT | Job | Chapter 40 | Verse 17] His tail is curving like a cedar; the muscles of his legs are joined together.
[BBE | EN | OT | Job | Chapter 40 | Verse 18] His bones are pipes of brass, his legs are like rods of iron.
[BBE | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of the ways of God, made by him for his pleasure.
[BBE | EN | OT | Job | Chapter 40 | Verse 20] He takes the produce of the mountains, where all the beasts of the field are at play.
[BBE | EN | OT | Job | Chapter 40 | Verse 21] He takes his rest under the trees of the river, and in the pool, under the shade of the water-plants.
[BBE | EN | OT | Job | Chapter 40 | Verse 22] He is covered by the branches of the trees; the grasses of the stream are round him.
[BBE | EN | OT | Job | Chapter 40 | Verse 23] Truly, if the river is overflowing, it gives him no cause for fear; he has no sense of danger, even if Jordan is rushing against his mouth.
[BBE | EN | OT | Job | Chapter 40 | Verse 24] Will anyone take him when he is on the watch, or put metal teeth through his nose?
