[BBE | EN | OT | Job | Chapter 15 | Verse 1] And Eliphaz the Temanite made answer and said,
[BBE | EN | OT | Job | Chapter 15 | Verse 2] Will a wise man make answer with knowledge of no value, or will he give birth to the east wind?
[BBE | EN | OT | Job | Chapter 15 | Verse 3] Will he make arguments with words in which is no profit, and with sayings which have no value?
[BBE | EN | OT | Job | Chapter 15 | Verse 4] Truly, you make the fear of God without effect, so that the time of quiet worship before God is made less by your outcry.
[BBE | EN | OT | Job | Chapter 15 | Verse 5] For your mouth is guided by your sin, and you have taken the tongue of the false for yourself.
[BBE | EN | OT | Job | Chapter 15 | Verse 6] It is by your mouth, even yours, that you are judged to be in the wrong, and not by me; and your lips give witness against you.
[BBE | EN | OT | Job | Chapter 15 | Verse 7] Were you the first man to come into the world? or did you come into being before the hills?
[BBE | EN | OT | Job | Chapter 15 | Verse 8] Were you present at the secret meeting of God? and have you taken all wisdom for yourself?
[BBE | EN | OT | Job | Chapter 15 | Verse 9] What knowledge have you which we have not? is there anything in your mind which is not in ours?
[BBE | EN | OT | Job | Chapter 15 | Verse 10] With us are men who are grey-haired and full of years, much older than your father.
[BBE | EN | OT | Job | Chapter 15 | Verse 11] Are the comforts of God not enough for you, and the gentle word which was said to you?
[BBE | EN | OT | Job | Chapter 15 | Verse 12] Why is your heart uncontrolled, and why are your eyes lifted up;
[BBE | EN | OT | Job | Chapter 15 | Verse 13] So that you are turning your spirit against God, and letting such words go out of your mouth?
[BBE | EN | OT | Job | Chapter 15 | Verse 14] What is man, that he may be clean? and how may the son of woman be upright?
[BBE | EN | OT | Job | Chapter 15 | Verse 15] Truly, he puts no faith in his holy ones, and the heavens are not clean in his eyes;
[BBE | EN | OT | Job | Chapter 15 | Verse 16] How much less one who is disgusting and unclean, a man who takes in evil like water!
[BBE | EN | OT | Job | Chapter 15 | Verse 17] Take note and give ear to my words; and I will say what I have seen:
[BBE | EN | OT | Job | Chapter 15 | Verse 18] (The things which wise men have got from their fathers, and have not kept secret from us;
[BBE | EN | OT | Job | Chapter 15 | Verse 19] For only to them was the land given, and no strange people were among them:)
[BBE | EN | OT | Job | Chapter 15 | Verse 20] The evil man is in pain all his days, and the number of the years stored up for the cruel is small.
[BBE | EN | OT | Job | Chapter 15 | Verse 21] A sound of fear is in his ears; in time of peace destruction will come on him:
[BBE | EN | OT | Job | Chapter 15 | Verse 22] He has no hope of coming safe out of the dark, and his fate will be the sword;
[BBE | EN | OT | Job | Chapter 15 | Verse 23] He is wandering about in search of bread, saying, Where is it? and he is certain that the day of trouble is ready for him:
[BBE | EN | OT | Job | Chapter 15 | Verse 24] He is greatly in fear of the dark day, trouble and pain overcome him:
[BBE | EN | OT | Job | Chapter 15 | Verse 25] Because his hand is stretched out against God, and his heart is lifted up against the Ruler of all,
[BBE | EN | OT | Job | Chapter 15 | Verse 26] Running against him like a man of war, covered by his thick breastplate; even like a king ready for the fight,
[BBE | EN | OT | Job | Chapter 15 | Verse 27] Because his face is covered with fat, and his body has become thick;
[BBE | EN | OT | Job | Chapter 15 | Verse 28] And he has made his resting-place in the towns which have been pulled down, in houses where no man had a right to be, whose fate was to become masses of broken walls.
[BBE | EN | OT | Job | Chapter 15 | Verse 29] He does not get wealth for himself, and is unable to keep what he has got; the heads of his grain are not bent down to the earth.
[BBE | EN | OT | Job | Chapter 15 | Verse 30] He does not come out of the dark; his branches are burned by the flame, and the wind takes away his bud.
[BBE | EN | OT | Job | Chapter 15 | Verse 31] Let him not put his hope in what is false, falling into error: for he will get deceit as his reward.
[BBE | EN | OT | Job | Chapter 15 | Verse 32] His branch is cut off before its time, and his leaf is no longer green.
[BBE | EN | OT | Job | Chapter 15 | Verse 33] He is like a vine whose grapes do not come to full growth, or an olive-tree dropping its flowers.
[BBE | EN | OT | Job | Chapter 15 | Verse 34] For the band of the evil-doers gives no fruit, and the tents of those who give wrong decisions for reward are burned with fire.
[BBE | EN | OT | Job | Chapter 15 | Verse 35] Evil has made them with child, and they give birth to trouble; and the fruit of their body is shame for themselves.
