[BBE | EN | OT | Job | Chapter 23 | Verse 1] And Job made answer and said,
[BBE | EN | OT | Job | Chapter 23 | Verse 2] Even today my outcry is bitter; his hand is hard on my sorrow.
[BBE | EN | OT | Job | Chapter 23 | Verse 3] If only I had knowledge of where he might be seen, so that I might come even to his seat!
[BBE | EN | OT | Job | Chapter 23 | Verse 4] I would put my cause in order before him, and my mouth would be full of arguments.
[BBE | EN | OT | Job | Chapter 23 | Verse 5] I would see what his answers would be, and have knowledge of what he would say to me.
[BBE | EN | OT | Job | Chapter 23 | Verse 6] Would he make use of his great power to overcome me? No, but he would give attention to me.
[BBE | EN | OT | Job | Chapter 23 | Verse 7] There an upright man might put his cause before him; and I would be free for ever from my judge.
[BBE | EN | OT | Job | Chapter 23 | Verse 8] See, I go forward, but he is not there; and back, but I do not see him;
[BBE | EN | OT | Job | Chapter 23 | Verse 9] I am looking for him on the left hand, but there is no sign of him; and turning to the right, I am not able to see him.
[BBE | EN | OT | Job | Chapter 23 | Verse 10] For he has knowledge of the way I take; after I have been tested I will come out like gold.
[BBE | EN | OT | Job | Chapter 23 | Verse 11] My feet have gone in his steps; I have kept in his way, without turning to one side or to the other.
[BBE | EN | OT | Job | Chapter 23 | Verse 12] I have never gone against the orders of his lips; the words of his mouth have been stored up in my heart.
[BBE | EN | OT | Job | Chapter 23 | Verse 13] But his purpose is fixed and there is no changing it; and he gives effect to the desire of his soul.
[BBE | EN | OT | Job | Chapter 23 | Verse 14] For what has been ordered for me by him will be gone through to the end: and his mind is full of such designs.
[BBE | EN | OT | Job | Chapter 23 | Verse 15] For this cause I am in fear before him, my thoughts of him overcome me.
[BBE | EN | OT | Job | Chapter 23 | Verse 16] For God has made my heart feeble, and my mind is troubled before the Ruler of all.
[BBE | EN | OT | Job | Chapter 23 | Verse 17] For I am overcome by the dark, and by the black night which is covering my face.
