[BBE | EN | OT | Job | Chapter 39 | Verse 1] Have you knowledge of the rock-goats? or do you see the roes giving birth to their young?
[BBE | EN | OT | Job | Chapter 39 | Verse 2] Is the number of their months fixed by you? or is the time when they give birth ordered by you?
[BBE | EN | OT | Job | Chapter 39 | Verse 3] They are bent down, they give birth to their young, they let loose the fruit of their body.
[BBE | EN | OT | Job | Chapter 39 | Verse 4] Their young ones are strong, living in the open country; they go out and do not come back again.
[BBE | EN | OT | Job | Chapter 39 | Verse 5] Who has let the ass of the fields go free? or made loose the bands of the loud-voiced beast?
[BBE | EN | OT | Job | Chapter 39 | Verse 6] To whom I have given the waste land for a heritage, and the salt land as a living-place.
[BBE | EN | OT | Job | Chapter 39 | Verse 7] He makes sport of the noise of the town; the voice of the driver does not come to his ears;
[BBE | EN | OT | Job | Chapter 39 | Verse 8] He goes looking for his grass-lands in the mountains, searching out every green thing.
[BBE | EN | OT | Job | Chapter 39 | Verse 9] Will the ox of the mountains be your servant? or is his night's resting-place by your food-store?
[BBE | EN | OT | Job | Chapter 39 | Verse 10] Will he be pulling your plough with cords, turning up the valleys after you?
[BBE | EN | OT | Job | Chapter 39 | Verse 11] Will you put your faith in him, because his strength is great? will you give the fruit of your work into his care?
[BBE | EN | OT | Job | Chapter 39 | Verse 12] Will you be looking for him to come back, and get in your seed to the crushing-floor?
[BBE | EN | OT | Job | Chapter 39 | Verse 13] Is the wing of the ostrich feeble, or is it because she has no feathers,
[BBE | EN | OT | Job | Chapter 39 | Verse 14] That she puts her eggs on the earth, warming them in the dust,
[BBE | EN | OT | Job | Chapter 39 | Verse 15] Without a thought that they may be crushed by the foot, and broken by the beasts of the field?
[BBE | EN | OT | Job | Chapter 39 | Verse 16] She is cruel to her young ones, as if they were not hers; her work is to no purpose; she has no fear.
[BBE | EN | OT | Job | Chapter 39 | Verse 17] For God has taken wisdom from her mind, and given her no measure of knowledge.
[BBE | EN | OT | Job | Chapter 39 | Verse 18] When she is shaking her wings on high, she makes sport of the horse and of him who is seated on him.
[BBE | EN | OT | Job | Chapter 39 | Verse 19] Do you give strength to the horse? is it by your hand that his neck is clothed with power?
[BBE | EN | OT | Job | Chapter 39 | Verse 20] Is it through you that he is shaking like a locust, in the pride of his loud-sounding breath?
[BBE | EN | OT | Job | Chapter 39 | Verse 21] He is stamping with joy in the valley; he makes sport of fear.
[BBE | EN | OT | Job | Chapter 39 | Verse 22] In his strength he goes out against the arms of war, turning not away from the sword.
[BBE | EN | OT | Job | Chapter 39 | Verse 23] The bow is sounding against him; he sees the shining point of spear and arrow.
[BBE | EN | OT | Job | Chapter 39 | Verse 24] Shaking with passion, he is biting the earth; he is not able to keep quiet at the sound of the horn;
[BBE | EN | OT | Job | Chapter 39 | Verse 25] When it comes to his ears he says, Aha! He is smelling the fight from far off, and hearing the thunder of the captains, and the war-cries.
[BBE | EN | OT | Job | Chapter 39 | Verse 26] Is it through your knowledge that the hawk takes his flight, stretching out his wings to the south?
[BBE | EN | OT | Job | Chapter 39 | Verse 27] Or is it by your orders that the eagle goes up, and makes his resting-place on high?
[BBE | EN | OT | Job | Chapter 39 | Verse 28] On the rock is his house, and on the mountain-top his strong place.
[BBE | EN | OT | Job | Chapter 39 | Verse 29] From there he is watching for food; his eye sees it far off.
[BBE | EN | OT | Job | Chapter 39 | Verse 30] His young have blood for their drink, and where the dead bodies are, there is he to be seen.
