[BBE | EN | OT | Job | Chapter 41 | Verse 1] Is it possible for Leviathan to be pulled out with a fish-hook, or for a hook to be put through the bone of his mouth?
[BBE | EN | OT | Job | Chapter 41 | Verse 2] Will you put a cord into his nose, or take him away with a cord round his tongue?
[BBE | EN | OT | Job | Chapter 41 | Verse 3] Will he make prayers to you, or say soft words to you?
[BBE | EN | OT | Job | Chapter 41 | Verse 4] Will he make an agreement with you, so that you may take him as a servant for ever?
[BBE | EN | OT | Job | Chapter 41 | Verse 5] Will you make sport with him, as with a bird? or put him in chains for your young women?
[BBE | EN | OT | Job | Chapter 41 | Verse 6] Will the fishermen make profit out of him? will they have him cut up for the traders?
[BBE | EN | OT | Job | Chapter 41 | Verse 7] Will you put sharp-pointed irons into his skin, or fish-spears into his head?
[BBE | EN | OT | Job | Chapter 41 | Verse 8] Only put your hand on him, and see what a fight you will have; you will not do it again!
[BBE | EN | OT | Job | Chapter 41 | Verse 9] Truly, the hope of his attacker is false; he is overcome even on seeing him!
[BBE | EN | OT | Job | Chapter 41 | Verse 10] He is so cruel that no one is ready to go against him. Who then is able to keep his place before me?
[BBE | EN | OT | Job | Chapter 41 | Verse 11] Who ever went against me, and got the better of me? There is no one under heaven!
[BBE | EN | OT | Job | Chapter 41 | Verse 12] I will not keep quiet about the parts of his body, or about his power, and the strength of his frame.
[BBE | EN | OT | Job | Chapter 41 | Verse 13] Who has ever taken off his outer skin? who may come inside his inner coat of iron?
[BBE | EN | OT | Job | Chapter 41 | Verse 14] Who has made open the doors of his face? Fear is round about his teeth.
[BBE | EN | OT | Job | Chapter 41 | Verse 15] His back is made of lines of plates, joined tight together, one against the other, like a stamp.
[BBE | EN | OT | Job | Chapter 41 | Verse 16] One is so near to the other that no air may come between them.
[BBE | EN | OT | Job | Chapter 41 | Verse 17] They take a grip of one another; they are joined together, so that they may not be parted.
[BBE | EN | OT | Job | Chapter 41 | Verse 18] His sneezings give out flames, and his eyes are like the eyes of the dawn.
[BBE | EN | OT | Job | Chapter 41 | Verse 19] Out of his mouth go burning lights, and flames of fire are jumping up.
[BBE | EN | OT | Job | Chapter 41 | Verse 20] Smoke comes out of his nose, like a pot boiling on the fire.
[BBE | EN | OT | Job | Chapter 41 | Verse 21] His breath puts fire to coals, and a flame goes out of his mouth.
[BBE | EN | OT | Job | Chapter 41 | Verse 22] Strength is in his neck, and fear goes dancing before him.
[BBE | EN | OT | Job | Chapter 41 | Verse 23] The plates of his flesh are joined together, fixed, and not to be moved.
[BBE | EN | OT | Job | Chapter 41 | Verse 24] His heart is as strong as a stone, hard as the lower crushing-stone.
[BBE | EN | OT | Job | Chapter 41 | Verse 25] When he gets ready for the fight, the strong are overcome with fear.
[BBE | EN | OT | Job | Chapter 41 | Verse 26] The sword may come near him but is not able to go through him; the spear, or the arrow, or the sharp-pointed iron.
