[BBE | EN | OT | Job | Chapter 21 | Verse 1] Then Job made answer and said,
[BBE | EN | OT | Job | Chapter 21 | Verse 2] Give attention with care to my words; and let this be your comfort.
[BBE | EN | OT | Job | Chapter 21 | Verse 3] Let me say what is in my mind, and after that, go on making sport of me.
[BBE | EN | OT | Job | Chapter 21 | Verse 4] As for me, is my outcry against man? is it then to be wondered at if my spirit is troubled?
[BBE | EN | OT | Job | Chapter 21 | Verse 5] Take note of me and be full of wonder, put your hand on your mouth.
[BBE | EN | OT | Job | Chapter 21 | Verse 6] At the very thought of it my flesh is shaking with fear.
[BBE | EN | OT | Job | Chapter 21 | Verse 7] Why is life given to the evil-doers? why do they become old and strong in power?
[BBE | EN | OT | Job | Chapter 21 | Verse 8] Their children are ever with them, and their offspring before their eyes.
[BBE | EN | OT | Job | Chapter 21 | Verse 9] Their houses are free from fear, and the rod of God does not come on them.
[BBE | EN | OT | Job | Chapter 21 | Verse 10] Their ox is ready at all times to give seed; their cow gives birth, without dropping her young.
[BBE | EN | OT | Job | Chapter 21 | Verse 11] They send out their young ones like a flock, and their children have pleasure in the dance,
[BBE | EN | OT | Job | Chapter 21 | Verse 12] They make songs to the instruments of music, and are glad at the sound of the pipe.
[BBE | EN | OT | Job | Chapter 21 | Verse 13] Their days come to an end without trouble, and suddenly they go down to the underworld.
[BBE | EN | OT | Job | Chapter 21 | Verse 14] Though they said to God, Go away from us, for we have no desire for the knowledge of your ways.
[BBE | EN | OT | Job | Chapter 21 | Verse 15] What is the Ruler of all, that we may give him worship? and what profit is it to us to make prayer to him?
[BBE | EN | OT | Job | Chapter 21 | Verse 16] Truly, is not their well-being in their power? (The purpose of the evil-doers is far from me.)
[BBE | EN | OT | Job | Chapter 21 | Verse 17] How frequently is the light of the evil-doers put out, or does trouble come on them? how frequently does his wrath take them with cords?
[BBE | EN | OT | Job | Chapter 21 | Verse 18] How frequently are they as dry stems before the wind, or as grass taken away by the storm-wind?
[BBE | EN | OT | Job | Chapter 21 | Verse 19] You say, God keeps punishment stored up for his children. Let him send it on the man himself, so that he may have the punishment of it!
[BBE | EN | OT | Job | Chapter 21 | Verse 20] Let his eyes see his trouble, and let him be full of the wrath of the Ruler of all!
[BBE | EN | OT | Job | Chapter 21 | Verse 21] For what interest has he in his house after him, when the number of his months is ended?
[BBE | EN | OT | Job | Chapter 21 | Verse 22] Is anyone able to give teaching to God? for he is the judge of those who are on high.
[BBE | EN | OT | Job | Chapter 21 | Verse 23] One comes to his end in complete well-being, full of peace and quiet:
[BBE | EN | OT | Job | Chapter 21 | Verse 24] His buckets are full of milk, and there is no loss of strength in his bones.
[BBE | EN | OT | Job | Chapter 21 | Verse 25] And another comes to his end with a bitter soul, without ever tasting good.
[BBE | EN | OT | Job | Chapter 21 | Verse 26] Together they go down to the dust, and are covered by the worm.
[BBE | EN | OT | Job | Chapter 21 | Verse 27] See, I am conscious of your thoughts, and of your violent purposes against me;
[BBE | EN | OT | Job | Chapter 21 | Verse 28] For you say, Where is the house of the ruler, and where is the tent of the evil-doer?
[BBE | EN | OT | Job | Chapter 21 | Verse 29] Have you not put the question to the travellers, and do you not take note of their experience?
[BBE | EN | OT | Job | Chapter 21 | Verse 30] How the evil man goes free in the day of trouble, and has salvation in the day of wrath?
[BBE | EN | OT | Job | Chapter 21 | Verse 31] Who will make his way clear to his face? and if he has done a thing, who gives him punishment for it?
[BBE | EN | OT | Job | Chapter 21 | Verse 32] He is taken to his last resting-place, and keeps watch over it.
[BBE | EN | OT | Job | Chapter 21 | Verse 33] The earth of the valley covering his bones is sweet to him, and all men come after him, as there were unnumbered before him.
[BBE | EN | OT | Job | Chapter 21 | Verse 34] Why then do you give me comfort with words in which there is no profit, when you see that there is nothing in your answers but deceit?
