[BBE | EN | OT | Job | Chapter 19 | Verse 1] And Job made answer and said,
[BBE | EN | OT | Job | Chapter 19 | Verse 2] How long will you make my life bitter, crushing me with words?
[BBE | EN | OT | Job | Chapter 19 | Verse 3] Ten times now you have made sport of me; it gives you no sense of shame to do me wrong.
[BBE | EN | OT | Job | Chapter 19 | Verse 4] And, truly, if I have been in error, the effect of my error is only on myself.
[BBE | EN | OT | Job | Chapter 19 | Verse 5] If you make yourselves great against me, using my punishment as an argument against me,
[BBE | EN | OT | Job | Chapter 19 | Verse 6] Be certain that it is God who has done me wrong, and has taken me in his net.
[BBE | EN | OT | Job | Chapter 19 | Verse 7] Truly, I make an outcry against the violent man, but there is no answer: I give a cry for help, but no one takes up my cause.
[BBE | EN | OT | Job | Chapter 19 | Verse 8] My way is walled up by him so that I may not go by: he has made my roads dark.
[BBE | EN | OT | Job | Chapter 19 | Verse 9] He has put off my glory from me, and taken the crown from my head.
[BBE | EN | OT | Job | Chapter 19 | Verse 10] I am broken down by him on every side, and I am gone; my hope is uprooted like a tree.
[BBE | EN | OT | Job | Chapter 19 | Verse 11] His wrath is burning against me, and I am to him as one of his haters.
[BBE | EN | OT | Job | Chapter 19 | Verse 12] His armies come on together, they make their road high against me, and put up their tents round mine.
[BBE | EN | OT | Job | Chapter 19 | Verse 13] He has taken my brothers far away from me; they have seen my fate and have become strange to me.
[BBE | EN | OT | Job | Chapter 19 | Verse 14] My relations and my near friends have given me up, and those living in my house have put me out of their minds.
[BBE | EN | OT | Job | Chapter 19 | Verse 15] I am strange to my women-servants, and seem to them as one from another country.
[BBE | EN | OT | Job | Chapter 19 | Verse 16] At my cry my servant gives me no answer, and I have to make a prayer to him.
[BBE | EN | OT | Job | Chapter 19 | Verse 17] My breath is strange to my wife, and I am disgusting to the offspring of my mother's body.
[BBE | EN | OT | Job | Chapter 19 | Verse 18] Even young children have no respect for me; when I get up their backs are turned on me.
[BBE | EN | OT | Job | Chapter 19 | Verse 19] All the men of my circle keep away from me; and those dear to me are turned against me.
[BBE | EN | OT | Job | Chapter 19 | Verse 20] My bones are joined to my skin, and I have got away with my flesh in my teeth.
[BBE | EN | OT | Job | Chapter 19 | Verse 21] Have pity on me, have pity on me, O my friends! for the hand of God is on me.
[BBE | EN | OT | Job | Chapter 19 | Verse 22] Why are you cruel to me, like God, for ever saying evil against me?
[BBE | EN | OT | Job | Chapter 19 | Verse 23] If only my words might be recorded! if they might be put in writing in a book!
[BBE | EN | OT | Job | Chapter 19 | Verse 24] And with an iron pen and lead be cut into the rock for ever!
[BBE | EN | OT | Job | Chapter 19 | Verse 25] But I am certain that he who will take up my cause is living, and that in time to come he will take his place on the dust;
[BBE | EN | OT | Job | Chapter 19 | Verse 26] And ... without my flesh I will see God;
[BBE | EN | OT | Job | Chapter 19 | Verse 27] Whom I will see on my side, and not as one strange to me. My heart is broken with desire.
[BBE | EN | OT | Job | Chapter 19 | Verse 28] If you say, How cruel we will be to him! because the root of sin is clearly in him:
[BBE | EN | OT | Job | Chapter 19 | Verse 29] Be in fear of the sword, for the sword is the punishment for such things, so that you may be certain that there is a judge.
