[BBE | EN | OT | Job | Chapter 27 | Verse 1] And Job again took up the word and said,
[BBE | EN | OT | Job | Chapter 27 | Verse 2] By the life of God, who has taken away my right; and of the Ruler of all, who has made my soul bitter;
[BBE | EN | OT | Job | Chapter 27 | Verse 3] (For all my breath is still in me, and the spirit of God is my life;)
[BBE | EN | OT | Job | Chapter 27 | Verse 4] Truly, there is no deceit in my lips, and my tongue does not say what is false.
[BBE | EN | OT | Job | Chapter 27 | Verse 5] Let it be far from me! I will certainly not say that you are right! I will come to death before I give up my righteousness.
[BBE | EN | OT | Job | Chapter 27 | Verse 6] I will keep it safe, and will not let it go: my heart has nothing to say against any part of my life.
[BBE | EN | OT | Job | Chapter 27 | Verse 7] Let my hater be like the evil man, and let him who comes against me be as the sinner.
[BBE | EN | OT | Job | Chapter 27 | Verse 8] For what is the hope of the sinner when he is cut off, when God takes back his soul?
[BBE | EN | OT | Job | Chapter 27 | Verse 9] Will his cry come to the ears of God when he is in trouble?
[BBE | EN | OT | Job | Chapter 27 | Verse 10] Will he take delight in the Ruler of all, and make his prayer to God at all times?
[BBE | EN | OT | Job | Chapter 27 | Verse 11] I will give you teaching about the hand of God; I will not keep secret from you what is in the mind of the Ruler of all.
[BBE | EN | OT | Job | Chapter 27 | Verse 12] Truly, you have all seen it yourselves; why then have you become completely foolish?
[BBE | EN | OT | Job | Chapter 27 | Verse 13] This is the punishment of the evil-doer from God, and the heritage given to the cruel by the Ruler of all.
[BBE | EN | OT | Job | Chapter 27 | Verse 14] If his children are increased, it is for the sword; and his offspring have not enough bread.
[BBE | EN | OT | Job | Chapter 27 | Verse 15] When those of his house who are still living come to their end by disease, they are not put into the earth, and their widows are not weeping for them.
[BBE | EN | OT | Job | Chapter 27 | Verse 16] Though he may get silver together like dust, and make ready great stores of clothing;
[BBE | EN | OT | Job | Chapter 27 | Verse 17] He may get them ready, but the upright will put them on, and he who is free from sin will take the silver for a heritage.
[BBE | EN | OT | Job | Chapter 27 | Verse 18] His house has no more strength than a spider's thread, or a watchman's tent.
[BBE | EN | OT | Job | Chapter 27 | Verse 19] He goes to rest full of wealth, but does so for the last time: on opening his eyes, he sees it there no longer.
[BBE | EN | OT | Job | Chapter 27 | Verse 20] Fears overtake him like rushing waters; in the night the storm-wind takes him away.
[BBE | EN | OT | Job | Chapter 27 | Verse 21] The east wind takes him up and he is gone; he is forced violently out of his place.
[BBE | EN | OT | Job | Chapter 27 | Verse 22] God sends his arrows against him without mercy; he goes in flight before his hand.
[BBE | EN | OT | Job | Chapter 27 | Verse 23] Men make signs of joy because of him, driving him from his place with sounds of hissing.
