[GNV | EN | OT | Daniel | Chapter 10 | Verse 1] In the third yeere of Cyrus King of Persia, a thing was reueiled vnto Daniel (whose name was called Belteshazzar) and the worde was true, but the time appointed was long, and he vnderstood the thing, and had vnderstanding of the vision.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 2] At the same time I Daniel was in heauines for three weekes of dayes.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 3] I ate no pleasant bread, neither came flesh nor wine in my mouth, neither did I anoint my selfe at all, till three weekes of dayes were fulfilled.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 4] And in the foure and twentieth day of the first moneth, as I was by the side of that great riuer, euen Hiddekel,
[GNV | EN | OT | Daniel | Chapter 10 | Verse 5] And I lift vp mine eyes, and looked, and beholde, there was a man clothed in linnen, whose loynes were girded with fine golde of Vphaz.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 6] His body also was like the Chrysolite, and his face (to looke vpon) like the lightning, and his eyes as lamps of fire, and his armes and his feete were like in colour to polished brasse, and the voyce of his wordes was like the voyce of a multitude.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 7] And I Daniel alone sawe the vision: for the men that were with me, sawe not the vision: but a great feare fell vpon them, so that they fled away and hid themselues.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 8] Therefore I was left alone, and sawe this great vision, and there remained no strength in me: for my strength was turned in me into corruption, and I reteined no power.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 9] Yet heard I the voyce of his wordes: and when I heard the voyce of his wordes, I slept on my face: and my face was toward the ground.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 10] And behold, an hand touched me, which set me vp vpon my knees and vpon the palmes of mine hands.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 11] And he sayde vnto me, O Daniel, a man greatly beloued, vnderstand the wordes that I speake vnto thee, and stand in thy place: for vnto thee am I nowe sent. And when hee had sayde this worde vnto me, I stood trembling.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 12] Then sayd he vnto me, Feare not, Daniel: for from the first day that thou diddest set thine heart to vnderstand, and to humble thy selfe before thy God, thy wordes were heard, and I am come for thy wordes.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 13] But the prince of the kingdome of Persia withstoode me one and twentie dayes: but loe, Michael one of the chiefe princes, came to helpe me, and I remained there by the Kings of Persia.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 14] Nowe I am come to shewe thee what shall come to thy people in the latter dayes: for yet the vision is for many dayes.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 15] And when he spake these wordes vnto me, I set my face towarde the grounde, and helde my tongue.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 16] And beholde, one like the similitude of the sonnes of man touched my lippes: then I opened my mouth, and spake, and said vnto him that stoode before me, O my Lord, by the vision my sorowes are returned vpon me, and I haue reteined no strength.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 17] For howe can the seruant of this my Lord talke with my Lord being such one? for as for me, straight way there remained no strength in me, neither is there breath left in me.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 18] Then there came againe, and touched me one like the appearance of a man, and he strengthened me,
[GNV | EN | OT | Daniel | Chapter 10 | Verse 19] And said, O man, greatly beloued, feare not: peace be vnto thee: be strong and of good courage. And when he had spoken vnto me, I was strengthened, and saide, Let my Lord speake: for thou hast strengthened me.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 20] Then saide he, Knowest thou wherefore I am come vnto thee? but nowe will I returne to fight with the prince of Persia: and when I am gone forth, loe, the prince of Grecia shall come.
[GNV | EN | OT | Daniel | Chapter 10 | Verse 21] But I will shew thee that which is decreeed in the Scripture of trueth: and there is none that holdeth with me in these things, but Michael your prince.
