[GNV | EN | OT | Daniel | Chapter 11 | Verse 1] Also I, in ye first yere of Darius of ye Medes, euen I stood to incourage and to strengthen him.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 2] And now wil I shew thee ye trueth, Behold, there shall stand vp yet three Kings in Persia, and the fourth shall be farre richer then they all: and by his strength, and by his riches he shall stirre vp all against the realme of Grecia.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 3] But a mightie King shall stand vp, that shall rule with great dominion, and doe according to his pleasure.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 4] And when he shall stand vp, his kingdome shall be broken, and shall be deuided towarde the foure windes of heauen: and not to his posteritie, nor according to his dominion, which he ruled: for his kingdome shall be pluckt vp, euen to be for others besides those.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 5] And ye King of ye South shalbe mightie, and one of his princes, and shall preuaile against him, and beare rule: his dominio shalbe a great dominion.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 6] And in the ende of yeeres they shalbe ioyned together: for the Kings daughter of ye South shall come to the King of the North to make an agreement, but she shall not reteine the power of the arme, neither shall he continue, nor his arme: but she shall be deliuered to death, and they that brought her, and he that begate her, and he that comforted her in these times.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 7] But out of the bud of her rootes shall one stand vp in his stead, which shall come with an armie, and shall enter into the fortresse of the King of the North, and doe with them as he list, and shall preuaile,
[GNV | EN | OT | Daniel | Chapter 11 | Verse 8] And shall also carie captiues into Egypt their gods with their molten images, and with their precious vessels of siluer and of golde, and he shall continue more yeeres then the King of the North.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 9] So the King of ye South shall come into his kingdome, and shall returne into his owne land.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 10] Wherefore his sonnes shall be stirred vp, and shall assemble a mightie great armie: and one shall come, and ouerflowe, and passe through: then shall he returne, and be stirred vp at his fortresse.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 11] And the King of the South shall be angrie, and shall come foorth, and fight with him, euen with the King of the North: for he shall set foorth a great multitude, and the multitude shall be giuen into his hand.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 12] Then the multitude shall be proude, and their heart shall be lifted vp: for hee shall cast downe thousands: but he shall not still preuaile.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 13] For the King of the North shall returne, and shall set foorth a greater multitude then afore, and shall come foorth (after certeine yeeres) with a mightie armie, and great riches.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 14] And at the same time there shall many stand vp against the King of the South: also the rebellious children of thy people shall exalt them selues to establish the vision, but they shall fall.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 15] So the King of the North shall come, and cast vp a mount, and take the strong citie: and the armes of the South shall not resist, neither his chosen people, neither shall there be any strength to withstand.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 16] But he that shall come, shall doe vnto him as he list, and none shall stand against him: and he shall stand in the pleasant land, which by his hand shalbe consumed.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 17] Againe he shall set his face to enter with the power of his whole kingdome, and his confederates with him: thus shall he doe, and he shall giue him the daughter of women, to destroy her: but she shall not stande on his side, neither bee for him.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 18] After this shall he turne his face vnto the yles, and shall take many, but a prince shall cause his shame to light vpon him, beside that he shall cause his owne shame to turne vpon himselfe.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 19] For he shall turne his face toward the fortes of his owne land: but he shall be ouerthrowen and fall, and be no more founde.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 20] Then shall stand vp in his place in the glorie of the kingdome, one that shall raise taxes: but after fewe dayes he shall be destroyed, neither in wrath, nor in battell.
