[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 1] And it came to pass in the eleventh year, in the first day of the month, that the word of Jehovah came unto me, saying,
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 2] Son of man, because that Tyre hath said against Jerusalem, Aha, she is broken that was the gate of the peoples; she is turned unto me; I shall be replenished, now that she is laid waste:
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 3] therefore thus saith the Lord Jehovah, Behold, I am against thee, O Tyre, and will cause many nations to come up against thee, as the sea causeth its waves to come up.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 4] And they shall destroy the walls of Tyre, and break down her towers: I will also scrape her dust from her, and make her a bare rock.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 5] She shall be a place for the spreading of nets in the midst of the sea; for I have spoken it, saith the Lord Jehovah; and she shall become a spoil to the nations.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 6] And her daughters that are in the field shall be slain with the sword: and they shall know that I am Jehovah.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 7] For thus saith the Lord Jehovah: Behold, I will bring upon Tyre Nebuchadnezzar king of Babylon, king of kings, from the north, with horses, and with chariots, and with horsemen, and a company, and much people.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 8] He shall slay with the sword thy daughters in the field; and he shall make forts against thee, and cast up a mound against thee, and raise up the buckler against thee.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 9] And he shall set his battering engines against thy walls, and with his axes he shall break down thy towers.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 10] By reason of the abundance of his horses their dust shall cover thee: thy walls shall shake at the noise of the horsemen, and of the wagons, and of the chariots, when he shall enter into thy gates, as men enter into a city wherein is made a breach.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 11] With the hoofs of his horses shall he tread down all thy streets; he shall slay thy people with the sword; and the pillars of thy strength shall go down to the ground.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 12] And they shall make a spoil of thy riches, and make a prey of thy merchandise; and they shall break down thy walls, and destroy thy pleasant houses; and they shall lay thy stones and thy timber and thy dust in the midst of the waters.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 13] And I will cause the noise of thy songs to cease; and the sound of thy harps shall be no more heard.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 14] And I will make thee a bare rock; thou shalt be a place for the spreading of nets; thou shalt be built no more: for I Jehovah have spoken it, saith the Lord Jehovah.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 15] Thus saith the Lord Jehovah to Tyre: shall not the isles shake at the sound of thy fall, when the wounded groan, when the slaughter is made in the midst of thee?
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 16] Then all the princes of the sea shall come down from their thrones, and lay aside their robes, and strip off their broidered garments: they shall clothe themselves with trembling; they shall sit upon the ground, and shall tremble every moment, and be astonished at thee.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 17] And they shall take up a lamentation over thee, and say to thee, How art thou destroyed, that wast inhabited by seafaring men, the renowned city, that was strong in the sea, she and her inhabitants, that caused their terror to be on all that dwelt there!
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 18] Now shall the isles tremble in the day of thy fall; yea, the isles that are in the sea shall be dismayed at thy departure.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 19] For thus saith the Lord Jehovah: When I shall make thee a desolate city, like the cities that are not inhabited; when I shall bring up the deep upon thee, and the great waters shall cover thee;
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 20] then will I bring thee down with them that descend into the pit, to the people of old time, and will make thee to dwell in the nether parts of the earth, in the places that are desolate of old, with them that go down to the pit, that thou be not inhabited; and I will set glory in the land of the living.
[ASV | EN | OT | Ezekiel | Chapter 26 | Verse 21] I will make thee a terror, and thou shalt no more have any being; though thou be sought for, yet shalt thou never be found again, saith the Lord Jehovah.
