[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 1] The word of Jehovah came again unto me, saying,
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 2] And thou, son of man, take up a lamentation over Tyre;
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 3] and say unto Tyre, O thou that dwellest at the entry of the sea, that art the merchant of the peoples unto many isles, thus saith the Lord Jehovah: Thou, O Tyre, hast said, I am perfect in beauty.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 4] Thy borders are in the heart of the seas; thy builders have perfected thy beauty.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 5] They have made all thy planks of fir trees from Senir; they have taken a cedar from Lebanon to make a mast for thee.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 6] Of the oaks of Bashan have they made thine oars; they have made thy benches of ivory inlaid in boxwood, from the isles of Kittim.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 7] Of fine linen with broidered work from Egypt was thy sail, that it might be to thee for an ensign; blue and purple from the isles of Elishah was thine awning.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 8] The inhabitants of Sidon and Arvad were thy rowers: thy wise men, O Tyre, were in thee, they were thy pilots.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 9] The old men of Gebal and the wise men thereof were in thee thy caulkers: all the ships of the sea with their mariners were in thee to deal in thy merchandise.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 10] Persia and Lud and Put were in thine army, thy men of war: they hung the shield and helmet in thee; they set forth thy comeliness.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 11] The men of Arvad with thine army were upon thy walls round about, and valorous men were in thy towers; they hung their shields upon thy walls round about; they have perfected thy beauty.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 12] Tarshish was thy merchant by reason of the multitude of all kinds of riches; with silver, iron, tin, and lead, they traded for thy wares.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 13] Javan, Tubal, and Meshech, they were thy traffickers; they traded the persons of men and vessels of brass for thy merchandise.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 14] They of the house of Togarmah traded for thy wares with horses and warhorses and mules.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 15] The men of Dedan were thy traffickers; many isles were the mart of thy hand: they brought thee in exchange horns of ivory and ebony.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 16] Syria was thy merchant by reason of the multitude of thy handiworks: they traded for thy wares with emeralds, purple, and broidered work, and fine linen, and coral, and rubies.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 17] Judah, and the land of Israel, they were thy traffickers: they traded for thy merchandise wheat of Minnith, and pannag, and honey, and oil, and balm.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 18] Damascus was thy merchant for the multitude of thy handiworks, by reason of the multitude of all kinds of riches, with the wine of Helbon, and white wool.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 19] Vedan and Javan traded with yarn for thy wares: bright iron, cassia, and calamus, were among thy merchandise.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 20] Dedan was thy trafficker in precious cloths for riding.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 21] Arabia, and all the princes of Kedar, they were the merchants of thy hand; in lambs, and rams, and goats, in these were they thy merchants.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 22] The traffickers of Sheba and Raamah, they were thy traffickers; they traded for thy wares with the chief of all spices, and with all precious stones, and gold.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 23] Haran and Canneh and Eden, the traffickers of Sheba, Asshur and Chilmad, were thy traffickers.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 24] These were thy traffickers in choice wares, in wrappings of blue and broidered work, and in chests of rich apparel, bound with cords and made of cedar, among thy merchandise.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 25] The ships of Tarshish were thy caravans for thy merchandise: and thou wast replenished, and made very glorious in the heart of the seas.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 26] Thy rowers have brought thee into great waters: the east wind hath broken thee in the heart of the seas.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 27] Thy riches, and thy wares, thy merchandise, thy mariners, and thy pilots, thy caulkers, and the dealers in thy merchandise, and all thy men of war, that are in thee, with all thy company which is in the midst of thee, shall fall into the heart of the seas in the day of thy ruin.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 28] At the sound of the cry of thy pilots the suburbs shall shake.
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 29] And all that handle the oar, the mariners, and all the pilots of the sea, shall come down from their ships; they shall stand upon the land,
[ASV | EN | OT | Ezekiel | Chapter 27 | Verse 30] and shall cause their voice to be heard over thee, and shall cry bitterly, and shall cast up dust upon their heads; they shall wallow themselves in the ashes:
